brk,dir,poke_pct,dd20_pct,ret20_pct
2019-08-05,down,-2.98,-0.1,2.2
2019-09-11,up,0.72,-3.8,-2.7
2019-10-28,up,0.56,-0.1,3.1
2019-12-19,up,0.4,0.0,3.6
2020-02-12,up,0.65,-26.6,-26.6
2020-05-18,up,0.49,-1.0,5.8
2020-07-06,up,1.55,-1.1,3.6
2020-08-05,up,0.64,0.0,7.6
2020-08-28,up,0.67,-7.7,-4.5
2020-10-05,up,0.22,-4.1,-2.9
2020-10-28,down,-3.53,-0.0,11.0
2020-12-04,up,0.82,-1.4,0.7
2021-01-20,up,0.71,-3.6,1.6
2021-03-15,up,0.65,-2.0,4.4
2021-04-08,up,0.42,0.0,2.5
2021-06-25,up,0.33,-0.5,3.3
2021-08-16,up,0.26,-1.8,-0.8
2021-09-30,down,-1.04,-0.2,6.7
2021-10-26,up,0.18,-0.5,2.5
2021-12-27,up,1.38,-9.1,-9.1
2022-01-19,down,-0.97,-4.6,-1.3
2022-02-18,down,-0.72,-4.1,2.6
2022-04-12,down,-0.32,-10.5,-10.5
2022-07-20,up,0.59,-1.0,7.9
2022-08-26,down,-1.57,-9.9,-9.9
2022-12-16,down,-1.11,-1.8,2.0
2023-01-12,up,0.34,-2.1,2.7
2023-02-24,down,-0.53,-2.9,0.0
2023-03-31,up,1.44,-1.3,1.4
2023-06-02,up,1.45,-0.3,4.0
2023-07-13,up,0.85,-0.9,-0.9
2023-09-21,down,-0.91,-2.3,-1.2
2023-10-26,down,-1.18,-0.5,10.2
2023-12-01,up,0.59,-1.0,3.2
2023-12-28,up,0.04,-2.0,3.0
2024-02-02,up,0.62,-0.3,3.5
2024-03-20,up,0.89,-4.1,-4.1
2024-04-19,down,-0.88,0.0,6.8
2024-05-10,up,0.16,-0.0,2.6
2024-07-02,up,0.4,-2.0,0.2
2024-08-02,down,-0.98,-3.0,5.6
2024-09-19,up,1.16,-0.3,2.2
2024-11-08,up,0.38,-2.1,1.0
2025-02-18,up,0.18,-9.9,-8.4
2025-04-03,down,-2.26,-7.7,5.4
2025-06-26,up,0.8,0.0,4.0
2025-08-13,up,0.32,-1.5,1.9
2025-10-01,up,0.26,-2.4,2.7
2025-10-28,up,0.23,-5.1,-1.8
2025-11-20,down,-1.19,0.0,4.5
2026-01-06,up,0.18,-2.1,-0.9
2026-03-13,down,-0.61,-4.3,3.8
2026-05-05,up,0.4,0.0,4.1
