K,eps_per_yr,day_share_pct,len_med,life_med_td,fastdeath_le5td_pct,reanchor_pct,k3_sudden_ok,ep_typed_n,pushes_lastyear
8,10.3,94,17,10,34,90,3,32,18
10,9.4,92,19,10,35,83,3,31,18
12,8.3,88,22,11,32,73,4,29,19
15,7.1,83,24,10,32,67,4,27,15
20,5.5,74,29,10,30,61,4,21,13
