start,len_td,drift,crossings,kind,trend_up
2020-11-05,20,0.98,3,melt_up,True
2020-12-04,30,0.56,3,melt_up,True
2021-02-01,29,0.97,5,melt_up,True
2021-03-15,17,0.58,1,melt_up,True
2021-04-08,55,0.83,11,melt_up,True
2021-06-25,35,0.89,3,melt_up,True
2021-08-16,32,-0.65,7,melt_down,True
2021-10-05,15,1.0,1,melt_up,True
2021-10-26,42,0.71,7,melt_up,True
2021-12-27,16,-0.98,3,melt_down,True
2022-01-28,15,-0.25,6,oscillation,False
2022-03-17,18,0.0,2,oscillation,True
2022-06-21,20,0.97,7,melt_up,False
2022-08-03,17,0.24,2,oscillation,True
2022-11-10,25,-0.33,10,oscillation,True
2022-12-16,17,0.63,3,melt_up,False
2023-01-23,23,-0.04,4,oscillation,True
2023-02-24,25,0.41,8,oscillation,False
2023-03-31,43,0.68,9,melt_up,True
2023-06-02,27,0.93,5,melt_up,True
2023-07-13,49,-0.49,11,oscillation,False
2023-09-21,25,-0.75,5,melt_down,False
2023-11-03,19,0.95,1,melt_up,True
2023-12-01,18,0.8,1,melt_up,True
2023-12-28,24,0.51,1,melt_up,True
2024-02-02,32,0.93,1,melt_up,True
2024-03-20,21,-0.88,1,melt_down,True
2024-04-19,15,1.0,3,melt_up,False
2024-05-10,35,0.95,1,melt_up,True
2024-07-02,22,-0.23,4,oscillation,True
2024-08-13,26,0.77,3,melt_up,True
2024-09-19,36,0.94,5,melt_up,True
2024-11-08,66,0.41,8,oscillation,True
2025-03-06,20,-0.26,6,oscillation,False
2025-05-12,31,0.86,5,melt_up,True
2025-06-26,33,1.0,3,melt_up,True
2025-08-13,34,0.69,1,melt_up,True
2025-10-01,19,0.51,5,melt_up,True
2025-10-28,17,-0.91,3,melt_down,True
2025-11-21,29,0.91,3,melt_up,True
2026-01-06,46,-0.89,7,melt_down,True
2026-04-13,16,0.91,1,melt_up,True
2026-05-05,46,0.9,9,melt_up,True
