entry_date,exit_date,exit_pnl,exit_reason,entry_credit,contracts,pnl_pct,hold_days,cell,vix_5d_avg
2003-09-29,2003-10-22,3828.5775299747856,profit_target,-8.8219170721907,6.5832,65.92307027293701,17,NORMAL·NEUTRAL·NEUTRAL,21.37
2007-06-07,2007-07-11,3735.9011754297535,profit_target,-10.394141822987706,5.9831,60.07316028665105,23,NORMAL·HIGH·NEUTRAL,14.33
2007-07-11,2007-08-14,-5355.353312468575,roll_21dte,-10.244074241488974,5.9593,-87.72435058717839,24,NORMAL·HIGH·NEUTRAL,15.91
2007-10-22,2007-11-26,-2637.0569038190483,roll_21dte,-13.021254998174769,4.5019,-44.98531994337018,24,NORMAL·HIGH·NEUTRAL,20.33
2012-04-11,2012-05-15,1774.3559138683074,roll_21dte,-11.146422450211006,5.2504,30.31885864760206,24,NORMAL·NEUTRAL·NEUTRAL,18.47
2013-06-05,2013-07-03,3787.1219973331163,profit_target,-11.435499048449472,5.2861,62.64967160196964,20,NORMAL·HIGH·NEUTRAL,16.18
2013-08-23,2013-09-27,2621.3985258555754,roll_21dte,-9.46861969752861,6.3324,43.71978695346485,24,LOW_VOL·NEUTRAL,14.94
2013-09-30,2013-11-01,2524.885972437862,roll_21dte,-11.32697999713497,5.3992,41.28556390209383,24,NORMAL·HIGH·NEUTRAL,14.84
2014-02-07,2014-03-14,1804.4839043609986,roll_21dte,-11.042980509501803,5.4936,29.74470544437189,24,NORMAL·HIGH·NEUTRAL,18.6
2014-09-25,2014-10-28,4332.760518802438,profit_target,-12.167644128620623,5.0187,70.95237710662161,23,NORMAL·HIGH·NEUTRAL,13.93
2014-10-29,2014-12-03,1936.6834741996784,roll_21dte,-12.311547573710499,5.0349,31.243174166186872,24,NORMAL·HIGH·NEUTRAL,15.64
2014-12-12,2015-01-08,3757.295666657698,profit_target,-17.26660130220199,3.4758,62.605679239427246,17,NORMAL·HIGH·NEUTRAL,17.85
2015-01-09,2015-02-11,3691.0527034044735,profit_target,-14.527644266006405,4.1305,61.510948375835525,22,NORMAL·HIGH·NEUTRAL,18.98
2015-03-13,2015-04-08,3643.8406073647934,profit_target,-13.368438310946942,4.5334,60.12493982712201,17,NORMAL·HIGH·NEUTRAL,16.01
2015-05-13,2015-06-11,3824.088932350614,profit_target,-11.688108323174532,5.3177,61.526175916723744,20,LOW_VOL·NEUTRAL,13.89
2015-06-11,2015-07-16,4376.681696897049,profit_target,-10.970362101732576,5.6208,70.97834483267013,24,LOW_VOL·NEUTRAL,14.01
2015-07-28,2015-08-31,-7664.019004505639,roll_21dte,-11.404421196727213,5.4092,-124.2368081179629,24,LOW_VOL·NEUTRAL,13.51
2016-05-05,2016-06-03,3828.297935747167,profit_target,-13.186147313033928,4.6093,62.98727651917558,20,NORMAL·NEUTRAL·NEUTRAL,15.59
2016-06-13,2016-06-29,3731.42352546583,profit_target,-17.793800582985853,3.2988,63.569652930523525,12,NORMAL·HIGH·NEUTRAL,16.15
2016-06-29,2016-08-03,3162.04579150095,roll_21dte,-13.72197220067855,4.4751,51.493080697865736,24,NORMAL·NEUTRAL·NEUTRAL,20.45
2016-09-12,2016-09-28,3740.1052828776287,profit_target,-13.280922752561679,4.6183,60.978036532351275,12,NORMAL·NEUTRAL·NEUTRAL,13.83
2016-11-08,2016-11-22,4104.512209910197,profit_target,-16.419251240600545,3.7141,67.30612859314265,10,NORMAL·HIGH·NEUTRAL,20.27
2017-04-11,2017-04-26,4243.672075354931,profit_target,-14.440706584234931,4.2809,68.64648274935237,10,NORMAL·HIGH·NEUTRAL,13.45
2018-06-25,2018-07-13,3782.3948273405376,profit_target,-19.22687957784771,3.1792,61.878560916845885,13,NORMAL·HIGH·NEUTRAL,14.38
2018-10-08,2018-11-09,9.097116547534245,roll_21dte,-18.370389781426468,3.2785,0.1510463376046042,24,NORMAL·HIGH·NEUTRAL,13.68
2019-05-09,2019-06-05,3618.1054263906008,profit_target,-22.403541765966764,2.6597,60.72001678678185,18,NORMAL·HIGH·NEUTRAL,17.23
2019-06-14,2019-07-19,3012.146946417833,roll_21dte,-17.854000655626407,3.4016,49.597223586069155,24,NORMAL·NEUTRAL·NEUTRAL,15.79
2020-01-31,2020-03-06,-7473.032302344646,roll_21dte,-24.64775772496216,2.4363,-124.44821674717663,24,NORMAL·HIGH·NEUTRAL,17.05
2021-09-14,2021-10-14,4464.435191099369,profit_target,-34.7579023268151,1.7276,74.3480819507269,22,NORMAL·NEUTRAL·NEUTRAL,19.31
2022-04-13,2022-05-18,-8151.288761632445,roll_21dte,-39.500830683480046,1.4852,-138.94250007582588,24,NORMAL·HIGH·NEUTRAL,22.63
2024-07-24,2024-08-16,3777.3604557881413,profit_target,-39.31298944933195,1.5339,62.64051393295817,17,NORMAL·HIGH·NEUTRAL,16.02
2024-11-04,2024-11-18,3659.711438079771,profit_target,-50.60962743481326,1.1515,62.79857092529091,10,NORMAL·HIGH·NEUTRAL,21.34
2024-12-20,2025-01-17,3741.606854084499,profit_target,-44.44770596135203,1.3429,62.68521613114092,17,NORMAL·HIGH·NEUTRAL,20.13
2025-01-27,2025-03-03,331.0150991391437,roll_21dte,-43.48678037880808,1.3845,5.4979095318644395,24,NORMAL·HIGH·NEUTRAL,15.59
2025-10-10,2025-11-07,3587.110624479564,profit_target,-57.80724759955331,1.0081,61.55436619951538,20,NORMAL·HIGH·NEUTRAL,17.6
2026-02-06,2026-03-13,-1031.396666942284,roll_21dte,-56.77951075517217,1.0503,-17.295005802154353,24,NORMAL·HIGH·NEUTRAL,19.02
