entry_date,exit_date,exit_pnl,exit_reason,entry_credit,contracts,pnl_pct,hold_days,cell
2007-06-22,2007-07-27,-2010.0801259948355,roll_21dte,-9.672986405397921,6.3691,-32.62681831352239,24,NORMAL·HIGH·NEUTRAL
2007-08-08,2007-09-12,1942.0157536983663,roll_21dte,-13.162701264884063,4.3405,33.99131476672046,24,NORMAL·HIGH·NEUTRAL
2012-05-04,2012-06-08,1230.2241360235626,roll_21dte,-10.72768501123349,5.7292,20.016320525730883,24,
2012-06-08,2012-06-29,3530.2822253472955,profit_target,-11.359693124848832,5.1558,60.27632482000086,15,
2013-06-12,2013-07-05,4266.972945653955,profit_target,-12.119552176332107,5.0133,70.22789038735226,16,NORMAL·HIGH·NEUTRAL
2013-08-28,2013-10-02,2350.5394325454295,roll_21dte,-10.971342232909592,5.621,38.114848128392474,24,
2014-02-10,2014-03-17,2209.509200328686,roll_21dte,-11.0360800782002,5.4926,36.45045875967025,24,NORMAL·HIGH·NEUTRAL
2014-10-08,2014-11-11,3080.4098486925104,roll_21dte,-11.901827048541435,5.1023,50.72579683897745,24,NORMAL·HIGH·NEUTRAL
2015-01-13,2015-02-05,3860.983328878293,profit_target,-16.911749873061808,3.5108,65.02843316677533,16,
2015-02-05,2015-02-27,3935.195518123996,profit_target,-14.123339167069417,4.3372,64.24206273324504,15,NORMAL·HIGH·NEUTRAL
2015-03-26,2015-04-21,3760.8922624294964,profit_target,-13.169528349266159,4.7041,60.70774839574553,17,NORMAL·HIGH·NEUTRAL
2015-06-10,2015-07-15,4017.2670682946837,profit_target,-11.261856458720786,5.6621,63.00038184498247,24,LOW_VOL·NEUTRAL
2015-07-15,2015-08-17,3815.5808774322013,profit_target,-11.37162629253018,5.538,60.58779303093391,23,LOW_VOL·NEUTRAL
2015-08-17,2015-08-24,-13234.991157892116,stop_loss,-11.124258531403768,5.6425,-210.85359706949194,5,LOW_VOL·NEUTRAL
2016-05-17,2016-06-21,1921.7497666034192,roll_21dte,-12.981456465103207,4.6857,31.593586964737064,24,NORMAL·NEUTRAL·NEUTRAL
2016-06-22,2016-07-07,4515.066874510443,profit_target,-17.93132222313315,3.3055,76.17539429719858,10,NORMAL·HIGH·NEUTRAL
2016-07-07,2016-08-10,3225.3748714289736,roll_21dte,-12.412921639273065,4.9356,52.64610295629944,24,LOW_VOL·NEUTRAL
2018-10-18,2018-11-07,3654.4007511729624,profit_target,-22.324677404437097,2.6262,62.33086911202926,14,
2018-11-07,2018-12-13,-3962.972340781171,roll_21dte,-18.71220833474206,3.2949,-64.27672768376635,24,NORMAL·HIGH·NEUTRAL
2019-05-22,2019-06-26,2646.369006169925,roll_21dte,-16.907895724592407,3.6236,43.1937181201132,24,LOW_VOL·NEUTRAL
2021-09-17,2021-10-14,4495.122764844509,profit_target,-37.19421985354791,1.5979,75.63390200352788,19,NORMAL·NEUTRAL·NEUTRAL
2024-08-01,2024-08-29,3874.050642355036,profit_target,-40.96790551282487,1.4703,64.31548888110473,20,NORMAL·HIGH·NEUTRAL
2024-12-30,2025-02-05,3936.659434854527,profit_target,-41.99610097272108,1.4331,65.40973322166698,24,NORMAL·HIGH·NEUTRAL
2025-02-21,2025-03-27,-1106.0141826680024,roll_21dte,-44.38562136820417,1.3424,-18.56249922341743,24,NORMAL·HIGH·NEUTRAL
2025-03-27,2025-05-01,754.3503062278045,roll_21dte,-42.887835108104696,1.3794,12.751131508247948,24,
2026-02-12,2026-03-19,1038.711455482117,roll_21dte,-57.39142070896514,1.0436,17.342586732379445,24,
