n,win_rate,median_pnl_pct_bp,max_consecutive_losses,max_consecutive_wins,total_account_pct_19y,max_drawdown_account_pct,worst_rolling_12m_pct,worst_rolling_12m_window,worst_rolling_24m_pct,worst_rolling_24m_window,trades_per_year,trigger,dte
41,0.7560975609756098,100.54345875848065,6,20,22.24425719106318,-6.0,-4.109326970315192,2008-03-25 → 2009-03-25,-2.139785699819948,2008-08-12 → 2010-07-23,2.3955498639346886,dd12_ma50_reclaim,30
41,0.7317073170731707,90.54567228787096,6,28,16.906039180462002,-6.0,-4.061112113784549,2022-03-21 → 2022-11-11,-4.061112113784549,2022-03-21 → 2022-11-11,2.3955498639346886,dd12_ma50_reclaim,60
41,0.8048780487804879,83.40500896035633,6,29,20.20255311208192,-5.0,-3.7433836612234597,2008-03-25 → 2009-03-25,-0.5067954127422427,2022-03-21 → 2022-11-11,2.3955498639346886,dd12_ma50_reclaim,90
41,0.7560975609756098,77.28506397211162,5,18,17.105999165208363,-4.0,-2.362185586584072,2022-03-21 → 2022-11-11,-2.362185586584072,2022-03-21 → 2022-11-11,2.3955498639346886,dd12_ma50_reclaim,120
192,0.609375,75.31659520826526,28,32,44.32588160207653,-50.1020803373288,-42.620502517317036,2008-01-23 → 2009-01-22,-26.60817886981084,2008-01-23 → 2009-03-31,11.125575488172725,dd15_naive,30
192,0.59375,76.14822162846987,36,50,32.04588223186765,-65.21068279338398,-59.72865300748134,2008-01-23 → 2009-01-22,-43.08150242765722,2008-01-23 → 2009-03-31,11.125575488172725,dd15_naive,60
192,0.609375,71.11740060029722,35,99,22.41591616261157,-63.197242810182715,-61.71843727560794,2008-01-23 → 2009-01-22,-41.78563552931802,2008-01-23 → 2009-03-31,11.125575488172725,dd15_naive,90
192,0.5989583333333334,64.02757896471746,35,99,10.103255622254634,-60.05713831568369,-55.808403195633446,2008-01-23 → 2009-01-22,-33.53076626665916,2008-01-23 → 2009-03-31,11.125575488172725,dd15_naive,120
