n,win_rate,median_winner_account_pct,max_consec_losses,total_19y_pct,annualized_pct,max_dd_pct,dd_thr,filter
43,0.6976744186046512,10.173257721804687,3,166.40464178693128,8.596984324448679,-30.660960771060807,0.05,none
40,0.6,10.710586215655551,5,105.83962137559858,5.468005916786056,-62.743428255421556,0.05,ma10_reclaim
36,0.5833333333333334,9.416181547843435,6,42.82554583791303,2.212501660415889,-68.38654210946618,0.05,ma20_reclaim
37,0.5675675675675675,9.481330231205945,5,31.316668551030283,1.6179170588996536,-44.68029751988251,0.05,ma50_reclaim
34,0.5,10.056576014888307,4,0.6779648058547387,0.035025782609622025,-47.122205705865326,0.05,ma10_cross_ma50
25,0.6,9.304381244710763,3,42.82237672199718,2.2123379339743767,-33.83821412054154,0.08,none
23,0.4782608695652174,10.339337244400232,6,-6.020835420120722,-0.3110551915561307,-44.67060921196399,0.08,ma10_reclaim
23,0.4782608695652174,9.207197258245998,7,-21.35599970953243,-1.1033177486170327,-58.33742483173806,0.08,ma20_reclaim
22,0.5,9.481330231205945,5,-7.255050743893495,-0.3748186159265571,-41.751763035973035,0.08,ma50_reclaim
20,0.55,10.056576014888307,5,24.596178442305586,1.2707155175430345,-40.0,0.08,ma10_cross_ma50
17,0.5294117647058824,8.733233210259112,3,5.673847509791867,0.2931287106969613,-30.868594985427595,0.1,none
16,0.375,8.160712555094177,6,-27.209217825607652,-1.4057133059231128,-38.75877009546349,0.1,ma10_reclaim
16,0.375,7.837697389655159,5,-44.98249354527817,-2.323936326118405,-53.99427045183551,0.1,ma20_reclaim
16,0.4375,9.104875511995346,4,-30.74072417118063,-1.5881619706271664,-32.59040300746343,0.1,ma50_reclaim
14,0.5,9.741915958607759,3,2.3825337800646302,0.1230891478731196,-20.0,0.1,ma10_cross_ma50
14,0.35714285714285715,9.115400074923407,5,-20.48580902763077,-1.058360975949785,-40.0,0.12,none
14,0.5,9.690224222075635,4,-6.120902192377688,-0.3162249540294205,-35.89445158649164,0.12,ma10_reclaim
14,0.5,9.800128803309413,4,-9.983197186492253,-0.515763195055863,-39.29573221149232,0.12,ma20_reclaim
13,0.6153846153846154,9.293102871600645,3,19.34921417180868,0.9996409303199105,-20.0,0.12,ma50_reclaim
12,0.5833333333333334,9.741915958607759,3,18.88592106269397,0.9757057590776078,-20.0,0.12,ma10_cross_ma50
11,0.8181818181818182,9.048526195253741,2,57.89373905956609,2.9909716570051836,-20.0,0.15,none
10,0.7,9.690224222075635,2,33.577597323534135,1.7347237116900154,-15.894451586491641,0.15,ma10_reclaim
10,0.6,9.80235422581038,3,19.077580587819444,0.9856074896750314,-20.0,0.15,ma20_reclaim
9,0.7777777777777778,9.104875511995346,1,38.50871585966809,1.9894807202800922,-10.0,0.15,ma50_reclaim
8,0.75,9.493750921425272,1,36.820649296467124,1.902269921190446,-10.0,0.15,ma10_cross_ma50
4,0.75,7.754993495194427,1,12.870295583436214,0.6649197293636543,0.0,0.2,none
4,0.5,7.203227435205739,1,-5.593545129588521,-0.2889800385420821,-10.0,0.2,ma10_reclaim
4,0.5,7.246135117604294,1,-5.50772976479141,-0.28454654835794263,-10.0,0.2,ma20_reclaim
4,0.5,8.436394693756702,1,-3.127210612486598,-0.16156148245684476,-10.0,0.2,ma50_reclaim
3,0.3333333333333333,8.108733208889943,1,-11.891266791110056,-0.614340039455792,-10.0,0.2,ma10_cross_ma50
