n,trades_per_year,win_rate,median_winner_pct_debit,avg_winner_pct_debit,best_winner_pct_debit,worst_loser_pct_debit,max_consec_losses,median_winner_account_pct,avg_winner_account_pct,worst_loser_account_pct,total_account_pct_19y,annualized_account_pct,max_dd_account_pct,dd_thr,raw_triggers
43,2.221514508138712,0.6976744186046512,101.73257721804686,96.67194482641399,121.06908082206623,-100.0,3,10.173257721804687,9.6671944826414,-10.0,166.40464178693128,8.596984324448679,-30.660960771060807,0.05,1153
25,1.291578202406228,0.6,93.04381244710763,90.66667832878692,105.03159033548901,-100.0,3,9.304381244710763,9.066667832878691,-10.0,42.82237672199718,2.2123379339743767,-33.83821412054154,0.08,673
17,0.8782731776362349,0.5294117647058824,87.33233210259111,86.05355348740301,102.2229520169116,-100.0,3,8.733233210259112,8.605355348740302,-10.0,5.673847509791867,0.2931287106969613,-30.868594985427595,0.1,480
14,0.7232837933474876,0.35714285714285715,91.15400074923407,92.27854186907352,97.82990795588444,-100.0,5,9.115400074923407,9.227854186907352,-10.0,-20.48580902763077,-1.058360975949785,-40.0,0.12,334
11,0.5682944090587403,0.8181818181818182,90.48526195253741,86.54859895507343,100.15040590605126,-100.0,2,9.048526195253741,8.654859895507343,-10.0,57.89373905956609,2.9909716570051836,-20.0,0.15,192
4,0.20665251238499646,0.75,77.54993495194427,76.23431861145404,93.1265599832669,-100.0,1,7.754993495194426,7.623431861145405,-10.0,12.870295583436214,0.6649197293636543,0.0,0.2,88
