signal_date,entry_date,exit_date,S_entry,S_expiry,vix_at_entry,dd60_at_signal,fwd_ret_pct,K_long,K_short,net_debit,pnl_pct_debit,account_pct_at_10pct_sizing,cum_account_pct,running_max,drawdown_pct,year
2007-07-27,2007-07-30,2007-10-29,1458.9300537109375,1540.97998046875,20.8700008392334,-6.060860196916861,5.623979473800689,1458.949951171875,1531.8974487304688,34.8763663990764,109.16025690258144,10.916025690258145,10.916025690258145,10.916025690258145,0.0,2007
2007-11-07,2007-11-08,2008-02-06,1475.27001953125,1326.449951171875,26.15999984741211,-5.720220292006317,-10.08764947359676,1475.6199951171875,1549.400994873047,36.89233309373731,-100.0,-10.0,0.9160256902581452,10.916025690258145,-10.0,2007
2008-02-05,2008-02-06,2008-05-06,1339.47998046875,1418.260009765625,28.969999313354492,-11.828804909739665,5.881389079761079,1336.6400146484375,1403.4720153808594,34.55807702815639,93.39039228939193,9.339039228939193,10.255064919197338,10.916025690258145,-0.6609607710608074,2008
2008-06-11,2008-06-12,2008-09-10,1335.780029296875,1232.0400390625,23.329999923706055,-6.388482951886609,-7.766248031794687,1335.489990234375,1402.264489746094,32.72580502910728,-100.0,-10.0,0.25506491919733776,10.916025690258145,-10.660960771060807,2008
2008-09-09,2008-09-10,2008-12-09,1227.5,888.6699829101562,24.520000457763672,-9.971767863756986,-27.603260048052448,1224.510009765625,1285.7355102539063,30.76615033271878,-100.0,-10.0,-9.744935080802662,10.916025690258145,-20.660960771060807,2008
2008-12-08,2008-12-09,2009-03-09,906.47998046875,676.530029296875,58.90999984741211,-27.518561043182423,-25.36735020369292,909.7000122070312,955.1850128173828,26.769316890220125,-100.0,-10.0,-19.744935080802662,10.916025690258145,-30.660960771060807,2008
2009-03-09,2009-03-10,2009-06-08,679.280029296875,939.1400146484375,44.369998931884766,-27.620624750026522,38.25520759392036,676.530029296875,710.3565307617188,19.08859258096055,77.20793883244797,7.720793883244797,-12.024141197557865,10.916025690258145,-22.940166887816012,2009
2009-06-22,2009-06-23,2009-09-21,893.4600219726562,1064.6600341796875,30.579999923706055,-5.6192645090002,19.161463075767116,893.0399780273438,937.691976928711,23.12318967710371,93.10484204340166,9.310484204340167,-2.7136569932176986,10.916025690258145,-13.629682683475844,2009
2009-10-28,2009-10-29,2010-01-27,1043.68994140625,1097.5,24.760000228881836,-5.035023597191001,5.155751383523666,1042.6300048828125,1094.7615051269531,25.996082467519898,100.53598579430158,10.053598579430158,7.3399415862124595,10.916025690258145,-3.5760841040456857,2009
2010-01-26,2010-01-27,2010-04-27,1091.93994140625,1183.7099609375,23.139999389648438,-5.047680682064682,8.404310168658569,1092.1700439453125,1146.778546142578,26.63530158082318,105.02302942416269,10.502302942416268,17.842244528628726,17.842244528628726,0.0,2010
2010-05-06,2010-05-07,2010-08-05,1127.0400390625,1125.81005859375,40.95000076293945,-7.322062527740291,-0.10913369766110126,1128.1500244140625,1184.5575256347656,30.795535078319915,-100.0,-10.0,7.842244528628726,17.842244528628726,-10.0,2010
2010-08-23,2010-08-24,2010-11-22,1063.199951171875,1197.8399658203125,27.459999084472656,-5.3582716301671995,12.663658844231062,1067.3599853515625,1120.7279846191407,26.353994660405192,102.50440191429271,10.25044019142927,18.092684720057996,18.092684720057996,0.0,2010
2011-03-16,2011-03-17,2011-06-15,1261.6099853515625,1265.4200439453125,26.3700008392334,-6.413206473259525,0.3019997176614275,1256.8800048828125,1319.7240051269532,32.257258451317796,-73.52521735413904,-7.352521735413905,10.74016298464409,18.092684720057996,-7.352521735413905,2011
2011-06-14,2011-06-15,2011-09-13,1287.8699951171875,1172.8699951171875,21.31999969482422,-5.554373394739254,-8.929472729080533,1287.8699951171875,1352.263494873047,30.928275422961406,-100.0,-10.0,0.7401629846440905,18.092684720057996,-17.352521735413905,2011
2011-09-12,2011-09-13,2011-12-12,1162.5899658203125,1236.469970703125,36.90999984741211,-14.11078430010596,6.354777441303949,1162.27001953125,1220.3835205078126,31.206655230503884,86.22149841857387,8.622149841857388,9.362312826501478,18.092684720057996,-8.730371893556518,2011
2011-12-14,2011-12-15,2012-03-14,1212.1199951171875,1394.280029296875,25.110000610351562,-5.701547866688028,15.028217908580599,1211.8199462890625,1272.4109436035158,30.143352541211414,101.00948370495422,10.100948370495422,19.4632611969969,19.4632611969969,0.0,2011
2012-05-14,2012-05-15,2012-08-13,1338.3599853515625,1404.1099853515625,21.969999313354492,-5.686242900508365,4.912729065396304,1338.3499755859375,1405.2674743652344,32.34403489372693,103.31418136819734,10.331418136819735,29.794679333816635,29.794679333816635,0.0,2012
2012-11-08,2012-11-09,2013-02-07,1377.550048828125,1509.3900146484375,18.610000610351562,-6.021409128960786,9.57061167632116,1377.510009765625,1446.3855102539062,32.14142439600528,114.28888663951511,11.428888663951511,41.22356799776814,41.22356799776814,0.0,2012
2013-06-24,2013-06-25,2013-09-23,1577.52001953125,1701.8399658203125,18.469999313354492,-5.755593615479104,7.88072067231218,1573.0899658203125,1651.7444641113282,37.62065697338335,109.07263354455455,10.907263354455454,52.130831352223595,52.130831352223595,0.0,2013
2014-02-03,2014-02-04,2014-05-05,1743.8199462890625,1884.6600341796875,19.110000610351562,-5.761260668967605,8.076526948228802,1741.8900146484375,1828.9845153808594,41.28518833396515,110.95822556965216,11.095822556965215,63.22665390918881,63.22665390918881,0.0,2014
2014-10-10,2014-10-13,2015-01-12,1905.6500244140625,2028.260009765625,24.639999389648438,-5.231782536946361,6.43402428466695,1906.1300048828125,2001.4365051269533,47.0752436323246,102.4556707311395,10.24556707311395,73.47222098230276,73.47222098230276,0.0,2014
2015-08-21,2015-08-24,2015-11-23,1965.1500244140625,2086.590087890625,40.7400016784668,-7.395174153865214,6.17968409372569,1970.8900146484375,2069.4345153808595,53.363398082694516,84.66683958115377,8.466683958115377,81.93890494041814,81.93890494041814,0.0,2015
2016-01-06,2016-01-07,2016-04-06,1985.3199462890625,2066.659912109375,24.989999771118164,-5.665494057882126,4.0970709014611195,1990.260009765625,2089.7730102539062,48.554392438546074,57.34910583104753,5.734910583104753,87.67381552352289,87.67381552352289,0.0,2016
2016-06-27,2016-06-28,2016-09-26,2006.6700439453125,2146.10009765625,18.75,-5.5957223549167985,6.948329852814483,2000.5400390625,2100.567041015625,48.087325962066075,108.01115460658326,10.801115460658327,98.47493098418121,98.47493098418121,0.0,2016
2018-02-05,2018-02-06,2018-05-07,2614.780029296875,2672.6298828125,29.979999542236328,-7.7946501807215185,2.2124175979415295,2648.93994140625,2781.3869384765626,63.31958812850348,-62.58670956896842,-6.258670956896842,92.21626002728438,98.47493098418121,-6.258670956896836,2018
2018-10-11,2018-10-12,2019-01-10,2770.5400390625,2596.639892578125,21.309999465942383,-6.905395643180068,-6.276759910794127,2728.3701171875,2864.7886230468753,73.45695234617278,-100.0,-10.0,82.21626002728438,98.47493098418121,-16.258670956896836,2018
2019-01-09,2019-01-10,2019-04-10,2573.510009765625,2888.2099609375,19.5,-8.13571036466093,12.228433150743223,2584.9599609375,2714.207958984375,58.464981880891855,121.06908082206623,12.106908082206623,94.32316810949101,98.47493098418121,-4.151762874690206,2019
2019-05-29,2019-05-30,2019-08-28,2786.93994140625,2887.93994140625,17.299999237060547,-5.526797346620127,3.6240465213985606,2783.02001953125,2922.1710205078125,64.80266262758255,61.90680694398192,6.190680694398192,100.5138488038892,100.5138488038892,0.0,2019
2019-08-27,2019-08-28,2019-11-26,2861.280029296875,3140.52001953125,19.350000381469727,-5.178699270602216,9.75926813786887,2869.159912109375,3012.617907714844,65.80494965511286,118.00487099730306,11.800487099730306,112.31433590361951,112.31433590361951,0.0,2019
2020-02-25,2020-02-26,2020-05-26,3139.89990234375,2991.77001953125,27.559999465942383,-7.6174991906801,-4.71766258223486,3128.2099609375,3284.620458984375,80.88477626739405,-100.0,-10.0,102.31433590361951,112.31433590361951,-10.0,2020
2020-06-11,2020-06-12,2020-09-10,3071.0400390625,3339.18994140625,36.09000015258789,-7.12444360287855,8.731566470413332,3002.10009765625,3152.2051025390624,87.48312468867721,71.58166836974016,7.158166836974016,109.47250274059353,112.31433590361951,-2.8418331630259814,2020
2020-09-09,2020-09-10,2020-12-09,3412.56005859375,3672.820068359375,29.709999084472656,-5.079258567513012,7.626532729005597,3398.9599609375,3568.907958984375,89.15995945784607,90.6102235580588,9.061022355805882,118.53352509639942,118.53352509639942,0.0,2020
2021-09-30,2021-10-01,2021-12-30,4317.16015625,4778.72998046875,21.100000381469727,-5.056483901609122,10.691514966164274,4307.5400390625,4522.917041015625,105.10316980989501,104.91960646161978,10.491960646161978,129.0254857425614,129.0254857425614,0.0,2021
2022-01-19,2022-01-20,2022-04-20,4547.35009765625,4459.4501953125,25.59000015258789,-5.499780879343152,-1.9329917524726015,4532.759765625,4759.39775390625,115.33892055007436,-100.0,-10.0,119.02548574256139,129.0254857425614,-10.0,2022
