dd_thr,confirmation,n,fwd_3m_med,fwd_3m_pos,fwd_6m_med,fwd_6m_pos,fwd_12m_med,fwd_12m_avg,fwd_12m_pos
0.05,none,730,0.031961858500481166,0.6452054794520548,0.05915747136979432,0.6561643835616439,0.1508609995019361,0.07076892502959078,0.726027397260274
0.05,ma50_reclaim,96,0.04396686083395018,0.59375,0.07263079551708418,0.7395833333333334,0.18023723651709445,0.1261960287117481,0.8333333333333334
0.05,ma200_reclaim,154,0.04922736004007522,0.7727272727272727,0.06301770702790943,0.8506493506493507,0.11448306709883604,0.1195713082989632,0.9675324675324676
0.05,vix_decline,385,0.026351792081702463,0.6285714285714286,0.06647540816777453,0.7584415584415585,0.18278838888282123,0.11804777836299958,0.8285714285714286
0.05,term_normalize,214,0.06269042966693239,0.7242990654205608,0.08077594060258075,0.794392523364486,0.18430275243292293,0.11934737279956376,0.8551401869158879
0.08,none,438,0.03610683255010927,0.639269406392694,0.09178752760095488,0.6506849315068494,0.1910551440642566,0.08825201325675332,0.7146118721461188
0.08,ma50_reclaim,45,0.0452355756742886,0.5333333333333333,0.05731312629375762,0.7111111111111111,0.20637042974441844,0.13900046306914318,0.8
0.08,ma200_reclaim,29,0.03653471191818314,0.8275862068965517,0.09918267790098567,0.9310344827586207,0.11553660591200421,0.11836876056414246,0.9655172413793104
0.08,vix_decline,255,0.02770351094935153,0.6039215686274509,0.11111905444825432,0.7568627450980392,0.2044213665581145,0.14783715605843342,0.8313725490196079
0.08,term_normalize,87,0.048829812244734594,0.7241379310344828,0.1295346533313757,0.8275862068965517,0.19929889864343409,0.14138909755242135,0.8505747126436781
0.1,none,306,0.04070445875270001,0.6405228758169934,0.11812484048383931,0.6764705882352942,0.21574359086467487,0.12915641406875128,0.761437908496732
0.1,ma50_reclaim,29,0.06811725357022524,0.5862068965517241,0.13502589336560367,0.8620689655172413,0.21296313322608018,0.19351881649474478,0.896551724137931
0.1,ma200_reclaim,9,0.022123825268371977,0.6666666666666666,0.08821497238382303,0.8888888888888888,0.09913667315983932,0.055277062841247754,0.8888888888888888
0.1,vix_decline,187,0.029615575366539693,0.5989304812834224,0.1354732200476345,0.8021390374331551,0.2243758315950939,0.1998066259380929,0.8877005347593583
0.1,term_normalize,49,0.047630151570068335,0.7346938775510204,0.13856341067094036,0.8979591836734694,0.21196706340034321,0.17394377130746067,0.9183673469387755
0.12,none,198,0.031969496070710535,0.601010101010101,0.11595023702241525,0.6919191919191919,0.2517298140094031,0.1829114358454482,0.8181818181818182
0.12,ma50_reclaim,17,0.07113802908447076,0.6470588235294118,0.15773253931757436,0.8823529411764706,0.23063835830314283,0.2381824608799115,0.8823529411764706
0.12,ma200_reclaim,4,0.029329268593277558,1.0,0.1002528475352793,1.0,0.16425742093083007,0.15678239606851208,1.0
0.12,vix_decline,122,0.009442115724744737,0.5245901639344263,0.12336039615550565,0.8032786885245902,0.2596587801639091,0.24277416126294776,0.9262295081967213
0.12,term_normalize,24,0.007556666443516713,0.5833333333333334,0.1299861750948661,0.875,0.2637447269289137,0.18975475655046722,0.875
0.15,none,118,-0.025689729536490402,0.4830508474576271,0.11072500871198965,0.7542372881355932,0.2882154531617198,0.29367190215796823,0.9661016949152542
0.15,ma50_reclaim,9,0.0452355756742886,0.5555555555555556,0.1454694107057244,1.0,0.23063835830314283,0.27386406950831393,1.0
0.15,vix_decline,81,-0.07092720273631947,0.4074074074074074,0.0661523221623399,0.7901234567901234,0.27565411921427274,0.28023167749760275,0.9753086419753086
0.15,term_normalize,14,0.0034392915802989865,0.5714285714285714,0.14047131537667945,0.9285714285714286,0.29653621466465974,0.24046140215018644,0.9285714285714286
0.2,none,68,-0.09253328794502202,0.17647058823529413,0.03493966920439984,0.6323529411764706,0.248998503298817,0.2743990543946798,1.0
0.2,ma50_reclaim,4,-0.11537346853378033,0.25,0.027645220222448863,1.0,0.2396828253783333,0.27952856013212635,1.0
0.2,vix_decline,51,-0.11204294096667045,0.09803921568627451,0.03989514105517178,0.7058823529411765,0.2593171673228003,0.2553717949363159,1.0
0.2,term_normalize,4,-0.07636863576883368,0.25,0.059878559021335764,1.0,0.29374329104413,0.3074161212470404,1.0
