dd_thr,confirmation,n,fwd_3m_med,fwd_3m_pos,fwd_6m_med,fwd_6m_pos,fwd_12m_med,fwd_12m_avg,fwd_12m_pos
0.05,none,1136,0.04988908449525753,0.6786654960491659,0.07900724498009326,0.695079086115993,0.17391516941822172,0.1212270315671186,0.7676056338028169
0.05,ma50_reclaim,192,0.06811725357022524,0.6974358974358974,0.11928525181564598,0.7783505154639175,0.20387151663010228,0.1862706465512324,0.8645833333333334
0.05,ma200_reclaim,258,0.06117470462167496,0.7884615384615384,0.08564958180718829,0.8532818532818532,0.18158281942934873,0.16204681933828818,0.9147286821705426
0.05,vix_decline,606,0.05056223551814143,0.6715927750410509,0.09748946709822759,0.7697368421052632,0.19107240226985933,0.16219710543444565,0.8514851485148515
0.05,term_normalize,396,0.06309767511664988,0.6917293233082706,0.09426657573567387,0.7437185929648241,0.18110573640160788,0.1456504025844519,0.8308080808080808
0.08,none,671,0.04882083413961946,0.6706408345752608,0.09681306947700552,0.6855439642324889,0.1878965452674468,0.13429277263864015,0.7645305514157973
0.08,ma50_reclaim,82,0.0759441568229553,0.6951219512195121,0.13677895868037993,0.8048780487804879,0.22967268378835015,0.21900958595487213,0.8780487804878049
0.08,ma200_reclaim,47,0.042605004027442606,0.7708333333333334,0.10948757208507343,0.8958333333333334,0.14292502791444917,0.1596326136806886,0.9148936170212766
0.08,vix_decline,398,0.05154868544249047,0.6532663316582915,0.12641736682698745,0.7713567839195979,0.21216617427653028,0.1935854675210368,0.871859296482412
0.08,term_normalize,157,0.04646079976405726,0.6518987341772152,0.10016570574836214,0.7278481012658228,0.1790813955670878,0.15347260959121037,0.8598726114649682
0.1,none,480,0.052225621454325966,0.6875,0.11693873306251712,0.7166666666666667,0.21178211700308358,0.1715641013370581,0.8166666666666667
0.1,ma50_reclaim,56,0.08282304054632605,0.75,0.15187064522121962,0.8928571428571429,0.251953001232302,0.26052208756348105,0.9285714285714286
0.1,ma200_reclaim,16,0.022123825268371977,0.5882352941176471,0.10561025886284381,0.8823529411764706,0.13451470640353802,0.10696210258755187,0.875
0.1,vix_decline,300,0.05475328731444773,0.65,0.1390300088599673,0.8,0.22643490771726404,0.23513213143229697,0.9166666666666666
0.1,term_normalize,100,0.04341290516635499,0.65,0.09033679869702271,0.75,0.18189906264555966,0.17161980987550304,0.92
0.12,none,334,0.06027204413950671,0.6976047904191617,0.13411372778442154,0.7634730538922155,0.251601000321114,0.22774360641281988,0.8802395209580839
0.12,ma50_reclaim,41,0.11038056493787218,0.8048780487804879,0.16935685856194294,0.9024390243902439,0.42683379712448244,0.3091812919409492,0.926829268292683
0.12,ma200_reclaim,9,0.02739866201914909,0.7,0.1002528475352793,0.9,0.17371267757992692,0.16601853538065964,0.8888888888888888
0.12,vix_decline,215,0.06065323898272412,0.6325581395348837,0.15348473738008228,0.8232558139534883,0.27565411921427274,0.28197230459299083,0.9441860465116279
0.12,term_normalize,61,0.029510553365747816,0.6065573770491803,0.0924586250102224,0.7868852459016393,0.20162657352457258,0.20291705101129304,0.9180327868852459
0.15,none,192,0.08206561421388958,0.6510416666666666,0.15896206235990273,0.8333333333333334,0.2978634487182569,0.3246167556888812,0.9791666666666666
0.15,ma50_reclaim,23,0.11310738372744966,0.782608695652174,0.16372794116745526,0.9565217391304348,0.4156341453207091,0.3407210046171248,1.0
0.15,ma200_reclaim,4,0.061048731126073674,1.0,0.15769361217810673,1.0,0.21536424643576657,0.22797112795509605,1.0
0.15,vix_decline,132,0.07863349314225065,0.5984848484848485,0.16845743802336877,0.8484848484848485,0.3076645940854651,0.338475092814105,0.9848484848484849
0.15,term_normalize,29,0.053718934557388964,0.6896551724137931,0.1354732200476345,0.896551724137931,0.2765327185458042,0.24584209807162272,0.9655172413793104
0.2,none,88,-0.07160959869856087,0.36363636363636365,0.0602132273710656,0.7159090909090909,0.275616785460156,0.3388245694398049,1.0
0.2,ma50_reclaim,6,-0.07752714138611655,0.3333333333333333,0.027645220222448863,0.8333333333333334,0.2396828253783333,0.28639604238844524,1.0
0.2,vix_decline,69,-0.08545083425909328,0.3333333333333333,0.06217330895905859,0.782608695652174,0.29178700895762955,0.33574840815521223,1.0
0.2,term_normalize,6,-0.06315054758608413,0.3333333333333333,0.059878559021335764,0.8333333333333334,0.29374329104413,0.30419550516482796,1.0
