n,win_rate,median_winner_account_pct,total_19y,annualized,max_dd,max_consec_l,thr,filter,raw_ddath_triggers,after_ma_filter
25,0.64,11.043253046029964,98.9967635310976,5.114482475421178,-16.258670956896843,2,0.04,none,40,40
25,0.68,11.4739503854924,113.60841807649797,5.869366255898338,-20.4909630006877,3,0.04,ma10_reclaim,40,40
24,0.6666666666666666,10.750310865706865,80.3053886382618,4.148827580037588,-20.0,2,0.04,ma20_reclaim,40,38
20,0.6,11.899921156047007,55.82091041626234,2.883882845284608,-20.0,2,0.04,ma50_reclaim,40,35
16,0.5625,9.306945061826129,20.686712002595492,1.0687402520803049,-18.749924774911307,2,0.04,ma10_cross_ma50,40,21
5,1.0,9.17124523774693,38.081340235819965,1.9674011586800122,0.0,0,0.15,none,5,5
5,1.0,9.690224222075635,41.09995706845076,2.123352346777711,0.0,0,0.15,ma10_reclaim,5,5
5,0.8,8.134163162186866,28.932344806574548,1.4947354358669087,0.0,1,0.15,ma20_reclaim,5,5
3,1.0,9.481330231205945,28.571028808485547,1.4760687211744126,0.0,0,0.15,ma50_reclaim,5,3
2,1.0,10.14741132546906,20.29482265093812,1.0484940223060741,0.0,0,0.15,ma10_cross_ma50,5,2
