n,win_rate,median_winner,median_winner_account_pct,total_19y,annualized,max_dd,max_consec_l,variant,thr,raw_triggers
23,0.6521739130434783,100.42370491778854,10.042370491778854,57.477751687268174,2.9694804481037345,-29.434040643472798,2,ddATH_strict,0.03,37
20,0.65,110.20022730453289,11.02002273045329,82.90834613756257,4.283304506753056,-25.69271160036964,2,ddATH_strict,0.04,29
18,0.7222222222222222,104.91960646161978,10.491960646161978,79.08311370178137,4.085681033425365,-20.067990262498654,2,ddATH_strict,0.05,20
12,0.5833333333333334,93.04381244710763,9.304381244710763,17.148764773153104,0.8859588311678532,-16.40748320235435,2,ddATH_strict,0.06,14
11,0.5454545454545454,99.3774962966283,9.93774962966283,13.008641962909154,0.6720671360880172,-26.258670956896843,3,ddATH_strict,0.07,12
10,0.6,90.18807227484936,9.018807227484936,17.634420577971454,0.9110493292228706,-13.838214120541535,2,ddATH_strict,0.08,11
9,0.5555555555555556,87.33233210259111,8.733233210259112,10.711153387687865,0.5533716895266908,-13.177640771183171,2,ddATH_strict,0.09,10
7,0.5714285714285714,91.48539701277238,9.148539701277238,13.786307154103469,0.712243752476683,-13.177640771183171,2,ddATH_strict,0.1,7
6,0.5,90.82966564019605,9.082966564019605,5.176338469829943,0.2674258374363665,-13.177640771183171,2,ddATH_strict,0.11,6
6,0.5,91.15400074923407,9.115400074923407,4.397984490932302,0.22721363612035247,-13.177640771183171,2,ddATH_strict,0.12,6
6,0.6666666666666666,92.74251930459695,9.274251930459696,24.96972801036213,1.290014256727838,-10.0,1,ddATH_strict,0.13,6
6,0.6666666666666666,94.77118016667687,9.477118016667687,26.847880285570426,1.387045478306186,-8.3951890771866,1,ddATH_strict,0.14,6
5,1.0,91.7124523774693,9.17124523774693,38.081340235819965,1.9674011586800122,0.0,0,ddATH_strict,0.15,5
26,0.6538461538461539,113.75574423650431,11.375574423650432,71.33260834088702,3.685265682154814,-20.0,2,ddATH_lenient,0.03,57
25,0.64,110.43253046029963,11.043253046029964,98.9967635310976,5.114482475421178,-16.258670956896843,2,ddATH_lenient,0.04,40
20,0.7,106.46538053410151,10.646538053410152,81.36322615044043,4.20347877493429,-20.067990262498654,2,ddATH_lenient,0.05,24
14,0.6428571428571429,93.04381244710763,9.304381244710763,33.684790816916184,1.7402616628696967,-16.40748320235435,2,ddATH_lenient,0.06,17
12,0.5833333333333334,97.81271942286683,9.781271942286685,22.673882018706315,1.1714036711716638,-26.258670956896843,3,ddATH_lenient,0.07,14
11,0.6363636363636364,93.04381244710763,9.304381244710763,27.299660633768617,1.4103858643065172,-13.838214120541533,2,ddATH_lenient,0.08,13
10,0.6,88.9326912432135,8.89326912432135,20.68638705053198,1.0687234640402226,-13.177640771183171,2,ddATH_lenient,0.09,11
8,0.625,95.63846192295364,9.563846192295363,24.00860235579463,1.240359498919326,-13.177640771183171,2,ddATH_lenient,0.1,8
7,0.5714285714285714,96.52630882855382,9.652630882855384,15.398633671521104,0.7955415838790096,-13.177640771183171,2,ddATH_lenient,0.11,7
7,0.5714285714285714,92.46329349047933,9.246329349047933,14.147885886403422,0.730924040840375,-13.177640771183171,2,ddATH_lenient,0.12,7
6,0.6666666666666666,92.74251930459695,9.274251930459696,24.96972801036213,1.290014256727838,-10.0,1,ddATH_lenient,0.13,6
6,0.6666666666666666,94.77118016667687,9.477118016667687,26.847880285570426,1.387045478306186,-8.3951890771866,1,ddATH_lenient,0.14,6
5,1.0,91.7124523774693,9.17124523774693,38.081340235819965,1.9674011586800122,0.0,0,ddATH_lenient,0.15,5
