rung,signal,dd_entry,w_pct,exit_rule,pnl_calib,pnl_stress,exit,reason,hold_td,capped,cash_days,mode
-0.15,2008-01-18,-15.3,5.0,X0,67723.0,35335.0,2008-04-18,expiry,61,True,3812500.0,immediate
-0.25,2008-09-17,-26.1,5.0,X0,-62558.0,-62544.0,2008-12-17,expiry,63,False,3937500.0,immediate
-0.35,2008-10-07,-36.3,5.0,X0,-62572.0,-62553.0,2009-01-06,expiry,61,False,3812500.0,immediate
-0.45,2008-10-27,-45.8,5.0,X0,-62596.0,-62569.0,2009-01-26,expiry,60,False,3750000.0,immediate
-0.15,2018-12-20,-15.8,5.0,X0,68069.0,36290.0,2019-03-21,expiry,60,True,3750000.0,immediate
-0.15,2020-03-09,-18.9,5.0,X0,76560.0,40897.0,2020-06-08,expiry,62,True,3875000.0,immediate
-0.25,2020-03-12,-26.7,5.0,X0,83642.0,44581.0,2020-06-11,expiry,62,True,3875000.0,immediate
-0.15,2022-05-09,-16.8,5.0,X0,37103.0,12197.0,2022-08-08,expiry,61,False,3812500.0,immediate
-0.25,2022-09-30,-25.2,5.0,X0,69456.0,36734.0,2022-12-30,expiry,62,True,3875000.0,immediate
-0.15,2025-04-04,-17.4,5.0,X0,73842.0,39022.0,2025-07-07,expiry,61,True,3812500.0,immediate
-0.15,2008-01-18,-15.3,5.0,X1,67723.0,35335.0,2008-04-18,expiry,61,True,3812500.0,immediate
-0.25,2008-09-17,-26.1,5.0,X1,-36136.0,-52092.0,2008-10-07,stop_rung,13,False,812500.0,immediate
-0.35,2008-10-07,-36.3,5.0,X1,-27313.0,-47872.0,2008-10-27,stop_rung,13,False,812500.0,immediate
-0.45,2008-10-27,-45.8,5.0,X1,-62596.0,-62569.0,2009-01-26,expiry,60,False,3750000.0,immediate
-0.15,2018-12-20,-15.8,5.0,X1,68069.0,36290.0,2019-03-21,expiry,60,True,3750000.0,immediate
-0.15,2020-03-09,-18.9,5.0,X1,-18218.0,-43689.0,2020-03-12,stop_rung,2,False,125000.0,immediate
-0.25,2020-03-12,-26.7,5.0,X1,83642.0,44581.0,2020-06-11,expiry,62,True,3875000.0,immediate
-0.15,2022-05-09,-16.8,5.0,X1,37103.0,12197.0,2022-08-08,expiry,61,False,3812500.0,immediate
-0.25,2022-09-30,-25.2,5.0,X1,69456.0,36734.0,2022-12-30,expiry,62,True,3875000.0,immediate
-0.15,2025-04-04,-17.4,5.0,X1,73842.0,39022.0,2025-07-07,expiry,61,True,3812500.0,immediate
-0.15,2008-01-18,-15.3,5.0,X2,2704.0,-28782.0,2008-01-23,stop_ma10,1,False,62500.0,immediate
-0.25,2008-09-17,-26.1,5.0,X2,13362.0,-20050.0,2008-09-22,stop_ma10,2,False,125000.0,immediate
-0.35,2008-10-07,-36.3,5.0,X2,-17703.0,-43624.0,2008-10-09,stop_ma10,1,False,62500.0,immediate
-0.45,2008-10-27,-45.8,5.0,X2,14157.0,-24513.0,2008-11-06,stop_ma10,7,True,437500.0,immediate
-0.15,2018-12-20,-15.8,5.0,X2,-16887.0,-41648.0,2018-12-24,stop_ma10,1,False,62500.0,immediate
-0.15,2020-03-09,-18.9,5.0,X2,-984.0,-32528.0,2020-03-11,stop_ma10,1,False,62500.0,immediate
-0.25,2020-03-12,-26.7,5.0,X2,-7036.0,-37648.0,2020-03-16,stop_ma10,1,False,62500.0,immediate
-0.15,2022-05-09,-16.8,5.0,X2,-5333.0,-34712.0,2022-05-11,stop_ma10,1,False,62500.0,immediate
-0.25,2022-09-30,-25.2,5.0,X2,4517.0,-27117.0,2022-10-07,stop_ma10,4,False,250000.0,immediate
-0.15,2025-04-04,-17.4,5.0,X2,-5536.0,-35392.0,2025-04-08,stop_ma10,1,False,62500.0,immediate
