rung,signal,dd_entry,w_pct,exit_rule,pnl_calib,pnl_stress,exit,reason,hold_td,capped,cash_days,mode
-0.15,2008-01-28,-13.5,5.0,X0,20675.0,-436.0,2008-04-28,expiry,62,False,3875000.0,reclaim
-0.25,2008-09-19,-19.8,5.0,X0,-62553.0,-62540.0,2008-12-19,expiry,63,False,3937500.0,reclaim
-0.35,2008-10-20,-37.0,5.0,X0,-62572.0,-62554.0,2009-01-20,expiry,61,False,3812500.0,reclaim
-0.45,2008-10-28,-39.9,5.0,X0,-62575.0,-62556.0,2009-01-27,expiry,60,False,3750000.0,reclaim
-0.15,2018-12-31,-14.5,5.0,X0,67104.0,35504.0,2019-04-01,expiry,61,True,3812500.0,reclaim
-0.15,2020-03-25,-26.9,5.0,X0,79735.0,42424.0,2020-06-24,expiry,62,True,3875000.0,reclaim
-0.25,2020-03-25,-26.9,5.0,X0,79735.0,42424.0,2020-06-24,expiry,62,True,3875000.0,reclaim
-0.15,2022-05-17,-14.8,5.0,X0,68333.0,36319.0,2022-08-16,expiry,61,True,3812500.0,reclaim
-0.25,2022-10-04,-21.0,5.0,X0,-38950.0,-44754.0,2023-01-03,expiry,61,False,3812500.0,reclaim
-0.15,2025-04-09,-11.2,5.0,X0,69994.0,37082.0,2025-07-09,expiry,60,True,3750000.0,reclaim
-0.15,2008-01-28,-13.5,5.0,X1,-9940.0,-37697.0,2008-02-06,stop_rung,6,False,375000.0,reclaim
-0.25,2008-09-19,-19.8,5.0,X1,-33528.0,-51258.0,2008-09-29,stop_rung,5,False,312500.0,reclaim
-0.35,2008-10-20,-37.0,5.0,X1,-17767.0,-43528.0,2008-10-22,stop_rung,1,False,62500.0,reclaim
-0.45,2008-10-28,-39.9,5.0,X1,-18572.0,-42522.0,2008-11-12,stop_rung,10,False,625000.0,reclaim
-0.15,2018-12-31,-14.5,5.0,X1,-11817.0,-38306.0,2019-01-03,stop_rung,1,False,62500.0,reclaim
-0.15,2020-03-25,-26.9,5.0,X1,3644.0,-30059.0,2020-03-27,stop_rung,1,False,62500.0,reclaim
-0.25,2020-03-25,-26.9,5.0,X1,-59.0,-32131.0,2020-04-01,stop_rung,4,False,250000.0,reclaim
-0.15,2022-05-17,-14.8,5.0,X1,-19535.0,-43463.0,2022-05-19,stop_rung,1,False,62500.0,reclaim
-0.25,2022-10-04,-21.0,5.0,X1,-20457.0,-43832.0,2022-10-11,stop_rung,4,False,250000.0,reclaim
-0.15,2025-04-09,-11.2,5.0,X1,-21397.0,-44067.0,2025-04-21,stop_rung,6,False,375000.0,reclaim
-0.15,2008-01-28,-13.5,5.0,X2,-6719.0,-35635.0,2008-02-05,stop_ma10,5,False,312500.0,reclaim
-0.25,2008-09-19,-19.8,5.0,X2,-18803.0,-42682.0,2008-09-23,stop_ma10,1,False,62500.0,reclaim
-0.35,2008-10-20,-37.0,5.0,X2,-17767.0,-43528.0,2008-10-22,stop_ma10,1,False,62500.0,reclaim
-0.45,2008-10-28,-39.9,5.0,X2,-7440.0,-35965.0,2008-11-06,stop_ma10,6,False,375000.0,reclaim
-0.15,2018-12-31,-14.5,5.0,X2,-11817.0,-38306.0,2019-01-03,stop_ma10,1,False,62500.0,reclaim
-0.15,2020-03-25,-26.9,5.0,X2,-59.0,-32131.0,2020-04-01,stop_ma10,4,False,250000.0,reclaim
-0.25,2020-03-25,-26.9,5.0,X2,-59.0,-32131.0,2020-04-01,stop_ma10,4,False,250000.0,reclaim
-0.15,2022-05-17,-14.8,5.0,X2,-19535.0,-43463.0,2022-05-19,stop_ma10,1,False,62500.0,reclaim
-0.25,2022-10-04,-21.0,5.0,X2,-15948.0,-41291.0,2022-10-07,stop_ma10,2,False,125000.0,reclaim
-0.15,2025-04-09,-11.2,5.0,X2,-21397.0,-44067.0,2025-04-21,stop_ma10,6,False,375000.0,reclaim
