entry_date,exit_date,exit_pnl,total_bp,dte_at_exit,threshold,is_aftermath,is_new_vs_28
2009-05-04,2009-05-22,663.44,21000.0,21,22,False,False
2009-05-22,2009-06-01,3278.76,21000.0,30,22,False,False
2009-10-21,2009-11-10,1954.7,21000.0,21,22,False,False
2009-11-10,2009-11-25,2594.23,21000.0,24,22,True,False
2009-11-27,2009-12-14,3004.64,21000.0,24,22,False,False
2009-12-17,2010-01-04,3235.31,21000.0,25,22,False,False
2010-08-09,2010-08-27,-5392.19,21000.0,21,22,False,False
2011-10-11,2011-10-21,2615.25,21000.0,27,22,True,False
2011-10-24,2011-11-11,1754.17,21000.0,21,22,True,False
2011-11-11,2011-12-02,1102.87,21000.0,21,22,True,False
2011-12-08,2011-12-22,3576.73,21000.0,25,22,True,False
2020-04-27,2020-05-11,2917.8,21000.0,25,22,True,False
2020-05-11,2020-05-27,2767.44,21000.0,24,22,True,False
2020-05-27,2020-06-05,3428.46,21000.0,28,22,True,False
2020-06-05,2020-06-25,-3162.67,21000.0,21,22,True,False
2020-06-25,2020-07-06,2788.27,21000.0,29,22,True,False
2020-07-07,2020-07-20,3332.91,21000.0,26,22,True,False
2020-11-06,2020-11-23,2654.29,21000.0,24,22,True,False
2020-11-23,2020-12-08,3176.24,21000.0,25,22,True,True
2020-12-09,2020-12-30,2282.58,21000.0,21,22,False,False
2020-12-30,2021-01-20,3194.57,21000.0,22,22,False,False
2021-01-25,2021-02-11,2690.31,21000.0,22,22,False,False
2021-02-18,2021-03-10,1099.7,21000.0,21,22,False,False
2021-03-10,2021-03-26,3129.69,21000.0,23,22,True,False
2021-05-19,2021-06-03,3086.08,21000.0,25,22,True,True
2022-03-22,2022-04-11,-858.11,21000.0,21,22,True,False
2022-11-28,2022-12-16,-1359.8,21000.0,21,22,False,False
2025-05-02,2025-05-13,3455.94,21000.0,28,22,True,False
2009-05-04,2009-05-22,663.44,21000.0,21,24,False,False
2009-05-22,2009-06-01,3278.76,21000.0,30,24,False,False
2009-10-21,2009-11-10,1954.7,21000.0,21,24,False,False
2009-11-10,2009-11-25,2594.23,21000.0,24,24,True,False
2009-11-27,2009-12-14,3004.64,21000.0,24,24,False,False
2009-12-17,2010-01-04,3235.31,21000.0,25,24,False,False
2010-08-09,2010-08-27,-5392.19,21000.0,21,24,False,False
2011-10-11,2011-10-21,2615.25,21000.0,27,24,True,False
2011-10-24,2011-11-11,1754.17,21000.0,21,24,True,False
2011-11-11,2011-12-02,1102.87,21000.0,21,24,True,False
2011-12-08,2011-12-22,3576.73,21000.0,25,24,True,False
2020-04-27,2020-05-11,2917.8,21000.0,25,24,True,False
2020-05-11,2020-05-27,2767.44,21000.0,24,24,True,False
2020-05-27,2020-06-05,3428.46,21000.0,28,24,True,False
2020-06-05,2020-06-25,-3162.67,21000.0,21,24,True,False
2020-06-25,2020-07-06,2788.27,21000.0,29,24,True,False
2020-07-07,2020-07-20,3332.91,21000.0,26,24,True,False
2020-11-06,2020-11-23,2654.29,21000.0,24,24,True,False
2020-11-23,2020-12-08,3176.24,21000.0,25,24,True,True
2020-12-09,2020-12-30,2282.58,21000.0,21,24,False,False
2020-12-30,2021-01-20,3194.57,21000.0,22,24,False,False
2021-01-25,2021-02-11,2690.31,21000.0,22,24,False,False
2021-02-18,2021-03-10,1099.7,21000.0,21,24,False,False
2021-03-10,2021-03-26,3129.69,21000.0,23,24,True,False
2021-05-19,2021-06-03,3086.08,21000.0,25,24,True,True
2022-03-22,2022-04-11,-858.11,21000.0,21,24,True,False
2022-11-28,2022-12-16,-1359.8,21000.0,21,24,False,False
2025-05-02,2025-05-13,3455.94,21000.0,28,24,True,False
2009-05-04,2009-05-22,663.44,21000.0,21,25,False,False
2009-05-22,2009-06-01,3278.76,21000.0,30,25,False,False
2009-10-21,2009-11-10,1954.7,21000.0,21,25,False,False
2009-11-10,2009-11-25,2594.23,21000.0,24,25,True,False
2009-11-27,2009-12-14,3004.64,21000.0,24,25,False,False
2009-12-17,2010-01-04,3235.31,21000.0,25,25,False,False
2010-08-09,2010-08-27,-5392.19,21000.0,21,25,False,False
2011-10-11,2011-10-21,2615.25,21000.0,27,25,True,False
2011-10-24,2011-11-11,1754.17,21000.0,21,25,True,False
2011-11-11,2011-12-02,1102.87,21000.0,21,25,True,False
2011-12-08,2011-12-22,3576.73,21000.0,25,25,True,False
2020-04-27,2020-05-11,2917.8,21000.0,25,25,True,False
2020-05-11,2020-05-27,2767.44,21000.0,24,25,True,False
2020-05-27,2020-06-05,3428.46,21000.0,28,25,True,False
2020-06-05,2020-06-25,-3162.67,21000.0,21,25,True,False
2020-06-25,2020-07-06,2788.27,21000.0,29,25,True,False
2020-07-07,2020-07-20,3332.91,21000.0,26,25,True,False
2020-11-06,2020-11-23,2654.29,21000.0,24,25,True,False
2020-11-23,2020-12-08,3176.24,21000.0,25,25,True,True
2020-12-09,2020-12-30,2282.58,21000.0,21,25,False,False
2020-12-30,2021-01-20,3194.57,21000.0,22,25,False,False
2021-01-25,2021-02-11,2690.31,21000.0,22,25,False,False
2021-02-18,2021-03-10,1099.7,21000.0,21,25,False,False
2021-03-10,2021-03-26,3129.69,21000.0,23,25,True,False
2021-05-19,2021-06-03,3086.08,21000.0,25,25,True,True
2022-03-22,2022-04-11,-858.11,21000.0,21,25,True,False
2022-11-28,2022-12-16,-1359.8,21000.0,21,25,False,False
2025-05-02,2025-05-13,3455.94,21000.0,28,25,True,False
2009-05-04,2009-05-22,663.44,21000.0,21,26,False,False
2009-05-22,2009-06-01,3278.76,21000.0,30,26,False,False
