threshold,af_trades_n,orig_aftermath_n,new_trades_n,new_wr,new_avg_pnl,new_median_pnl,new_worst_pnl,new_dollar_bp_day,all_af_wr,all_af_avg_pnl,all_af_worst_pnl
22,17,15,2,100.0,3131.0,3131.0,3086.0,0.5964,88.2,2256.0,-3163.0
24,17,15,2,100.0,3131.0,3131.0,3086.0,0.5964,88.2,2256.0,-3163.0
25,17,15,2,100.0,3131.0,3131.0,3086.0,0.5964,88.2,2256.0,-3163.0
26,16,15,1,100.0,3086.0,3086.0,3086.0,0.5878,87.5,2199.0,-3163.0
27,16,15,1,100.0,3086.0,3086.0,3086.0,0.5878,87.5,2199.0,-3163.0
28,15,15,0,,,,,,86.7,2140.0,-3163.0
