date,vix,peak_10d,off_peak_%,status
2007-01-03,12.039999961853027,12.039999961853027,0.0,none
2007-01-04,11.510000228881836,12.039999961853027,4.401991151581541,none
2007-01-05,12.140000343322754,12.140000343322754,0.0,none
2007-01-08,12.0,12.140000343322754,1.153215316009093,none
2007-01-09,11.90999984741211,12.140000343322754,1.8945674580408856,none
2007-01-10,11.470000267028809,12.140000343322754,5.518946106640421,none
2007-01-11,10.869999885559082,12.140000343322754,10.461288483094632,none
2007-01-12,10.149999618530273,12.140000343322754,16.392097763712343,none
2007-01-16,10.739999771118164,12.140000343322754,11.53212959318093,none
2007-01-17,10.59000015258789,12.140000343322754,12.767711259476155,none
2007-01-18,10.850000381469727,12.140000343322754,10.626029039303553,none
2007-01-19,10.399999618530273,12.140000343322754,14.332789749462538,none
2007-01-22,10.770000457763672,12.0,10.249996185302734,none
2007-01-23,10.34000015258789,11.90999984741211,13.18219743861172,none
2007-01-24,9.890000343322754,11.470000267028809,13.775064402115644,none
2007-01-25,11.220000267028809,11.220000267028809,0.0,none
2007-01-26,11.130000114440918,11.220000267028809,0.8021403783061043,none
2007-01-29,11.449999809265137,11.449999809265137,0.0,none
2007-01-30,10.960000038146973,11.449999809265137,4.279474054852517,none
2007-01-31,10.420000076293945,11.449999809265137,8.99563100549341,none
2007-02-01,10.3100004196167,11.449999809265137,9.956326713001085,none
2007-02-02,10.079999923706055,11.449999809265137,11.96506470201425,none
2007-02-05,10.550000190734863,11.449999809265137,7.860258808057008,none
2007-02-06,10.649999618530273,11.449999809265137,6.986901345513708,none
2007-02-07,10.319999694824219,11.449999809265137,9.868996797070185,none
2007-02-08,10.4399995803833,11.449999809265137,8.820962844598146,none
2007-02-09,11.100000381469727,11.449999809265137,3.0567636124517406,none
2007-02-12,11.609999656677246,11.609999656677246,0.0,none
2007-02-13,10.34000015258789,11.609999656677246,10.938841874632976,none
2007-02-14,10.229999542236328,11.609999656677246,11.8863062467641,none
2007-02-15,10.220000267028809,11.609999656677246,11.972432650753861,none
2007-02-16,10.020000457763672,11.609999656677246,13.695083944288665,none
2007-02-20,10.239999771118164,11.609999656677246,11.800171628525035,none
2007-02-21,10.199999809265137,11.609999656677246,12.14470188723199,none
2007-02-22,10.180000305175781,11.609999656677246,12.316962909460816,none
2007-02-23,10.579999923706055,11.609999656677246,8.871660322391218,none
2007-02-26,11.149999618530273,11.609999656677246,3.9621020822547037,none
2007-02-27,18.309999465942383,18.309999465942383,0.0,none
2007-02-28,15.420000076293945,18.309999465942383,15.78372186751833,none
2007-03-01,15.819999694824219,18.309999465942383,13.599125307183668,none
2007-03-02,18.610000610351562,18.610000610351562,0.0,none
2007-03-05,19.6299991607666,19.6299991607666,0.0,none
2007-03-06,15.960000038146973,19.6299991607666,18.69586999246874,none
2007-03-07,15.239999771118164,19.6299991607666,22.363726833073372,none
2007-03-08,14.289999961853027,19.6299991607666,27.203257397923565,none
2007-03-09,14.09000015258789,19.6299991607666,28.222105170800017,none
2007-03-12,13.989999771118164,19.6299991607666,28.73153148636294,none
2007-03-13,18.1299991607666,19.6299991607666,7.64136558394749,none
2007-03-14,17.270000457763672,19.6299991607666,12.022408578191534,none
2007-03-15,16.43000030517578,19.6299991607666,16.30157408252203,none
2007-03-16,16.790000915527344,19.6299991607666,14.467643233095018,none
2007-03-19,14.59000015258789,18.1299991607666,19.525643530305747,none
2007-03-20,13.270000457763672,18.1299991607666,26.806392321958782,none
2007-03-21,12.1899995803833,18.1299991607666,32.76337482263919,none
2007-03-22,12.930000305175781,18.1299991607666,28.68173798288772,none
2007-03-23,12.949999809265137,18.1299991607666,28.571426317056904,none
2007-03-26,13.15999984741211,18.1299991607666,27.413124894730235,none
2007-03-27,13.479999542236328,17.270000457763672,21.945575072776336,none
2007-03-28,14.979999542236328,16.790000915527344,10.780233916587411,none
2007-03-29,15.140000343322754,16.790000915527344,9.82728101389604,none
2007-03-30,14.640000343322754,15.140000343322754,3.3025098326402436,none
2007-04-02,14.529999732971191,15.140000343322754,4.029066027205164,none
2007-04-03,13.460000038146973,15.140000343322754,11.09643505336324,none
2007-04-04,13.239999771118164,15.140000343322754,12.549541143455478,none
2007-04-05,13.229999542236328,15.140000343322754,12.615592851877311,none
2007-04-09,13.140000343322754,15.140000343322754,13.210039330560964,none
2007-04-10,12.680000305175781,15.140000343322754,16.24834862855148,none
2007-04-11,13.489999771118164,15.140000343322754,10.898286227135356,none
2007-04-12,12.710000038146973,15.140000343322754,16.050199802323604,none
2007-04-13,12.199999809265137,14.640000343322754,16.66666992375101,none
2007-04-16,11.979999542236328,14.529999732971191,17.549898400537835,none
2007-04-17,12.140000343322754,13.489999771118164,10.007408826542264,none
2007-04-18,12.420000076293945,13.489999771118164,7.9317992066617276,none
2007-04-19,12.539999961853027,13.489999771118164,7.04225222671292,none
2007-04-20,12.069999694824219,13.489999771118164,10.52631653363063,none
2007-04-23,13.039999961853027,13.489999771118164,3.3358029421807545,none
2007-04-24,13.119999885559082,13.489999771118164,2.74277162221489,none
2007-04-25,13.210000038146973,13.210000038146973,0.0,none
2007-04-26,12.789999961853027,13.210000038146973,3.179410106594216,none
2007-04-27,12.449999809265137,13.210000038146973,5.753218975678709,none
