date,vix,peak_10d,off_peak_%,is_trap_5TD_45,year
2008-12-19,44.93000030517578,58.90999984741211,23.731114544979015,True,2008
2008-12-22,44.560001373291016,58.90999984741211,24.35918946068625,True,2008
2008-12-24,44.209999084472656,56.7599983215332,22.110640606378272,False,2008
2008-12-26,43.380001068115234,56.7599983215332,23.572934547360546,False,2008
2008-12-29,43.900001525878906,56.7599983215332,22.656795588338774,False,2008
2008-12-30,41.630001068115234,52.369998931884766,20.507920723348782,False,2008
2008-12-31,40.0,49.84000015258789,19.743178415855123,False,2008
2009-01-27,42.25,56.650001525878906,25.41924296206891,True,2009
2009-01-29,42.630001068115234,56.650001525878906,24.748455569518455,True,2009
2009-01-30,44.84000015258789,56.650001525878906,20.84730989441538,True,2009
2009-02-12,41.25,46.66999816894531,11.613452713936113,True,2009
2009-02-25,44.66999816894531,52.619998931884766,15.1083255878255,True,2009
2009-02-26,44.65999984741211,52.619998931884766,15.127326579342338,True,2009
2009-03-10,44.369998931884766,52.650001525878906,15.72650019758175,False,2009
2009-03-11,43.61000061035156,52.650001525878906,17.169991744604108,False,2009
2009-03-12,41.18000030517578,52.650001525878906,21.785376805858792,False,2009
2009-03-13,42.36000061035156,52.650001525878906,19.544160716632707,True,2009
2009-03-16,43.7400016784668,50.93000030517578,14.117413280239655,True,2009
2009-03-17,40.79999923706055,50.16999816894531,18.676498452983193,True,2009
2009-03-18,40.060001373291016,50.16999816894531,20.15147929965897,True,2009
2009-03-19,43.68000030517578,49.68000030517578,12.07729461180157,True,2009
2009-03-26,40.36000061035156,45.88999938964844,12.050553176830714,True,2009
2009-03-27,41.040000915527344,45.88999938964844,10.568748177440867,True,2009
2009-04-06,40.93000030517578,45.540000915527344,10.122969955364525,False,2009
2009-04-07,40.38999938964844,45.540000915527344,11.308742692894757,False,2009
2010-05-21,40.099998474121094,45.790000915527344,12.426299033937728,False,2010
2011-08-10,42.9900016784668,48.0,10.437496503194177,False,2011
2011-08-18,42.66999816894531,48.0,11.104170481363928,False,2011
2011-08-19,43.04999923706055,48.0,10.31250158945719,False,2011
2011-10-04,40.81999969482422,45.45000076293945,10.187020880955844,False,2011
2020-04-08,43.349998474121094,65.54000091552734,33.85718970313461,False,2020
2020-04-09,41.66999816894531,65.54000091552734,36.42051024281706,False,2020
2020-04-13,41.16999816894531,57.08000183105469,27.873165998136763,False,2020
2020-04-15,40.84000015258789,57.060001373291016,28.426219471308112,True,2020
2020-04-16,40.11000061035156,50.90999984741211,21.21390545949793,True,2020
2025-04-10,40.720001220703125,52.33000183105469,22.18612689491963,False,2025
