date,year,vix_pre5,vix_day,vix_post1,vix_post5,vix_chg_pre_to_day_pct,vix_crush_day_to_post1_pct,vix_crush_day_to_post5_pct,abs_move_day_pct,abs_move_post1_pct
2000-02-02,2000,23.030000686645508,23.1200008392334,22.010000228881836,22.899999618530273,0.39079526662837427,-4.801040527939559,-0.9515623387426286,0.011355740261742575,1.1248137590027962
2000-03-21,2000,24.40999984741211,21.700000762939453,21.489999771118164,24.860000610351562,-11.10200369280201,-0.9677464720643791,14.562210766411333,2.556585413560186,0.45318665970788263
2000-05-16,2000,28.93000030517578,24.34000015258789,23.979999542236328,25.8700008392334,-15.865883526336177,-1.47904933481805,6.285951836704617,0.9419189353131463,1.2441672634015521
2000-06-28,2000,20.610000610351562,20.290000915527344,19.700000762939453,20.940000534057617,-1.55264282070664,-2.907836993424584,3.203546521443701,0.2943640217300425,0.8543965644911
2000-08-22,2000,17.979999542236328,17.469999313354492,17.3799991607666,16.889999389648438,-2.83648632851079,-0.5151697545808798,-3.3199767973813743,0.0900295838238141,0.5233167879129308
2000-10-03,2000,21.8799991607666,21.850000381469727,21.540000915527344,24.860000610351562,-0.1371059435443911,-1.4187618330903207,13.775744514103172,0.6802545319421149,0.5510133874628176
2000-11-15,2000,25.65999984741211,26.149999618530273,25.049999237060547,27.709999084472656,1.9095860250661012,-4.206502476161611,5.96558121873525,0.49604885672558385,1.258453426534023
2000-12-19,2000,24.8799991607666,27.170000076293945,31.739999771118164,28.139999389648438,9.204184054549568,16.820020912740375,3.5701115591855404,1.295796209004041,3.129594524787349
2001-01-31,2001,22.030000686645508,22.020000457763672,21.65999984741211,21.670000076293945,-0.04539368393164933,-1.63488012201487,-1.5894658228598035,0.5619714800495723,0.5461131971338906
2001-03-20,2001,27.549999237060547,30.959999084472656,31.93000030517578,27.040000915527344,12.37749525170564,3.1330789708892803,-12.66149316816778,2.4077401171648027,1.7923702154931664
2001-05-15,2001,24.440000534057617,23.709999084472656,21.889999389648438,21.350000381469727,-2.986912576240286,-7.676085048928205,-9.953600987477307,0.04162776179772454,2.845278724491007
2001-06-27,2001,21.709999084472656,20.8799991607666,20.010000228881836,20.09000015258789,-3.8231227946005975,-4.166661718643594,-3.7835203061842737,0.46764057257754343,1.2493089213528652
2001-08-21,2001,20.479999542236328,24.399999618530273,22.440000534057617,22.0,19.14062580035536,-8.03278325866923,-9.836064164147052,1.2079480285459132,0.6956128061277544
2001-10-02,2001,35.810001373291016,31.18000030517578,31.34000015258789,34.83000183105469,-12.929351830655145,0.5131489603787731,11.706226716338474,1.2305528501956209,1.9927210407669316
2001-11-06,2001,33.459999084472656,28.799999237060547,29.1299991607666,26.469999313354492,-13.927077032033196,1.145833098778004,-8.090277727187411,1.4526150690715944,0.27348699242971675
