regime,n_years,mean_ann_roe_pct,sigma_ann_roe_pct,noise_threshold_pp_over_sigma
benign,2,32.34886968236927,28.366751528655623,0.01762626924323387
normal,2,38.05332943501441,39.16092980579311,0.012767827589375433
elevated,5,33.96198655469307,20.088294226672232,0.02489011731698578
stress,17,22.14791416657732,16.872332877397476,0.029634313383528028
