rep,delta_roe_pp,delta_maxdd_pp,delta_w20d_pp,delta_w63d_pp,delta_sharpe,baseline_roe,combined_roe
0,2.094680938696137,0.782133664701016,1.7055645074181225,2.9953415737790627,1.0295805555940682,7.709921589760582,9.80460252845672
1,2.0306862572244233,2.304844958697081,2.426025759343883,2.307298740896149,1.142479467899458,7.979832807447784,10.010519064672208
2,1.8975413399234604,-0.16265787142108046,-0.06548919355973215,2.276928214319558,1.0217622452919144,8.1115469818392,10.009088321762661
3,1.829833810460979,2.4850128366238087,1.2077257032587574,2.733089486700062,1.061640002232934,8.045253905445149,9.875087715906128
4,2.0202276339620573,-0.13173371889655883,-0.6758976164257278,0.7396095965570522,0.9549142582985537,7.934099913994319,9.954327547956376
5,1.810577394702916,0.657421251210546,1.9306822071435148,0.8953284661331011,0.7915372933770932,8.12174461829307,9.932322012995986
6,1.7992709210625346,3.2172410506220364,2.3300368110371,4.178231102353704,1.0751371127589948,8.169485795966258,9.968756717028793
7,1.7527686816745547,1.777215894216547,1.2958669840820232,1.7807616936046151,0.8860069086206717,8.168785858149397,9.921554539823951
8,2.0247402067225417,3.9043503404505344,2.5117125572648558,3.421589353986355,0.9569195238786334,7.67355520775268,9.698295414475222
9,1.8957536624287332,0.3279575500627807,1.3631391946773546,2.139786303707262,0.8775645585478251,8.108813970326857,10.00456763275559
10,1.7617666484684769,2.432118518636254,0.8777846494556698,2.705081778692714,0.9600297440329739,8.256082248226182,10.017848896694659
11,1.6373112669189709,1.416712000366969,0.8473898067478696,1.4524746294360802,1.0402096428653151,8.53423255143413,10.1715438183531
12,1.7857807586189036,1.7888290555922675,1.7571597444036864,3.2641497055171866,1.0562003032843665,8.211776524066106,9.99755728268501
13,1.8674540915145208,3.675097639513667,1.2489883976103142,2.991866331836323,0.9767390732882424,8.247846716040396,10.115300807554917
14,2.1310156614890774,2.3778377495694176,0.8609592779366704,4.690045261547011,0.9775534926379561,7.94480732902223,10.075822990511307
15,2.081128679952382,2.669652061129132,1.519436409193851,2.7250305278394706,1.060225859475081,7.703510570819105,9.784639250771487
16,1.7987573464771422,1.7408295814327452,0.6914311884443638,4.133142396799594,0.9003058816167648,8.54067342688667,10.339430773363812
17,1.7541787620067204,0.9511103200782984,0.8117048726617888,1.6449149216086554,0.9203533336042864,8.398702844411687,10.152881606418408
18,1.8179636086693254,-0.39555824675147555,0.22762932909977618,1.194353776887981,0.7915788192030098,8.154591137934686,9.972554746604011
19,1.7973932099214718,1.497453490789753,2.1180734061503603,2.8646578602300883,0.9488794365027613,7.9611099698920995,9.758503179813571
20,2.0697642834393903,2.8334694418053354,1.5836240234662613,3.83359063883132,1.014391575608087,7.978310720087922,10.048075003527313
21,1.9471437260487612,0.6320755259526933,0.7283302860512348,2.011874837064341,0.943157669637936,8.391529006079512,10.338672732128273
22,2.0433985413388367,2.6850292790328885,2.0144197995325213,3.612692177115462,1.2962946269347668,7.987267401443177,10.030665942782013
23,1.9576527630841056,0.7492837958180321,0.7386474424691798,2.8252123818821455,1.0750860931124375,8.269198914855247,10.226851677939353
24,1.9141650294303378,1.2194669866078707,0.38058560166345234,1.9043465004613926,0.9485585884428367,7.806220059896818,9.720385089327156
25,2.1433004682922974,0.2194856437762338,1.5519624380267532,1.785420771942269,1.0086334087165187,7.804171957764217,9.947472426056514
26,2.001556596006383,0.8209969610422414,0.5993933440880079,1.6838121028671507,1.0420322542156626,8.208259234796289,10.209815830802672
27,2.2484504094954403,3.440905474356489,-0.1235629938192444,3.142585000165349,1.0621806579619895,7.596863351353544,9.845313760848985
28,1.8836746844715915,1.2829463810704391,0.570768518113554,2.5978600146918227,1.0012423494634395,8.382840809478376,10.266515493949967
29,1.8309959068511183,0.9146295886301012,0.9554629350785806,0.8463617617256864,1.009203892097044,8.413835854857288,10.244831761708406
30,1.8374630009211366,1.2155565297457787,1.8054694028559704,2.989622353857402,0.9693652817456884,8.119610961556933,9.95707396247807
31,1.8982983629924686,0.8121276045624848,1.0842086914101978,1.4075091701299702,1.0886277186372566,8.383343371949747,10.281641734942216
32,1.847148955469068,1.0257083400982179,1.1314389584168687,0.4122299699798111,0.8983934055232172,8.453181734584936,10.300330690054004
33,1.8827444653387815,2.725016696564376,0.5578064721829374,3.564542413738839,0.9966572066702728,7.894697575387077,9.777442040725859
34,1.8243816211073174,0.8688518055246419,0.9114674751120901,1.4816465156163028,0.9897179156064078,8.26323020735298,10.087611828460297
35,2.13809447098272,0.696535191629049,1.032004832122309,0.8042200688687378,1.085134328472174,7.638044000190325,9.776138471173045
36,2.0483345115584797,1.6207519889322,0.8490083902629131,1.5716262461576478,1.246004972317436,7.963204144815084,10.011538656373563
37,1.8949644737009663,0.7436315166200158,0.3724086765259482,2.6072685939792706,0.8915123874976807,8.12554209609071,10.020506569791676
38,1.5797962349112673,3.5776870545350725,2.6199841811615165,4.3489011881781785,0.8298166920656782,8.879545724606075,10.459341959517342
39,1.892000434501817,-0.8960700758182352,-1.1910910173606872,2.2682068177739954,0.8524089083060189,7.812428154175244,9.704428588677061
40,1.7632290852772634,0.9386369163933317,1.0676253542683747,0.5412159343116043,1.0437351521260734,8.440172912657484,10.203401997934748
41,1.832108392188882,0.7212064173326542,0.14285836179853284,2.2904778704022775,0.8209701964113876,8.451659784376652,10.283768176565534
42,1.6996571665365074,0.9628524118282993,0.5869742489611989,0.340102581415894,0.8304485980269383,8.368431900067662,10.06808906660417
43,1.7345201007375355,1.0186633620295984,1.2209114615501553,1.237063001177917,0.911680616062795,8.441460422228708,10.175980522966244
44,1.9284522332648333,-0.25791407066753447,-0.4305978722111421,1.6405834124711292,0.8836776867974003,8.009733918780748,9.938186152045581
45,1.8102081932684015,-0.7449294125550194,-0.7767718919127296,-0.005250434162061168,1.0874786348374101,8.332060339215165,10.142268532483566
46,1.7131493871204384,-0.16217179613412203,0.13837509238526557,1.0984193004480276,0.883772501828548,8.663868115245176,10.377017502365614
47,1.8511152621748064,-0.24463287511346365,-0.8558442125477175,3.0199107831697054,0.8828489267101558,8.072799754963956,9.923915017138762
48,1.9262485180160827,2.1953403065186663,2.1673036020939556,5.877761109335071,0.9780355375620242,7.850832058277346,9.777080576293429
49,1.8912609398978422,1.4874712503250542,0.4360724339985502,1.7480180017706761,0.9000727368944323,8.197642173609099,10.088903113506941
50,1.8531837858931652,0.5171424398238909,0.4158731273576448,0.5676137327139921,0.9432338121568971,8.05926505943797,9.912448845331134
51,1.932254758968611,1.7180511651509933,0.704243228647087,1.8039135931211243,0.871014405612921,8.183540054652383,10.115794813620994
52,1.7560537876611928,0.8110999772776735,1.0340756084065617,1.8326468056660463,1.0107011640807473,8.263400641161533,10.019454428822726
53,1.6578426466865572,-1.5487387408884485,-0.4913846583722945,-0.6197993623814142,0.8586761290540035,8.534286941381076,10.192129588067633
54,1.8343948614114804,0.35590738074440864,1.3336673205680687,0.4545374257639292,0.9216737535011252,8.381107755227713,10.215502616639194
55,1.8607490027237255,2.777461255711275,2.262744154165219,4.062149157238522,0.9200260699895604,8.436705962128489,10.297454964852214
56,1.7843065720211317,0.7073777750005581,0.7297281124606405,2.085292627318905,0.8529829890298535,8.509646805063188,10.29395337708432
57,1.808151335520746,1.7081371606612832,1.001409044568914,2.215223038062529,0.8284459329016718,8.034551300832128,9.842702636352874
58,1.897427272602604,1.0229519640167437,1.3653849528175903,1.6387575365833755,0.9648093891085003,8.10861072128728,10.006037993889883
59,2.157207955435968,1.8177133276476436,2.334509591359388,2.2431416749563287,1.2029861637400319,7.975480233858434,10.132688189294402
60,2.1126345803239346,2.1267960910815686,1.5773507209157218,3.3256873259135977,1.1695323713318975,8.182621991510764,10.295256571834699
61,1.6959191086788117,1.2264839949440138,0.4086909607224798,1.9609486865335168,0.9683430219171325,8.323421255102259,10.01934036378107
62,1.6908675955433772,0.5075433766029978,0.2036638730136482,-0.2771536296488364,0.8811887469388355,8.301442646543244,9.99231024208662
63,2.0829875539285734,2.2336448837838327,1.1488894197730337,4.154594894388719,1.01179775377252,7.80613483556567,9.889122389494243
64,1.6482213145887261,0.3086784340217683,0.4761250845897744,0.6739515339772069,0.7929370325322691,8.623171306755184,10.27139262134391
65,2.133290074228734,2.643423066990146,1.7025157076222017,1.372121118284682,1.1355096633198953,8.08190631374368,10.215196387972414
66,1.8601003724131306,0.6486772006312185,1.2074581697411646,1.4775739424361252,0.9817015563415459,8.071012182572424,9.931112554985555
67,2.0793548366986983,0.9977829147780799,0.8760807257176837,0.7537581490148795,1.0154823551962662,8.161764791220527,10.241119627919225
68,1.784223766034021,1.2112400808358417,0.8564981056884013,1.766877603050826,1.0707713564622257,8.165853389798738,9.950077155832759
69,1.9839181352400352,1.465787333774168,0.6082595670680186,0.24070469620846513,0.881647972388198,8.068791994744707,10.052710129984742
70,1.7515475496580049,0.8476018645558288,0.4620749464733773,1.0089486009272934,0.8094442557105443,8.397301496445198,10.148849046103203
71,1.9193770526237053,1.6922753694489248,2.5639777753028836,1.1024879174980708,1.0221916189764295,8.331076252004532,10.250453304628238
72,1.8651357548965297,0.9454713052808903,0.7834189946839651,1.5626971553199382,0.9966998038149879,8.459213987892023,10.324349742788552
73,1.8364781800041197,1.8867189946744518,1.3496471323116253,2.288693181183266,1.0294522253888156,8.022708459274996,9.859186639279116
74,1.9195574737757246,1.866935503304667,0.9117247082976014,1.4724045440118378,0.8972969260616193,7.791886372639412,9.711443846415136
75,1.8795067671821588,0.263452700931905,-0.747776855478647,0.8611702580500615,1.0268971962304851,8.717664253802916,10.597171020985074
76,1.712190273356562,1.000579759962477,0.23881020375331286,1.8957036689164624,1.0008301018660202,8.45068333297474,10.162873606331303
77,1.9412313719599839,0.8750025563212933,1.8315076254299543,0.8408654783540661,0.9119899109343419,7.795866008222663,9.737097380182647
78,1.8589063533475567,1.5092968116310495,0.6115844838322024,1.9163739471690069,0.9358365978292236,8.170188066476136,10.029094419823693
79,1.9560929478485978,-0.8839754846943171,-0.9765436088813964,1.4631203938924935,0.9111154722221042,7.750273757709358,9.706366705557956
80,1.864038043988625,3.4507321865947533,1.5063567539975549,3.878665000135165,1.138418218883055,8.383258229727474,10.247296273716099
81,2.1654560092393638,2.4691925430217605,2.567983869794091,3.293255950506463,0.9702213868252283,7.522599462863244,9.688055472102608
82,1.7789993451371,1.7676911382417986,1.029451579140585,2.4764195915144773,1.0275876296799704,8.386647084323684,10.165646429460784
83,1.7759704154291178,0.9708206375665469,0.47034760702321865,3.088632590152778,0.8874404432093383,8.060409605930662,9.83638002135978
84,1.878517550086256,0.15499882938742093,1.16464097385628,2.1317439524770023,0.8445613532926153,8.03371669708306,9.912234247169316
85,1.9700635394835473,2.0502965972557536,2.523434044250529,1.122779896080655,1.0938049466584552,7.9651223147905625,9.93518585427411
86,1.983234044629456,-0.22752901251526048,-0.1780370941050018,1.6055653718344196,0.9252165496063465,7.776780947483686,9.760014992113142
87,1.9827527291247815,2.202006822702945,1.5845700836246879,2.2952614643857876,0.9376697608410831,7.628770970497678,9.61152369962246
88,1.9883507226554187,0.906853301692756,1.3015368962923963,1.579117537887444,1.0064830743494748,8.074258320785766,10.062609043441185
89,2.0878113713162607,2.852904710379046,0.16036666269853583,4.242335307355136,1.0857221209602308,7.830592846331963,9.918404217648224
90,1.9229028546867255,0.9705710429103873,1.053330288568484,1.689167844560191,0.9304190453257628,8.073605257702422,9.996508112389147
91,1.8525224894662564,-1.0285451007432025,-1.087638049485193,2.193470168482473,0.9076650846473155,8.176618211510323,10.02914070097658
92,1.8626548986850224,4.311549116052919,0.46836369786650156,2.8982418667271546,0.8193190949035474,8.056676147342468,9.91933104602749
93,1.735023548353844,0.9583453065360397,0.5189968963083982,0.9182887522006369,0.907501649193085,8.181179683549743,9.916203231903587
94,1.7805617715309623,0.39867327707027655,0.7117602732085739,0.6501860933883186,0.9108869719137878,8.2864975560774,10.067059327608362
95,2.070634981054199,2.203552110655125,1.342442439414643,2.4618859739549173,1.0470653715238156,7.8844302661629895,9.955065247217188
96,1.7545447132434333,0.40961935388785875,1.3275514023090031,1.975467922679603,0.7660443692648076,8.57059753705116,10.325142250294594
97,1.7754130155485548,2.7778133524673922,0.32379667770832476,0.6458672178938949,1.040803195410013,8.359388779643616,10.134801795192171
98,1.8782215106304605,0.47231194484689,0.004684710965317862,3.560238507681161,0.7904476092153396,8.272638416561119,10.15085992719158
99,1.9457069576205068,1.8020103521551958,1.188360085517771,2.663568955782149,1.0814898912954272,8.35807759182099,10.303784549441497
100,2.022113962993032,5.3253025155834655,2.2091540450002736,5.026797185498596,1.2069453287534653,8.329700248961448,10.35181421195448
101,1.8284151444037278,1.9959943932389526,2.3737331788744247,3.766591547467965,1.2617492008277802,8.414154913035032,10.24257005743876
102,1.8667732630871967,-0.3856485319047813,-0.5134713743465316,1.732321236009056,0.9109188860937505,8.263853418426947,10.130626681514144
103,1.9860152034591145,1.7410786663719304,1.4411278646042711,1.2753488660448884,0.9697247147400945,8.234745755868754,10.220760959327869
104,1.8429460690357224,1.0737444177960676,-0.714171547032282,2.6057419252881235,0.8776878831007937,8.110152618591338,9.95309868762706
105,1.8801543255807065,-0.3492901144010254,0.7929864560498561,1.7586407472863812,0.905035676150681,8.06306719091503,9.943221516495736
106,2.0865680937744546,5.091754296642995,3.671802679570199,7.087961205251337,1.2625237498179696,8.149967990262974,10.236536084037429
107,2.0299987775932014,2.7753736615363325,0.7982423958740892,2.4325653627926473,1.060913117265839,7.974941297451066,10.004940075044267
108,1.894182301088886,1.1923203563923588,1.3155952684120624,1.945365014401319,0.8705997209193077,8.340529733640878,10.234712034729764
109,1.8437037727745196,1.914697208520526,1.1223565838697196,2.179415964497158,0.8574289554146115,8.09650477060002,9.94020854337454
110,1.751203621773147,2.019093505390376,1.5349455621479322,2.7877227970638936,0.9023759574323438,8.576639764183657,10.327843385956804
111,1.7850711462624531,1.8630473095243936,1.2821698702686573,2.242910634092908,0.9662646764297729,8.023872101940487,9.80894324820294
112,1.65242529325187,0.3945421566101035,0.7692514181462258,1.122458435769929,0.8948653732718328,8.688350517494747,10.340775810746617
113,1.672708794877554,0.29341373930276227,0.7566882346177723,0.21122326135829228,0.8339669264749592,8.421838492968359,10.094547287845913
114,1.9062967972281122,3.8882299607949413,1.113260051365636,3.4770420596654077,1.0279398229836059,8.431038908612365,10.337335705840477
115,2.044493822688276,3.8147191707833668,1.6249420471874627,4.173439917315028,1.1366521921780484,8.02575275581039,10.070246578498665
116,1.9680701244953136,4.637823391830087,1.7995373005348183,3.342246171855277,1.0593629083913016,7.692061278567652,9.660131403062966
117,1.8952898143675068,0.4783552984306647,0.11342037481091438,1.8586594543547146,1.0144107487892406,8.082541196007353,9.97783101037486
118,2.048900982834124,1.5825880002437547,1.1435926598590758,0.6886154280041623,0.9275103640368472,7.458904716505077,9.507805699339201
119,1.7919609902366407,1.6138894441493772,0.7069233446824201,0.21346246198975205,0.9331088478351566,8.294256567817326,10.086217558053967
120,1.9929535103489826,3.6464008386049516,0.16019477456368225,3.940348252611386,1.0579730676215526,8.265568316057937,10.25852182640692
121,1.8747236794969933,2.608814381033369,1.6691515116012523,4.108600983224756,0.9341899422070701,8.079580167499367,9.95430384699636
122,1.9111237125221336,1.982525706288576,0.34921344166478807,4.405003182679158,0.8686532798443365,8.292985401396603,10.204109113918737
123,1.851733650576115,2.067103254854538,0.5796363987644235,4.391358142512518,1.0039708434877168,8.208444076934729,10.060177727510844
124,2.036634219060552,1.4052307204975367,0.3372409989139902,0.9837040116792664,0.9980764617949616,7.674931721985168,9.71156594104572
125,1.935469523223122,3.5665483922674843,1.6198885436346675,3.231812172284008,0.969534630153642,7.817414899819153,9.752884423042275
126,1.9095959814822594,1.6681267094565042,1.7979023753959633,1.973038877049746,1.036845235856144,7.601492015507438,9.511087996989698
127,1.7998909155677367,0.928757014231695,0.9035001036449026,1.9174227750291306,0.9048673005651291,8.25047921521369,10.050370130781427
128,2.0831619892231146,1.22566211324779,1.476101760580288,1.9254527802596342,1.0147394137029417,7.871308816810085,9.9544708060332
129,2.0073875381027886,3.537220601722514,0.9411759586996635,3.0349687873564823,1.0303191013445328,7.761802632655135,9.769190170757923
130,2.0503991034983127,1.8568316269715601,0.7554238487294898,2.423135101870959,1.118814908407721,8.126206470867725,10.176605574366038
131,1.8115721402991447,0.38739702792108544,0.9051273697538333,0.8214237109679465,0.8785196393657184,8.104175974265138,9.915748114564282
132,1.719233905345364,6.5565806017819135,2.0384839121303995,4.087175546434581,1.110348796412627,8.466075770927905,10.185309676273269
133,1.8290345735213265,0.6543838397403183,1.19916603008914,1.8287340074067358,0.9096896584148073,8.416381312364907,10.245415885886233
134,1.7274342678559762,0.7076962157745204,0.15054034532582827,1.3813703279938738,0.8669491180584448,8.331572115210516,10.059006383066492
135,1.8463692590788607,1.1127607002406847,1.1285331954819986,1.18495663106758,1.0299141006262462,8.22441417792168,10.070783437000541
136,1.8142444556411341,0.7148632546509051,0.9537972455549699,1.233568205415825,1.060252410925559,8.595227783712911,10.409472239354045
137,1.7503658045758144,-0.5874135402098135,0.45635730856530454,1.3155783121392544,0.9969583832173448,8.158503128502726,9.90886893307854
138,1.7683069396593485,1.4638444318510713,1.5175673839028723,1.9213608943867229,0.8893403373263529,8.321275472639522,10.08958241229887
139,1.8840458296611509,0.9049047154604857,1.1112280807345742,1.9480597171365872,1.048760540709821,8.088804455958876,9.972850285620027
140,1.8658634842942288,1.0171960623419345,0.6056605349610624,0.9730212232347675,1.04393665864051,8.218852934335485,10.084716418629714
141,1.9792828463454981,3.5700431068458727,1.7062105726333896,4.918957350499397,1.1488250730542346,8.122371319638866,10.101654165984364
142,1.9645875099115084,0.9107648827010566,0.9316281978137355,1.523167639279277,0.9497853567401524,8.200115111425355,10.164702621336863
143,1.8268593768575379,1.1638605340459214,1.4110364192419942,1.9227347844269436,1.0079846035117637,8.25045107047444,10.077310447331978
144,1.8061198600623598,0.7378800332686661,1.128006059220308,1.0386137081677365,0.9495158740826604,8.435890814179615,10.242010674241975
145,1.6775433726523339,0.6657994118757546,0.34844279005605383,1.9283127013386663,0.873152612907024,8.565623368317432,10.243166740969766
146,1.8097524518825505,0.47228780123916536,-0.5801875637027325,-0.12986652938668453,0.9275039698547287,8.22388756329946,10.03364001518201
147,1.9517717102605747,0.9424138187078706,0.8925574777369922,2.499308106600961,1.0332226837998313,7.967474087640003,9.919245797900578
148,1.770999342415159,-0.044888186311649036,-0.17043531159483294,2.1887743257118393,0.8156953126275965,8.07354541814853,9.84454476056369
149,2.060969914708343,0.940549740205352,0.9036641869059725,1.2127202773863424,0.9732975322309874,8.017852273088156,10.078822187796499
150,1.959504486062058,1.3217865598524519,1.536522553981214,2.468483619912541,1.1230520762467548,7.883002155517915,9.842506641579973
151,1.9554380599790875,2.3955453512302336,0.7268567144100104,3.069039403213443,0.9430489163031388,8.279188439721285,10.234626499700372
152,1.982001214650797,1.8771542951646225,0.7932713149413297,2.937012373616964,0.9208383219360028,7.570784019960541,9.552785234611338
153,2.016948932951478,0.13813490173485832,-0.22908330331542137,0.6718944255042287,0.8945650217978973,7.94703352777868,9.963982460730158
154,1.8530692110390259,-0.22701338974985852,-0.34728341909876903,2.008019468628681,0.9117533028379281,8.336838161365678,10.189907372404704
155,1.9050462746059047,1.6526455588504319,2.3116784183759904,0.5971241787349677,1.0909837239759943,8.300866264924789,10.205912539530694
156,1.750990189949242,1.720717024518561,1.1140715618826853,3.7852751922320205,0.9102212417039057,8.518795937166601,10.269786127115843
157,1.7768411137482083,5.802554806466906,1.2418931416876031,3.6008595394260534,0.9378475468306284,8.413156084067829,10.189997197816037
158,1.9552450272128254,0.707581999522565,0.6631860374427565,2.1334930470348676,1.050102583172805,8.065941684186129,10.021186711398954
159,2.3736128983755655,0.43996659974120345,0.9447758515117743,2.0682462704359583,1.1000077269704043,7.237769770481162,9.611382668856727
160,1.9773804298299567,1.677321633695315,1.3776718914664006,1.0854400681332992,0.990979784736572,8.041765160323955,10.019145590153911
161,1.7796922537100208,1.365825264639967,0.8032866633091245,0.7705732842973044,1.0924504224670013,8.451733693668672,10.231425947378693
162,2.0600738188435663,1.4054415617502114,1.0597275032450328,2.6278991884030725,1.1369487433829013,7.794348230659676,9.854422049503242
163,1.8314116518564738,0.9204516091576824,0.7492528022631078,2.55565793473855,1.0269790451140977,8.627900917392228,10.459312569248702
164,1.8739829678536601,1.8413276961161307,0.41445132217602154,1.632751240568545,0.9824067775684151,8.240675354271442,10.114658322125102
165,1.9431282796739104,0.7836101194042762,1.0531621444116972,2.814734153165668,1.0627664930521568,8.180999045624727,10.124127325298637
166,1.8455220369207215,-0.45068968737652604,0.13284069238077567,-0.054542273912209005,0.9401477224879824,8.156980738077868,10.00250277499859
167,1.8755386930731088,-0.10588604181199646,1.077824602441658,1.9602619788331945,0.9944655948708192,8.45936319825018,10.33490189132329
168,1.6353469103056906,1.450454692086006,0.8878742695147741,1.2493875747974799,0.9671981643147092,8.459556697329518,10.094903607635208
169,1.9094239569185554,1.5446275389460906,2.700474132586732,3.4017260811598975,1.081774620106339,8.056214664916105,9.96563862183466
170,1.8998420063017765,2.1885991316659146,1.766064985880861,3.3227582833251272,0.9539151404073425,8.019722906739934,9.919564913041711
171,1.7567635525251202,0.38792252820216566,0.7498749793629267,0.5958873897066137,0.9701635187540405,7.986507955101185,9.743271507626305
172,1.8499062093683136,0.7578594396574245,0.2989330526884735,1.1771060849673933,0.9898144777795315,8.310791543816109,10.160697753184422
173,1.7235693085728485,0.5999284165393868,-0.029819383256473042,1.9366465049148238,0.839779652608486,8.37781377465836,10.101383083231209
174,1.820927776170688,1.5623124073714951,0.9492026564767295,1.434390787674781,0.897608459078818,8.420527037050519,10.241454813221207
175,1.891031570421962,-1.3366608016368442,-1.2148870945905434,0.8575677017140171,0.9095655819571848,8.23967338080418,10.130704951226143
176,1.8159700987548941,0.40865490131171045,0.8223399401293936,0.8245166580388485,0.8875074986865461,8.441023132400138,10.256993231155032
177,1.9695828775372135,0.937566415659147,1.0895069042479588,2.716417276482381,1.0596447587393216,8.093659041392897,10.06324191893011
178,2.0301122647038206,2.9345383122251008,1.7182448596029172,2.046309407524505,0.9818682362881248,7.938906874045193,9.969019138749013
179,1.742929302475238,1.9689231392306175,1.495665561204727,1.93928019751058,0.8478703044839766,8.145532007448253,9.88846130992349
180,1.7244914887127418,0.5613164007589573,0.9410216299559431,0.7902300503566821,0.9932065616345844,8.400204295418012,10.124695784130754
181,2.099295825622117,1.2945364652513636,0.8338863158300232,0.7520549630718354,1.0099717342062315,7.757848243035892,9.857144068658009
182,1.817259475361043,1.0779817401880596,1.8459793629630563,1.4263383191581345,1.0641100202368592,8.472167122954621,10.289426598315664
