candidate,slippage_mult,n_trades,candidate_cum_pnl_usd,fair_cash_hurdle_usd,excess_over_cash_usd,excess_per_trade_usd,worst_single_trade_usd,worst_single_trade_pct_nlv,n_forced_by_stress,pct_forced_by_stress
C3_IC_w15,1.5,58,27660.129622129905,26.275772307595012,27633.85384982231,476.44575603141914,42.38159511571955,0.004740670594599502,33,56.896551724137936
C3_IC_w15,2.0,58,27502.061669896317,26.275772307595012,27475.78589758872,473.72044651015034,42.38159511571955,0.004740670594599502,33,56.896551724137936
C3_IC_w15,3.0,58,27185.925765429136,26.275772307595012,27159.64999312154,468.26982746761274,42.38159511571955,0.004740670594599502,33,56.896551724137936
C3_IC_w25,1.5,58,48447.57810858987,43.79295384599169,48403.78515474388,834.5480199093772,435.7237715803453,0.04873867691055317,33,56.896551724137936
C3_IC_w25,2.0,58,48044.3633232139,43.79295384599169,48000.5703693679,827.5960408511708,270.8971816871195,0.030301698175293008,33,56.896551724137936
C3_IC_w25,3.0,58,47404.20863438723,43.79295384599169,47360.415680541235,816.5588910438144,103.96932519286597,0.011629678433206484,33,56.896551724137936
C3_IC_w35,1.5,58,69297.0352686396,61.31013538438836,69235.72513325523,1193.7193988492281,630.0132802124833,0.0704712841400988,33,56.896551724137936
C3_IC_w35,2.0,58,68827.40579943746,61.31013538438836,68766.09566405308,1185.622339035398,532.8685258964143,0.059604980525325986,33,56.896551724137936
C3_IC_w35,3.0,58,67888.14686103314,61.31013538438836,67826.83672564875,1169.428219407737,338.57901726427616,0.03787237329578033,33,56.896551724137936
C4_BCS,1.5,58,80932.27837867814,131.37886153797507,80800.89951714016,1393.1189571920718,912.7739043824703,0.10209998930452686,33,56.896551724137936
C4_BCS,2.0,58,80876.40188465422,131.37886153797507,80745.02302311624,1392.1555693640732,886.7529880478089,0.09918937226485558,33,56.896551724137936
C4_BCS,3.0,58,80764.64889660642,131.37886153797507,80633.27003506845,1390.2287937080766,834.7111553784862,0.093368138185513,33,56.896551724137936
C2_sBPS_diag,1.5,58,51181.2411343939,81.19298994498197,51100.04814444892,881.0353128353262,-1493.227091633466,-0.16702763888517516,24,41.37931034482759
C2_sBPS_diag,2.0,58,48722.752434401256,81.19298994498197,48641.559444456274,838.6475766285564,-1493.227091633466,-0.16702763888517516,24,41.37931034482759
C2_sBPS_diag,3.0,58,45003.76887868413,81.19298994498197,44922.57588873915,774.5271704955026,-1493.227091633466,-0.16702763888517516,24,41.37931034482759
