sample,type,bucket_axis,bucket,n_days,avg_fwd_spx_5d_pct,avg_fwd_spx_20d_pct,avg_fwd_vix_change_5d,p_stress_10d,p_stress_20d,p_second_leg_60d,h1_cash_avg,h2_bps_counter_avg,h3_short_dte_bps_avg,h4_small_ic_avg,h5_bcs_avg,h3_hit_rate,h4_hit_rate,h5_hit_rate
primary,B_transition_warning,vix,1_15-17,1,1.6815894163118683,3.465732015972689,-0.8999996185302734,0.0,0.0,0.0,3.328740593182824,17275.910147355167,1056.5737051792828,613.9442231075697,835.2589641434263,100.0,100.0,100.0
primary,B_transition_warning,ivp,2_70-85,1,1.6815894163118683,3.465732015972689,-0.8999996185302734,0.0,0.0,0.0,3.328740593182824,17275.910147355167,1056.5737051792828,613.9442231075697,835.2589641434263,100.0,100.0,100.0
primary,C_high_vol_controlled,vix,1_15-17,32,-0.6688567894708182,-0.4201186116331204,0.9068751037120819,50.0,65.625,43.75,3.3381093680832223,3618.2071986769843,761.5167271577722,514.5460803673318,832.1215139442231,87.5,90.625,100.0
primary,C_high_vol_controlled,vix,2_17-19,17,0.10578289298677837,-1.1646035426049663,0.9374996423721313,46.666666666666664,92.85714285714286,38.46153846153847,3.3844458766242216,7602.057045580792,914.0557548073574,560.2199754521519,816.6041715490979,94.11764705882352,94.11764705882352,100.0
primary,C_high_vol_controlled,vix,3_19-22,9,0.20369973086510093,0.835053604486486,-0.38333310021294487,55.55555555555556,66.66666666666666,37.5,3.256830701883823,6040.242079391483,938.3595684904623,582.5666615345957,859.3404161133245,88.88888888888889,100.0,100.0
primary,C_high_vol_controlled,ivp,1_55-70,34,-0.45908968727183114,-0.03733566327859225,1.04818159161192,53.125,70.96774193548387,48.275862068965516,3.4390314558758432,6429.239968429429,877.2762954960152,541.8668817187327,798.3243496601827,94.11764705882352,94.11764705882352,100.0
primary,C_high_vol_controlled,ivp,2_70-85,15,-0.26047145048500253,-0.2646150539797561,0.48333352406819663,46.666666666666664,66.66666666666666,26.666666666666668,3.2605319462889186,9508.233191483012,996.1365910278762,601.4125068809167,858.1009296148736,93.33333333333333,100.0,100.0
primary,C_high_vol_controlled,ivp,3_85+,9,0.13104867108373824,-1.9006812618909228,-0.14111063215467665,44.44444444444444,88.88888888888889,44.44444444444444,3.0923897004574292,-6870.875327976159,398.14181165614286,420.85028073354385,914.4090305444887,66.66666666666666,77.77777777777779,100.0
primary,D_trend_deteriorated,vix,1_15-17,5,1.4218389798749431,1.4460794015329403,-1.8220001220703126,0.0,20.0,20.0,3.3401615759185477,8965.58892246449,1051.7928286852589,611.0756972111554,831.4342629482073,100.0,100.0,100.0
primary,D_trend_deteriorated,vix,3_19-22,3,0.24848891718623664,0.9652097771584711,-0.47333335876464844,33.33333333333333,33.33333333333333,100.0,3.2859119079238597,15670.826624058769,1074.5019920318725,346.92341744134563,16.268260292164616,100.0,66.66666666666666,66.66666666666666
primary,D_trend_deteriorated,ivp,1_55-70,3,2.4170523322665893,3.676700692903926,-1.413333574930827,0.0,33.33333333333333,50.0,3.4112254684963843,5132.029756444672,1022.0451527224436,315.44931385568833,-25.697211155378454,100.0,66.66666666666666,66.66666666666666
primary,D_trend_deteriorated,ivp,2_70-85,4,-0.05702515141000064,-0.5771293226243951,-0.7099997997283936,25.0,25.0,25.0,3.2906706507304113,17876.616515803777,1072.5099601593627,623.5059760956176,848.00796812749,100.0,100.0,100.0
primary,D_trend_deteriorated,ivp,3_85+,1,0.8316052597736601,1.4044415509259167,-3.450000762939453,0.0,0.0,100.0,3.1621845949535192,4937.869151949647,1126.2948207171314,655.7768924302787,891.0358565737051,100.0,100.0,100.0
secondary,B_transition_warning,vix,1_15-17,10,-0.41551494599082245,-0.5052418663659897,0.5179999351501465,40.0,50.0,40.0,3.234993359893758,-339.6850591111903,398.6131231002081,405.08883651813045,866.6533864541832,70.0,80.0,100.0
secondary,B_transition_warning,vix,2_17-19,8,-0.2244954025523882,-0.9601127942508323,0.9200001955032349,50.0,62.5,75.0,3.1734866091190788,-3180.8604588432772,809.0637450199204,522.713159938676,809.0757347961074,87.5,87.5,100.0
secondary,B_transition_warning,vix,3_19-22,7,1.527410124060115,0.01081635798506778,-2.5457136971609935,85.71428571428571,85.71428571428571,28.57142857142857,3.201614178207804,9099.277271354233,1109.7894137734777,645.8736482640865,877.831531018782,100.0,100.0,100.0
