candidate,delta_roe_mean_pp,delta_roe_std_pp,p5_pp,p95_pp,p_droe_positive_pct,n_seeds,block
IC_w25,0.004734899699007089,0.0017073069319172283,0.0030937854864132586,0.007605272910934381,100.0,20,250
IC_w35,0.00739570406965373,0.0026731978766114835,0.004834706481084972,0.012141788673066813,100.0,20,250
