crisis,candidate,n_trades,cum_pnl_usd,worst_trade_usd
PreGFC_2007_07,C3_IC_w15,3,1488.5212823754964,323.81487190795406
PreGFC_2007_07,C3_IC_w25,3,2580.8688039591607,573.0247865132568
PreGFC_2007_07,C3_IC_w35,3,3673.216325542825,822.2347011185597
PreGFC_2007_07,C4_BCS,3,4453.034504581183,1150.1992031872512
PreGFC_2007_07,C2_sBPS_diag,3,1003.1966669022354,-1285.2495482372074
Vol_2018_02,C3_IC_w15,1,768.5782509765157,768.5782509765157
Vol_2018_02,C3_IC_w25,1,1314.2970849608598,1314.2970849608598
Vol_2018_02,C3_IC_w35,1,1860.015918945203,1860.015918945203
Vol_2018_02,C4_BCS,1,2177.0731174811303,2177.0731174811303
Vol_2018_02,C2_sBPS_diag,1,1753.5202684374617,1753.5202684374617
