entry_date,exit_date,exit_dte,exit_reason,pnl,worst_intra_mtm,min_dist_to_short_sigma,days_within_0.5sigma,credit,max_loss,short_strike,long_strike,spx_0,vix_0,ivp_0,sigma_n,forced_by_stress,spread_kind,width_pt,analog
2007-07-02,2007-07-09,4,stop,-2450.3984063745024,-1299.8007968127488,-0.542646054444073,4,1200.1992031872512,1299.8007968127488,1574.5825494633405,1599.5825494633405,1519.4300537109375,15.399999618530272,90.0398406374502,55.152495752403034,False,call,25,2019_Q1_rebound
2007-07-09,2007-07-12,3,stop,-2426.4940239043826,-1311.7529880478087,-0.44645333386333025,3,1188.2470119521913,1311.7529880478087,1586.5867471127979,1611.5867471127979,1531.8499755859375,15.15999984741211,87.64940239043824,54.73677152686045,False,call,25,2019_Q1_rebound
2007-07-23,2007-07-27,4,stop,-2510.159362549801,-1269.9203187250996,-0.4132510056349436,4,1230.0796812749004,1269.9203187250996,1602.649335011531,1627.649335011531,1541.5699462890625,16.809999465942383,96.01593625498008,61.0793887224685,False,call,25,2019_Q1_rebound
2007-10-18,2007-10-25,5,stop,-2342.828685258964,-1353.585657370518,-0.39357266628530196,5,1146.414342629482,1353.585657370518,1607.2350165185921,1632.2350165185921,1540.0799560546875,18.5,79.2828685258964,67.15506046390456,False,call,25,2019_Q1_rebound
2007-10-26,2007-11-07,8,stop,-2362.7490039840636,-1343.6254980079682,-0.4390925305115406,8,1156.3745019920318,1343.6254980079682,1606.06159853108,1631.06159853108,1535.280029296875,19.559999465942383,81.27490039840637,70.78156923420501,False,call,25,2019_Q1_rebound
2013-06-11,2013-06-17,4,stop,-2306.972111553785,-1371.5139442231075,-0.39172519476782236,4,1128.4860557768925,1371.5139442231075,1691.5563295097552,1716.5563295097552,1626.1300048828125,17.06999969482422,75.69721115537848,65.42632462694259,False,call,25,2019_Q1_rebound
2013-06-17,2013-06-21,4,stop,-2287.0517928286854,-1381.4741035856573,-0.4140922457638536,4,1118.5258964143427,1381.4741035856573,1703.9427103854828,1728.9427103854828,1639.0400390625,16.799999237060547,73.70517928286853,64.90267132298281,False,call,25,2019_Q1_rebound
2013-09-09,2013-09-12,3,stop,-2211.3545816733067,-1419.3227091633466,-0.402957911714718,3,1080.6772908366534,1419.3227091633466,1733.2961965102945,1758.2961965102945,1671.7099609375,15.630000114440918,66.13545816733067,61.586235572794614,False,call,25,2019_Q1_rebound
2013-10-01,2013-10-04,3,stop,-2207.370517928287,-1421.3147410358565,-0.4110831643812996,3,1078.6852589641435,1421.3147410358565,1757.084682342557,1782.084682342557,1695.0,15.539999961853027,65.73705179282868,62.08468234255705,False,call,25,2019_Q1_rebound
2013-12-11,2013-12-16,3,stop,-2291.035856573705,-1379.4820717131474,-0.42206434579519614,3,1120.5179282868526,1379.4820717131474,1846.9952701237194,1871.9952701237194,1782.219970703125,15.420000076293944,74.10358565737052,64.77529942059434,False,call,25,2019_Q1_rebound
2014-02-19,2014-02-24,3,stop,-2295.019920318725,-1377.4900398406376,-0.41472466584882633,3,1122.5099601593624,1377.4900398406376,1895.5612788482365,1920.5612788482365,1828.75,15.5,74.5019920318725,66.81127884823644,False,call,25,2019_Q1_rebound
2014-03-17,2014-03-20,3,stop,-2306.972111553785,-1371.5139442231075,-0.4020608592901161,3,1128.4860557768925,1371.5139442231075,1927.3535556117681,1952.3535556117681,1858.8299560546875,15.640000343322754,75.69721115537848,68.52359955708063,False,call,25,2019_Q1_rebound
2014-10-29,2014-11-03,3,stop,-2338.8446215139443,-1355.5776892430279,-0.44740811041578965,3,1144.4223107569721,1355.5776892430279,2053.08578629285,2078.08578629285,1982.300048828125,15.149999618530272,78.88446215139442,70.78573746472503,False,call,25,2019_Q1_rebound
2014-12-19,2014-12-24,3,stop,-2414.541832669323,-1317.7290836653385,-0.3297897286247136,3,1182.2709163346615,1317.7290836653385,2151.1304778480085,2176.1304778480085,2070.64990234375,16.489999771118164,86.45418326693228,80.48057550425851,False,call,25,2019_Q1_rebound
2014-12-29,2015-01-02,3,stop,-2299.003984063745,-1375.4980079681275,-0.45605788244824547,3,1124.5019920318725,1375.4980079681275,2164.7785352755486,2189.7785352755486,2090.570068359375,15.0600004196167,74.9003984063745,74.20846691617348,False,call,25,2019_Q1_rebound
2015-01-22,2015-01-27,3,stop,-2354.7808764940237,-1347.6095617529882,-0.33708736772653447,3,1152.3904382470118,1347.6095617529882,2142.9013121535268,2167.9013121535268,2063.14990234375,16.399999618530273,80.47808764940238,79.7514098097767,False,call,25,2019_Q1_rebound
2015-02-17,2015-02-20,3,stop,-2287.0517928286854,-1381.4741035856573,-0.38786278835081966,3,1118.5258964143427,1381.4741035856573,2178.558764032659,2203.558764032659,2100.340087890625,15.800000190734863,73.70517928286853,78.21867614203391,False,call,25,2019_Q1_rebound
2015-11-04,2015-11-09,3,stop,-2163.545816733068,-1443.227091633466,-0.41381250786981816,3,1056.772908366534,1443.227091633466,2179.16509274492,2204.16509274492,2102.31005859375,15.510000228881836,61.354581673306775,76.85503415117012,False,call,25,2019_Q1_rebound
2015-11-10,2015-11-13,3,stop,-2111.7529880478082,-1469.1235059760959,-0.43415515862429715,3,1030.8764940239041,1469.1235059760959,2156.7428176042877,2181.7428176042877,2081.719970703125,15.289999961853027,56.17529880478087,75.0228469011629,False,call,25,2019_Q1_rebound
2015-11-18,2015-11-23,3,stop,-2231.274900398406,-1409.362549800797,-0.30137874327716685,3,1090.637450199203,1409.362549800797,2166.331193999173,2191.331193999173,2083.580078125,16.850000381469727,68.12749003984064,82.75111587417318,False,call,25,2019_Q1_rebound
2015-11-30,2015-12-03,3,stop,-2183.466135458167,-1433.2669322709164,-0.3594689064828618,3,1066.7330677290836,1433.2669322709164,2159.5045435219627,2184.5045435219627,2080.409912109375,16.1299991607666,63.34661354581673,79.09463141258763,False,call,25,2019_Q1_rebound
2015-12-07,2015-12-10,3,stop,-2143.625498007968,-1453.187250996016,-0.38435808771593777,3,1046.812749003984,1453.187250996016,2154.617974548168,2179.617974548168,2077.070068359375,15.84000015258789,59.36254980079681,77.54790618879295,False,call,25,2019_Q1_rebound
