candidate,n_exit_days,corr_with_spx_pnl,corr_with_q42_pnl,corr_with_baseline_pnl
IC_w25,46,-0.3193197299330228,-0.09937185419532084,-0.2250420577338885
IC_w35,46,-0.3221207011512977,-0.10202614317298397,-0.22777787484483603
