type,n_trades_first_in_cluster,h1_cash_cum,h2_bps_nnb_counterfactual_cum,h3_short_dte_bps_cum,h4_small_ic_cum,h5_bcs_cum,h3_worst,h4_worst,h5_worst,h3_hit_pct,h4_hit_pct,h5_hit_pct
B_transition_warning,1,3.328740593182824,17275.910147355167,1056.5737051792828,613.9442231075697,835.2589641434263,1056.5737051792828,613.9442231075697,835.2589641434263,100.0,100.0,100.0
C_high_vol_controlled,58,193.6665559982293,299379.77884706034,48352.71921718795,31232.314108252558,48244.223107569735,-1499.203187250996,-252.85524568393097,773.1075697211154,89.65517241379311,93.10344827586206,100.0
D_trend_deteriorated,8,26.55854360336432,91840.42448449877,8482.470119521913,4096.148738379814,4205.97609561753,986.8525896414344,-234.9269588313413,-1685.4581673306773,100.0,87.5,87.5
