analog,start,score,spx_start,spx_end,vix_start,vix_end
2019_Q1_rebound,2019-01-03,33.71921136683777,2447.889892578125,2642.330078125,25.450000762939453,18.889999389648438
2023_Q4_rally,2023-10-27,42.168330649092155,4117.3701171875,4508.240234375,21.270000457763672,14.319999694824219
2024_H1_rally,2024-04-19,37.14487879723188,4967.22998046875,5214.080078125,18.709999084472656,12.6899995803833
mechanical_10d,2024-08-05,70.15234323279724,5186.330078125,,38.56999969482422,
