entry_date,exit_date,exit_dte,pnl,put_pnl,call_pnl,worst_intra_mtm,min_dist_put,min_dist_call,days_within_0.5sigma_put,days_within_0.5sigma_call,max_loss_ic,max_loss_per_leg,credit_total,spx_0,vix_0,ivp_0,sigma_n,width_pt,forced_by_stress,put_exit_reason,call_exit_reason,width,scenario
2007-07-02,2007-07-23,14,-3.408927959699902,23.29553602015005,23.29553602015005,46.5910720403001,0.449007689323021,0.38987525614769797,1,5,259.9601593625498,779.8804780876494,480.0796812749004,1519.4300537109375,15.399999618530272,90.0398406374502,55.152495752403034,15,False,expiry,expiry,15,gap_2pct_entry+1
2007-07-09,2007-07-26,13,-151.48393287292237,-115.18583572670258,13.701902853780183,74.93368618564801,0.10133645017569995,0.6121440874836379,2,0,262.35059760956176,787.0517928286853,475.2988047808765,1531.8499755859375,15.15999984741211,87.64940239043824,54.73677152686045,15,True,stress_force,stress_force,15,gap_2pct_entry+1
2007-07-23,2007-07-26,3,242.5948566826816,109.3950379030938,183.19981877958784,415.6028248101716,0.03551896406414977,1.384417410846039,2,0,253.98406374501994,761.9521912350598,492.0318725099601,1541.5699462890625,16.809999465942383,96.01593625498008,61.0793887224685,15,True,stress_force,stress_force,15,gap_2pct_entry+1
2007-10-18,2007-10-19,1,270.7424241342863,125.9787817882587,194.7636423460276,435.3838583972345,0.5413361419330495,1.458663858066953,0,0,270.7171314741036,812.1513944223108,458.56573705179284,1540.0799560546875,18.5,79.2828685258964,67.15506046390456,15,True,stress_force,stress_force,15,gap_2pct_entry+1
2007-10-26,2007-11-01,4,199.8469738858312,90.23225188315466,159.61472200267656,365.4844240850344,0.5661921469367633,0.8007959453500838,0,0,268.7250996015936,806.1752988047809,462.5498007968127,1535.280029296875,19.559999465942383,81.27490039840637,70.78156923420501,15,True,stress_force,stress_force,15,gap_2pct_entry+1
2013-06-11,2013-06-20,7,115.01725504378291,48.65404584858468,116.36320919519824,277.86586062147217,0.4201101209200636,0.6074966176479621,1,0,274.3027888446215,822.9083665338645,451.39442231075697,1626.1300048828125,17.06999969482422,75.69721115537848,65.42632462694259,15,True,stress_force,stress_force,15,gap_2pct_entry+1
2013-06-17,2013-06-20,3,216.05993850579074,99.47419236046507,166.58574614532563,377.912528147225,0.2165176468130455,1.1557714828292807,2,0,276.2948207171315,828.8844621513944,447.4103585657371,1639.0400390625,16.799999237060547,73.70517928286853,64.90267132298281,15,True,stress_force,stress_force,15,gap_2pct_entry+1
2013-09-09,2013-09-27,14,-8.048702768692443,20.97564861565378,20.97564861565378,41.95129723130756,0.45711571899485315,0.12626485296139134,1,4,283.8645418326693,851.593625498008,432.2709163346613,1671.7099609375,15.630000114440918,66.13545816733067,61.586235572794614,15,False,expiry,expiry,15,gap_2pct_entry+1
2013-10-01,2013-10-08,5,158.821850914086,72.05036768811873,136.77148322596733,316.69037681050037,0.36296607575593975,1.072481646522259,2,0,284.2629482071713,852.7888446215139,431.47410358565736,1695.0,15.539999961853027,65.73705179282868,62.08468234255705,15,True,stress_force,stress_force,15,gap_2pct_entry+1
2013-12-11,2014-01-02,14,-6.502111165694934,21.748944417152533,21.748944417152533,11.589701264482803,0.4497223519937932,-0.02106845109247375,1,8,275.8964143426295,827.6892430278884,448.20717131474106,1782.219970703125,15.420000076293944,74.10358565737052,64.77529942059434,15,False,expiry,expiry,15,gap_2pct_entry+1
2014-02-19,2014-03-11,14,-6.42478158554507,21.787609207227465,21.787609207227465,43.57521841445493,0.4525624919846086,0.2622497292042029,1,6,275.4980079681275,826.4940239043826,449.0039840637449,1828.75,15.5,74.5019920318725,66.81127884823644,15,False,expiry,expiry,15,gap_2pct_entry+1
2014-03-17,2014-04-04,14,-6.1927928450954255,21.903603577452287,21.903603577452287,43.807207154904575,0.4574628396436539,0.5319850596485314,1,0,274.3027888446215,822.9083665338645,451.39442231075697,1858.8299560546875,15.640000343322754,75.69721115537848,68.52359955708063,15,False,expiry,expiry,15,gap_2pct_entry+1
2014-10-29,2014-11-18,14,-5.574156203896429,22.212921898051786,22.212921898051786,44.42584379610357,0.4399154067396769,0.018163792746608644,1,12,271.1155378486056,813.3466135458168,457.7689243027888,1982.300048828125,15.149999618530272,78.88446215139442,70.78573746472503,15,False,expiry,expiry,15,gap_2pct_entry+1
2014-12-19,2015-01-06,10,28.529534274721485,3.7966396473209065,74.73289462740058,196.75662590818763,0.15457964153614542,0.7524847966007525,3,0,263.54581673306774,790.6374501992033,472.90836653386447,2070.64990234375,16.489999771118164,86.45418326693228,80.48057550425851,15,True,stress_force,stress_force,15,gap_2pct_entry+1
2014-12-29,2015-01-06,5,-182.51880329065494,-275.0996015936255,142.58079830297055,-110.0287634500175,-0.1853106075776104,1.426772945618187,3,0,275.0996015936255,825.2988047808765,449.800796812749,2090.570068359375,15.0600004196167,74.9003984063745,74.20846691617348,15,True,stress_force,stress_force,15,gap_2pct_entry+1
2015-01-22,2015-01-28,4,198.9861746648637,89.92137418502149,159.0648004798422,364.2252184895649,0.23525028197575873,1.0759837909772247,2,0,269.52191235059763,808.5657370517929,460.95617529880474,2063.14990234375,16.399999618530273,80.47808764940238,79.7514098097767,15,True,stress_force,stress_force,15,gap_2pct_entry+1
2015-02-17,2015-03-09,14,-6.579440745844806,21.710279627077597,21.710279627077597,43.420559254155194,0.4629568815312854,0.7820238652909443,1,0,276.2948207171315,828.8844621513944,447.4103585657371,2100.340087890625,15.800000190734863,73.70517928286853,78.21867614203391,15,False,expiry,expiry,15,gap_2pct_entry+1
2015-11-04,2015-11-13,7,-10.906130151727403,-69.87467821536846,108.96854806364105,179.70849979261024,-0.03142260499591788,1.0404671919832533,3,0,288.64541832669323,865.9362549800796,422.7091633466136,2102.31005859375,15.510000228881836,61.354581673306775,76.85503415117012,15,True,stress_force,stress_force,15,gap_2pct_entry+1
2015-11-10,2015-11-13,3,195.21107422394775,91.67924229125674,153.531831932691,348.2987236263382,0.21783917747174386,1.4765215061366277,2,0,293.8247011952191,881.4741035856574,412.3505976095617,2081.719970703125,15.289999961853027,56.17529880478087,75.0228469011629,15,True,stress_force,stress_force,15,gap_2pct_entry+1
2015-11-18,2015-12-09,14,-7.66205486794307,21.168972566028465,21.168972566028465,42.33794513205693,0.4964224817721664,0.7697939842108458,1,0,281.8725099601594,845.6175298804782,436.2549800796812,2083.580078125,16.850000381469727,68.12749003984064,82.75111587417318,15,False,expiry,expiry,15,gap_2pct_entry+1
2015-11-30,2015-12-11,9,50.86827740673523,18.432146671495104,82.43613073524013,207.5415841796436,0.1397656733835015,0.8573856519030469,2,0,286.65338645418325,859.9601593625498,426.69322709163345,2080.409912109375,16.1299991607666,63.34661354581673,79.09463141258763,15,True,stress_force,stress_force,15,gap_2pct_entry+1
2015-12-07,2015-12-11,4,176.17499530922365,81.6831151844923,144.49188012473135,330.85627020962204,0.16567607789856953,1.3203192595574558,2,0,290.6374501992032,871.9123505976096,418.7250996015936,2077.070068359375,15.84000015258789,59.36254980079681,77.54790618879295,15,True,stress_force,stress_force,15,gap_2pct_entry+1
