family,date,close,level,extra,fwd1%,fwd5%,fwd10%,verdict
S1r压力簇,2002-03-18,1165.6,1175.0,3触,0.41,-2.89,-2.47,✓应验
S1r压力簇,2002-03-19,1170.3,1175.0,3触,-1.58,-2.72,-3.84,✓应验
S1r压力簇,2005-12-21,1262.8,1273.0,3触,0.42,-0.66,1.79,✓应验
S1r压力簇,2005-12-22,1268.1,1273.0,3触,0.04,-1.56,1.74,✓应验
S1r压力簇,2005-12-23,1268.7,1273.0,3触,-0.96,0.01,1.66,✗未应验
S1r压力簇,2006-01-03,1268.8,1273.0,3触,0.37,1.65,0.72,✗未应验
S1r压力簇,2006-01-20,1261.5,1273.0,3触,0.18,1.76,0.2,✗未应验
S1r压力簇,2006-01-23,1263.8,1273.0,3触,0.24,1.69,0.09,✗未应验
S1r压力簇,2006-01-24,1266.9,1273.0,3触,-0.17,1.04,-0.95,✗未应验
S1r压力簇,2006-01-25,1264.7,1273.0,3触,0.72,1.41,0.08,✗未应验
S1r压力簇,2006-02-02,1270.8,1273.0,3触,-0.54,-0.56,1.46,✓应验
S1r压力簇,2006-02-03,1264.0,1273.0,3触,0.08,0.23,1.84,✗未应验
S1r压力簇,2006-02-06,1265.0,1273.0,3触,-0.81,-0.17,1.42,✓应验
S1r压力簇,2006-02-08,1265.6,1273.0,3触,-0.15,1.13,1.75,✗未应验
S1r压力簇,2006-02-09,1263.8,1273.0,3触,0.25,2.03,2.03,✗未应验
S1r压力簇,2006-02-10,1267.0,1273.0,3触,-0.33,1.6,2.14,✗未应验
S1r压力簇,2006-02-13,1262.9,1273.0,3触,1.0,1.6,1.41,✗未应验
S1r压力簇,2006-03-09,1272.2,1273.0,3触,0.72,2.6,2.31,✗未应验
S1r压力簇,2006-05-17,1270.3,1273.0,3触,-0.67,-0.92,1.21,✓应验
S1r压力簇,2006-05-18,1261.8,1273.0,3触,0.41,0.88,2.09,✗未应验
S1r压力簇,2006-09-12,1313.0,1316.0,3触,0.39,0.35,1.78,✗未应验
S1r压力簇,2006-09-22,1314.8,1316.0,3触,0.88,1.6,2.65,✗未应验
S1r压力簇,2007-09-26,1525.4,1539.0,3触,0.39,0.93,2.43,✗未应验
S1r压力簇,2007-09-27,1531.4,1539.0,3触,-0.3,0.75,1.5,✗未应验
S1r压力簇,2007-09-28,1526.8,1539.0,3触,1.33,2.02,2.3,✗未应验
S1r压力簇,2007-10-16,1538.5,1539.0,3触,0.18,-1.23,-0.49,✓应验
S1r压力簇,2007-10-26,1535.3,1539.0,3触,0.37,-1.67,-5.31,✓应验
S1r压力簇,2007-10-30,1531.0,1539.0,3触,1.2,-0.7,-3.26,✓应验
S1r压力簇,2009-04-29,873.6,876.0,3触,-0.1,5.25,1.18,✗未应验
S1r压力簇,2009-04-30,872.8,876.0,3触,0.54,3.96,2.32,✗未应验
S1r压力簇,2012-08-01,1375.3,1378.0,3触,-0.75,1.96,2.2,✗未应验
S1r压力簇,2012-08-02,1365.0,1378.0,3触,1.9,2.77,3.7,✗未应验
S1r压力簇,2014-04-29,1878.3,1884.0,3触,0.3,-0.56,1.02,✓应验
S1r压力簇,2014-04-30,1884.0,1884.0,3触,-0.01,-0.3,0.24,✓应验
S1r压力簇,2014-05-01,1883.7,1884.0,3触,-0.13,-0.43,-0.68,✓应验
S1r压力簇,2014-05-02,1881.1,1884.0,3触,0.19,-0.14,-0.17,✓应验
S1r压力簇,2014-05-06,1867.7,1884.0,3触,0.56,1.59,0.27,✗未应验
S1r压力簇,2014-05-07,1878.2,1884.0,3触,-0.14,0.55,0.52,✗未应验
S1r压力簇,2014-05-08,1875.6,1884.0,3触,0.15,-0.25,0.9,✓应验
S1r压力簇,2014-05-09,1878.5,1884.0,3触,0.97,-0.03,1.17,✓应验
S1r压力簇,2014-05-15,1870.8,1884.0,3触,0.37,1.16,2.82,✗未应验
S1r压力簇,2014-05-16,1877.9,1884.0,3触,0.38,1.21,2.51,✗未应验
S1r压力簇,2014-05-20,1872.8,1884.0,3触,0.81,1.97,2.94,✗未应验
S1r压力簇,2015-04-22,2108.0,2115.0,3触,0.24,-0.05,-1.32,✓应验
S1r压力簇,2015-04-23,2112.9,2115.0,3触,0.23,-1.3,-1.18,✓应验
S1r压力簇,2015-04-27,2108.9,2115.0,3触,0.28,0.26,-0.17,✗未应验
S1r压力簇,2015-04-28,2114.8,2115.0,3触,-0.37,-1.2,-0.74,✓应验
S1r压力簇,2015-04-29,2106.8,2115.0,3触,-1.01,-1.27,-0.4,✓应验
S1r压力簇,2015-05-01,2108.3,2115.0,3触,0.29,0.37,0.68,✗未应验
S1r压力簇,2015-05-04,2114.5,2120.0,3触,-1.18,-0.43,0.7,✓应验
S1r压力簇,2015-05-08,2116.1,2120.0,3触,-0.51,0.31,0.47,✗未应验
S1r压力簇,2015-05-11,2105.3,2120.0,3触,-0.29,1.13,-0.05,✗未应验
S1r压力簇,2015-05-12,2099.1,2120.0,3触,-0.03,1.37,1.16,✗未应验
S1r压力簇,2015-05-13,2098.5,2115.0,3触,1.08,1.3,1.06,✗未应验
S1r压力簇,2015-05-26,2104.2,2120.0,3触,0.92,0.26,-1.14,✗未应验
S1r压力簇,2015-05-29,2107.4,2120.0,3触,0.21,-0.69,-0.63,✓应验
S1r压力簇,2015-06-01,2111.7,2120.0,3触,-0.1,-1.54,-1.29,✓应验
S1r压力簇,2015-06-02,2109.6,2120.0,3触,0.21,-1.4,-0.63,✓应验
S1r压力簇,2015-06-03,2114.1,2120.0,3触,-0.86,-0.42,-0.64,✓应验
S1r压力簇,2015-06-04,2095.8,2115.0,3触,-0.14,0.62,1.21,✗未应验
S1r压力簇,2015-06-10,2105.2,2120.0,3触,0.17,-0.23,0.16,✓应验
S1r压力簇,2015-06-11,2108.9,2120.0,3触,-0.7,0.59,-0.31,✗未应验
S1r压力簇,2015-06-16,2096.3,2115.0,3触,0.2,1.33,-1.58,✗未应验
S1r压力簇,2015-06-17,2100.4,2120.0,3触,0.99,0.39,-1.1,✗未应验
S1r压力簇,2015-06-19,2110.0,2120.0,3触,0.61,-0.4,-1.95,✓应验
S1r压力簇,2015-06-24,2108.6,2120.0,3触,-0.3,-1.48,-2.72,✓应验
S1r压力簇,2015-06-25,2102.3,2120.0,3触,-0.04,-1.21,-1.22,✓应验
S1r压力簇,2015-06-26,2101.5,2120.0,3触,-2.09,-1.56,-0.09,✓应验
S1r压力簇,2015-07-13,2099.6,2120.0,3触,0.45,1.37,-1.52,✗未应验
S1r压力簇,2015-07-14,2109.0,2120.0,3触,-0.07,0.49,-0.74,✗未应验
S1r压力簇,2015-07-15,2107.4,2120.0,3触,0.8,0.32,0.06,✗未应验
S1r压力簇,2015-07-16,2124.3,2125.0,3触,0.11,-1.04,-0.74,✓应验
S1r压力簇,2015-07-17,2126.6,2130.0,3触,0.08,-2.21,-1.07,✓应验
S1r压力簇,2015-07-20,2128.3,2130.0,3触,-0.43,-2.85,-1.42,✓应验
S1r压力簇,2015-07-21,2119.2,2120.0,3触,-0.24,-1.22,-1.22,✓应验
S1r压力簇,2015-07-22,2114.2,2120.0,3触,-0.57,-0.26,-0.68,✓应验
S1r压力簇,2015-07-23,2102.2,2120.0,3触,-1.07,0.31,-0.88,✗未应验
S1r压力簇,2015-07-29,2108.6,2120.0,3触,0.0,-0.41,-1.07,✓应验
S1r压力簇,2015-07-30,2108.6,2120.0,3触,-0.23,-1.19,-1.2,✓应验
S1r压力簇,2015-07-31,2103.8,2120.0,3触,-0.28,-1.25,-0.58,✓应验
S1r压力簇,2015-08-03,2098.0,2115.0,3触,-0.22,0.29,0.21,✗未应验
S1r压力簇,2015-08-05,2099.8,2120.0,3触,-0.78,-0.66,-0.96,✓应验
S1r压力簇,2015-08-10,2104.2,2119.0,4触,-0.96,-0.08,-10.03,✓应验
S1r压力簇,2015-08-17,2102.4,2119.0,4触,-0.26,-9.95,-6.2,✓应验
S1r压力簇,2015-08-18,2096.9,2114.0,3触,-0.83,-10.94,-8.73,✓应验
S1r压力簇,2016-09-22,2177.2,2192.0,3触,-0.57,-1.2,-0.75,✓应验
S1r压力簇,2016-09-28,2171.4,2192.0,3触,-0.93,-0.54,-1.48,✓应验
S1r压力簇,2016-10-10,2163.7,2177.0,3触,-1.24,-1.72,-0.57,✓应验
S1r压力簇,2016-11-09,2163.3,2175.0,4触,0.2,0.63,1.92,✗未应验
S1r压力簇,2016-11-10,2167.5,2175.0,4触,-0.14,0.91,2.12,✗未应验
S1r压力簇,2016-11-11,2164.4,2175.0,4触,-0.01,0.81,1.72,✗未应验
S1r压力簇,2016-11-14,2164.2,2175.0,4触,0.75,1.57,1.87,✗未应验
S1r压力簇,2016-11-15,2180.4,2192.0,3触,-0.16,1.03,0.84,✗未应验
S1r压力簇,2016-11-16,2176.9,2192.0,3触,0.47,1.28,0.65,✗未应验
S1r压力簇,2016-11-17,2187.1,2192.0,3触,-0.24,1.2,0.22,✗未应验
S1r压力簇,2016-11-18,2181.9,2192.0,3触,0.75,0.91,1.05,✗未应验
S1r压力簇,2016-12-01,2191.1,2192.0,3触,0.04,2.52,3.24,✗未应验
S1r压力簇,2017-01-13,2274.6,2278.0,3触,-0.3,-0.42,0.28,✓应验
S1r压力簇,2017-01-17,2267.9,2278.0,3触,0.18,0.54,0.48,✗未应验
S1r压力簇,2017-01-18,2271.9,2278.0,3触,-0.36,1.17,0.34,✗未应验
S1r压力簇,2017-01-19,2263.7,2278.0,3触,0.34,1.46,0.76,✗未应验
S1r压力簇,2017-01-20,2271.3,2278.0,3触,-0.27,1.03,1.15,✗未应验
S1r压力簇,2017-01-23,2265.2,2278.0,3触,0.66,0.69,1.21,✗未应验
S1r压力簇,2017-05-23,2398.4,2402.0,3触,0.25,0.56,1.45,✗未应验
S1r压力簇,2019-10-15,2995.7,3023.0,3触,-0.2,0.01,1.38,✗未应验
S1r压力簇,2019-10-17,2998.0,3023.0,3触,-0.39,0.41,1.32,✗未应验
S1r压力簇,2019-10-21,3006.7,3023.0,3触,-0.36,1.09,2.38,✗未应验
S1r压力簇,2019-10-22,2996.0,3023.0,3触,0.28,1.37,2.62,✗未应验
S1r压力簇,2019-10-23,3004.5,3023.0,3触,0.19,1.41,2.41,✗未应验
S1r压力簇,2019-10-24,3010.3,3023.0,3触,0.41,0.91,2.49,✗未应验
S1r压力簇,2019-10-25,3022.6,3023.0,3触,0.56,1.47,2.33,✗未应验
S1r压力簇,2026-02-25,6946.1,6994.0,3触,-0.54,-1.1,-2.45,✓应验
S1r压力簇,2026-04-14,6967.4,6994.0,3触,0.8,1.39,2.46,✗未应验
S1s支撑簇,2000-05-25,1381.5,1376.0,2触,-0.25,6.93,5.46,✓应验
S1s支撑簇,2000-05-26,1378.0,1376.0,2触,3.22,6.5,4.93,✓应验
S1s支撑簇,2001-07-12,1208.1,1204.0,2触,0.62,0.57,-0.43,✓应验
S1s支撑簇,2001-07-18,1207.7,1204.0,2触,0.61,-1.43,0.68,✗未应验
S1s支撑簇,2001-07-27,1205.8,1204.0,2触,-0.11,0.71,-1.3,✓应验
S1s支撑簇,2001-07-30,1204.5,1204.0,2触,0.56,-0.34,-1.1,✗未应验
S1s支撑簇,2001-08-07,1204.4,1204.0,2触,-1.73,-1.47,-3.91,✗未应验
S1s支撑簇,2001-08-20,1171.4,1167.0,2触,-1.21,0.67,-3.28,✓应验
S1s支撑簇,2001-12-05,1170.4,1167.0,2触,-0.28,-2.84,-1.78,✗未应验
S1s支撑簇,2001-12-06,1167.1,1167.0,2触,-0.75,-4.09,-2.33,✗未应验
S1s支撑簇,2002-01-04,1172.5,1167.0,2触,-0.65,-2.3,-3.83,✗未应验
S1s支撑簇,2002-12-27,875.4,871.0,2触,0.46,6.12,5.81,✓应验
S1s支撑簇,2003-03-19,874.0,871.0,2触,0.19,-0.47,0.79,✗未应验
S1s支撑簇,2003-03-25,874.7,871.0,2触,-0.55,-1.86,0.41,✗未应验
S1s支撑簇,2003-03-26,870.0,869.0,2触,-0.16,1.26,-0.46,✓应验
S1s支撑簇,2003-04-10,871.6,869.0,2触,-0.38,2.52,3.12,✓应验
S1s支撑簇,2004-05-03,1117.5,1116.0,2触,0.18,-2.72,-2.99,✗未应验
S1s支撑簇,2004-05-04,1119.6,1116.0,2触,0.18,-2.15,-2.51,✗未应验
S1s支撑簇,2004-05-28,1120.7,1116.0,2触,0.05,1.76,1.01,✓应验
S1s支撑簇,2004-06-03,1116.6,1116.0,2触,0.52,1.78,1.65,✓应验
S1s支撑簇,2004-07-01,1128.9,1123.0,2触,-0.32,-1.43,-2.44,✗未应验
S1s支撑簇,2004-07-02,1125.4,1123.0,2触,-0.81,-0.98,-2.18,✗未应验
S1s支撑簇,2004-07-06,1116.2,1116.0,2触,0.19,-0.1,-0.68,✗未应验
S1s支撑簇,2004-07-07,1118.3,1116.0,2触,-0.82,-0.61,-2.19,✗未应验
S1s支撑簇,2004-08-05,1080.7,1078.0,2触,-1.55,-1.62,0.97,✗未应验
S1s支撑簇,2004-08-10,1079.0,1078.0,2触,-0.3,0.25,1.59,✓应验
S1s支撑簇,2004-08-16,1079.3,1078.0,2触,0.22,1.51,1.84,✓应验
S1s支撑簇,2004-08-17,1081.7,1078.0,2触,1.24,1.34,2.08,✓应验
S1s支撑簇,2005-07-06,1194.9,1190.0,2触,0.25,2.37,3.37,✓应验
S1s支撑簇,2005-10-06,1191.5,1190.0,2触,0.37,-1.23,-1.15,✗未应验
S1s支撑簇,2005-10-17,1190.1,1190.0,2触,-1.0,0.78,1.42,✓应验
S1s支撑簇,2005-10-26,1191.4,1190.0,2触,-1.05,1.96,2.46,✓应验
S1s支撑簇,2006-05-15,1294.5,1294.0,2触,-0.19,-2.51,-2.68,✗未应验
S1s支撑簇,2006-06-16,1251.5,1246.0,2触,-0.91,-0.56,1.49,✗未应验
S1s支撑簇,2006-06-22,1245.6,1246.0,2触,-0.09,2.19,1.6,✓应验
S1s支撑簇,2006-06-26,1250.6,1246.0,2触,-0.91,2.37,1.75,✓应验
S1s支撑簇,2006-08-16,1295.4,1294.0,2触,0.16,-0.19,0.77,✗未应验
S1s支撑簇,2006-08-17,1297.5,1294.0,2触,0.37,-0.11,0.49,✗未应验
S1s支撑簇,2006-08-21,1297.5,1294.0,2触,0.1,0.33,1.21,✓应验
S1s支撑簇,2006-08-22,1298.8,1294.0,2触,-0.45,0.42,0.11,✓应验
S1s支撑簇,2006-08-24,1296.1,1294.0,2触,-0.07,0.6,0.22,✓应验
S1s支撑簇,2006-08-25,1295.1,1294.0,2触,0.52,1.23,0.34,✓应验
S1s支撑簇,2006-09-07,1294.0,1294.0,2触,0.38,1.72,1.86,✓应验
S1s支撑簇,2006-09-08,1298.9,1294.0,2触,0.05,1.6,1.22,✓应验
S1s支撑簇,2006-09-11,1299.5,1294.0,2触,1.04,1.67,2.06,✓应验
S1s支撑簇,2007-03-13,1378.0,1376.0,2触,0.67,2.39,3.68,✓应验
S1s支撑簇,2007-06-26,1492.9,1489.0,2触,0.9,2.14,1.73,✓应验
S1s支撑簇,2007-07-24,1511.0,1506.0,2触,0.47,-3.69,-2.27,✗未应验
S1s支撑簇,2007-08-03,1433.1,1433.0,2触,2.42,1.44,0.9,✓应验
S1s支撑簇,2007-09-04,1489.4,1489.0,2触,-1.15,-1.2,2.04,✗未应验
S1s支撑簇,2007-10-22,1506.3,1506.0,2触,0.88,2.3,-0.28,✓应验
S1s支撑簇,2007-11-01,1508.4,1506.0,2触,0.08,-2.23,-3.8,✗未应验
S1s支撑簇,2007-11-02,1509.6,1506.0,2触,-0.5,-3.71,-3.37,✗未应验
S1s支撑簇,2008-06-20,1317.9,1315.0,2触,0.01,-3.0,-4.98,✗未应验
S1s支撑簇,2008-06-23,1318.0,1315.0,2触,-0.28,-2.88,-3.36,✗未应验
S1s支撑簇,2010-02-01,1089.2,1085.0,2触,1.3,-2.98,0.52,✗未应验
S1s支撑簇,2010-05-21,1087.7,1085.0,3触,-1.29,0.16,-3.42,✓应验
S1s支撑簇,2010-05-28,1089.4,1086.0,2触,-1.72,-3.57,0.02,✗未应验
S1s支撑簇,2011-06-03,1300.2,1294.0,2触,-1.08,-2.24,-2.2,✗未应验
S1s支撑簇,2011-06-21,1295.5,1294.0,2触,-0.65,0.09,3.37,✓应验
S1s支撑簇,2011-06-28,1296.7,1294.0,2触,0.83,3.28,1.62,✓应验
S1s支撑簇,2011-07-28,1300.7,1295.0,3触,-0.65,-7.73,-9.84,✗未应验
S1s支撑簇,2012-05-08,1363.7,1358.0,2触,-0.67,-2.42,-3.45,✗未应验
S1s支撑簇,2012-06-29,1362.2,1358.0,2触,0.25,-0.71,-0.63,✗未应验
S1s支撑簇,2012-07-17,1363.7,1358.0,2触,0.67,-1.86,1.15,✗未应验
S1s支撑簇,2012-07-20,1362.7,1358.0,2触,-0.89,1.71,2.08,✓应验
S1s支撑簇,2012-07-26,1360.0,1358.0,2触,1.91,0.37,3.15,✓应验
S1s支撑簇,2013-04-18,1541.6,1539.0,2触,0.88,2.82,3.63,✓应验
S1s支撑簇,2014-04-07,1845.0,1837.0,2触,0.38,-0.78,1.87,✗未应验
S1s支撑簇,2014-04-15,1843.0,1837.0,2触,1.05,1.76,2.22,✓应验
S1s支撑簇,2014-10-15,1862.5,1861.0,2触,0.01,3.47,6.43,✓应验
S1s支撑簇,2014-10-16,1862.8,1861.0,2触,1.29,4.73,7.08,✓应验
S1s支撑簇,2015-01-30,1995.0,1990.0,2触,1.3,3.03,5.11,✓应验
S1s支撑簇,2015-06-08,2079.3,2070.0,2触,0.04,0.25,2.1,✓应验
S1s支撑簇,2015-06-09,2080.2,2070.0,2触,1.2,0.78,2.12,✓应验
S1s支撑簇,2015-07-01,2077.4,2071.0,3触,-0.03,-1.26,2.26,✗未应验
S1s支撑簇,2015-07-02,2076.8,2071.0,3触,-0.39,-0.01,2.4,✗未应验
S1s支撑簇,2015-07-08,2046.7,2043.0,2触,0.23,2.97,3.3,✓应验
S1s支撑簇,2015-07-09,2051.3,2043.0,2触,1.23,3.56,2.48,✓应验
S1s支撑簇,2015-07-10,2076.6,2071.0,3触,1.11,2.41,0.15,✓应验
S1s支撑簇,2015-07-24,2079.6,2071.0,3触,-0.58,1.16,-0.1,✓应验
S1s支撑簇,2015-08-07,2077.6,2071.0,3触,1.28,0.67,-5.13,✓应验
S1s支撑簇,2015-08-19,2079.6,2071.0,3触,-2.11,-6.69,-6.29,✗未应验
S1s支撑簇,2015-10-23,2075.2,2068.0,3触,-0.19,0.2,1.16,✓应验
S1s支撑簇,2015-10-26,2071.2,2068.0,3触,-0.26,1.59,0.36,✓应验
S1s支撑簇,2016-01-25,1877.1,1869.0,2触,1.41,3.32,-1.26,✓应验
S1s支撑簇,2016-05-13,2046.6,2037.0,2触,0.98,0.28,2.56,✓应验
S1s支撑簇,2016-05-19,2040.0,2037.0,2触,0.6,2.45,2.9,✓应验
S1s支撑簇,2016-06-24,2037.4,2037.0,2触,-1.81,3.22,4.9,✓应验
S1s支撑簇,2016-10-28,2126.4,2117.0,2触,-0.01,-1.94,1.79,✗未应验
S1s支撑簇,2016-10-31,2126.2,2117.0,2触,-0.68,0.25,1.79,✓应验
S1s支撑簇,2018-10-16,2809.9,2799.0,2触,-0.03,-2.46,-4.53,✗未应验
S1s支撑簇,2018-10-17,2809.2,2799.0,2触,-1.44,-5.45,-3.47,✗未应验
S1s支撑簇,2018-11-08,2806.8,2799.0,2触,-0.92,-2.73,-6.21,✗未应验
S1s支撑簇,2020-02-24,3225.9,3213.0,2触,-3.03,-4.21,-14.86,✗未应验
S1s支撑簇,2023-09-25,4337.4,4332.0,2触,-1.47,-1.13,-0.04,✗未应验
S1s支撑簇,2023-10-09,4335.7,4332.0,2触,0.52,0.88,-2.74,✓应验
S1s支撑簇,2023-10-12,4349.6,4332.0,2触,-0.5,-1.65,-4.88,✗未应验
S1s支撑簇,2023-11-09,4347.4,4332.0,2触,1.56,3.7,4.88,✓应验
S1s支撑簇,2025-03-04,5778.2,5768.0,2触,1.12,-3.57,-2.83,✗未应验
S1s支撑簇,2025-03-07,5770.2,5768.0,2触,-2.7,-2.27,-1.78,✗未应验
S1s支撑簇,2025-03-25,5776.6,5768.0,2触,-1.12,-2.49,-13.74,✗未应验
S1s支撑簇,2026-03-09,6796.0,6782.0,3触,-0.21,-1.42,-3.16,✗未应验
S1s支撑簇,2026-04-08,6782.8,6782.0,3触,0.62,3.54,5.24,✓应验
S2缩量上涨,1999-07-02,1391.2,-,V/20d=0.83,-0.22,0.57,1.18,✗未应验
S2缩量上涨,1999-08-16,1330.8,-,V/20d=0.80,1.01,2.21,-0.51,✗未应验
S2缩量上涨,1999-09-20,1335.5,-,V/20d=0.78,-2.09,-3.91,-2.32,✓应验
