family,signal,endpoint,n_on,mean_diff_bp,t,p,sign_consistent,bh_pass_q10
S1r,S1r_b3_t3_p10,fwd1,81,-9.029892505925648,-1.3484400579138827,0.12693653173413294,False,False
S1r,S1r_b3_t3_p10,fwd3,81,-27.312303550093805,-1.9577161561615566,0.11444277861069466,False,False
S1r,S1r_b3_t3_p10,fwd5,81,-39.86255767293363,-1.7275919838317162,0.22438780609695153,False,False
S1r,S1r_b3_t3_p10,fwd10,81,-58.56064937321079,-2.3451107143763488,0.19640179910044978,False,False
S1s,S1s_b3_t2_p5,fwd1,37,-7.346064983536768,-0.37286981445942613,0.6611694152923538,False,False
S1s,S1s_b3_t2_p5,fwd3,37,-23.698248849756226,-0.5183142133433266,0.6131934032983508,False,False
S1s,S1s_b3_t2_p5,fwd5,37,-3.634722898546291,-0.07845695436216331,0.8905547226386806,False,False
S1s,S1s_b3_t2_p5,fwd10,37,-72.82111879875332,-0.8663156004854841,0.4927536231884058,False,False
S2,S2_d2_v85,fwd1,148,-0.65968810567783,-0.08945087015663089,0.9325337331334332,False,False
S2,S2_d2_v85,fwd3,148,-5.36505926145682,-0.38940966673452115,0.7241379310344828,False,False
S2,S2_d2_v85,fwd5,148,-4.388458822412139,-0.27159338543379874,0.8200899550224887,True,False
S2,S2_d2_v85,fwd10,148,15.225875977804247,0.6450497820742608,0.6131934032983508,False,False
S4,S4_n3_p10,fwd1,40,-16.859585294362194,-1.264416850664658,0.19490254872563717,False,False
S4,S4_n3_p10,fwd3,40,11.131942804121858,0.44496433657923334,0.7376311844077961,False,False
S4,S4_n3_p10,fwd5,40,-15.224869962846993,-0.5407626977881004,0.6941529235382309,False,False
S4,S4_n3_p10,fwd10,40,-47.65091645013499,-0.9287171075673374,0.5962018990504747,False,False
