signal,n_on,mean_diff_bp,t,p
S1r_b3_t2_p5,98,17.776848261747922,0.9790382233672732,0.47476261869065467
S1s_b3_t2_p5,65,-30.478803505436957,-1.0645323797449662,0.34382808595702147
S1r_b3_t2_p10,189,25.45495996013517,1.8197586696882198,0.25987006496751625
S1s_b3_t2_p10,145,-10.119640593298557,-0.5240569544378412,0.7071464267866067
S1r_b3_t3_p5,16,,,
S1s_b3_t3_p5,6,,,
S1r_b3_t3_p10,32,74.20302965969822,2.336693897979191,0.11744127936031984
S1s_b3_t3_p10,15,,,
S1r_b5_t2_p5,141,9.026656250131227,0.5676822103592247,0.6871564217891054
S1s_b5_t2_p5,92,-20.248958405773777,-0.9278954822594099,0.47926036981509246
S1r_b5_t2_p10,270,12.645795498965716,1.0308451063222022,0.487256371814093
S1s_b5_t2_p10,194,-12.383577193205765,-0.7721732242148042,0.5947026486756621
S1r_b5_t3_p5,49,23.581146803668663,0.8934683637696915,0.5442278860569715
S1s_b5_t3_p5,11,,,
S1r_b5_t3_p10,88,31.469929609888194,1.6777748174504377,0.3173413293353323
S1s_b5_t3_p10,28,,,
S2_d1_v85,241,-5.300411038111831,-0.26814101102956556,0.8180909545227386
S2_d1_v95,620,-0.5843274390453621,-0.05031744845487766,0.975512243878061
S2_d2_v85,122,17.332259229764492,0.784528838302557,0.5287356321839081
S2_d2_v95,322,-2.9937026686718093,-0.2175254834135613,0.8555722138930535
S4_n2_p5,74,27.93913349112316,0.956956685870266,0.44577711144427784
S4_n2_p10,131,23.102865950425496,1.0642251485402991,0.447776111944028
S4_n3_p5,26,,,
S4_n3_p10,50,77.15830515536997,2.93228735098099,0.03798100949525238
