main,dd_overlay,aftermath,hv_ladder,days,pct
1,0,0,1,2487,51.08
0,0,0,1,702,14.42
1,1,0,1,607,12.47
1,0,0,0,191,3.92
0,1,0,1,165,3.39
1,0,1,1,155,3.18
1,1,1,1,140,2.88
0,0,0,0,112,2.3
1,0,1,0,67,1.38
0,0,1,1,60,1.23
1,1,0,0,59,1.21
1,1,1,0,54,1.11
0,1,0,0,28,0.58
0,1,1,0,27,0.55
0,0,1,0,9,0.18
0,1,1,1,6,0.12
