sleeve,strategy,entry_date,exit_date,bp_dollar,pool,is_short_vol,cap_config,passed,blocker,realized_pnl,priority_score
Bull_Call_Diagonal,Bull Call Diagonal,2007-02-07,2007-02-27,15000.0,SPX_PM,False,B_tight,True,,-2975.57,33.629124004550626
Iron_Condor,Iron Condor,2007-03-13,2007-04-17,15000.0,SPX_PM,False,B_tight,True,,1041.89,30.91012514220705
Bull_Call_Diagonal,Bull Call Diagonal,2007-04-17,2007-05-21,15000.0,SPX_PM,False,B_tight,True,,8912.44,38.54379977246872
Bull_Call_Diagonal,Bull Call Diagonal,2007-05-21,2007-06-25,15000.0,SPX_PM,False,B_tight,True,,-2548.76,-6.052332195676905
Iron_Condor,Iron Condor,2007-06-22,2007-07-27,15000.0,SPX_PM,False,B_tight,True,,-2010.08,30.91012514220705
Iron_Condor,Iron Condor,2007-08-08,2007-09-12,15000.0,SPX_PM,False,B_tight,True,,1942.02,30.91012514220705
Iron_Condor_High_Vol,Iron Condor (High Vol),2007-08-20,2007-09-18,14000.000000000002,SPX_PM,True,B_tight,True,,1444.21,11.695108077360633
Iron_Condor_High_Vol,Iron Condor (High Vol),2007-08-21,2007-09-20,14000.000000000002,SPX_PM,True,B_tight,True,,1380.84,11.54721274175199
Iron_Condor_High_Vol,Iron Condor (High Vol),2007-11-02,2007-12-06,14000.000000000002,SPX_PM,True,B_tight,True,,3854.7,27.758816837315123
Iron_Condor_High_Vol,Iron Condor (High Vol),2007-11-13,2007-12-06,14000.000000000002,SPX_PM,True,B_tight,True,,1480.86,11.54721274175199
Iron_Condor_High_Vol,Iron Condor (High Vol),2007-12-11,2007-12-26,14000.000000000002,SPX_PM,True,B_tight,True,,3213.86,27.758816837315123
Iron_Condor,Iron Condor,2007-12-06,2008-01-11,15000.0,SPX_PM,False,B_tight,True,,-2704.21,30.91012514220705
Iron_Condor_High_Vol,Iron Condor (High Vol),2007-12-12,2008-01-17,14000.000000000002,SPX_PM,True,B_tight,True,,-6052.25,27.758816837315123
Iron_Condor_High_Vol,Iron Condor (High Vol),2007-12-31,2008-02-05,14000.000000000002,SPX_PM,True,B_tight,True,,-4503.26,27.758816837315123
Iron_Condor_High_Vol,Iron Condor (High Vol),2008-01-24,2008-02-14,14000.000000000002,SPX_PM,True,B_tight,True,,1310.38,11.695108077360633
Bear_Call_Spread_High_Vol,Bear Call Spread (High Vol),2008-02-27,2008-03-17,14000.000000000002,SPX_PM,True,B_tight,True,,1866.64,-0.9670079635949942
Iron_Condor_High_Vol,Iron Condor (High Vol),2008-03-11,2008-04-08,14000.000000000002,SPX_PM,True,B_tight,True,,1476.51,11.695108077360633
Iron_Condor_High_Vol,Iron Condor (High Vol),2008-03-18,2008-04-09,14000.000000000002,SPX_PM,True,B_tight,False,R6_second_leg_short_vol_block,1346.53,11.54721274175199
Bull_Put_Spread,Bull Put Spread,2008-04-10,2008-04-23,15000.0,SPX_PM,False,B_tight,True,,3330.61,44.91467576791808
Iron_Condor_High_Vol,Iron Condor (High Vol),2008-04-11,2008-05-13,14000.000000000002,SPX_PM,True,B_tight,True,,3302.68,27.758816837315123
Bear_Call_Spread_High_Vol,Bear Call Spread (High Vol),2008-04-14,2008-05-16,14000.000000000002,SPX_PM,True,B_tight,True,,-1104.45,-0.9670079635949942
Bear_Call_Spread_High_Vol,Bear Call Spread (High Vol),2008-06-18,2008-07-02,14000.000000000002,SPX_PM,True,B_tight,True,,2003.21,-0.9670079635949942
Iron_Condor,Iron Condor,2008-06-04,2008-07-09,15000.0,SPX_PM,False,B_tight,True,,-6518.94,9.71558589306029
Iron_Condor_High_Vol,Iron Condor (High Vol),2008-07-16,2008-08-06,14000.000000000002,SPX_PM,True,B_tight,True,,1352.69,11.54721274175199
Bear_Call_Spread_High_Vol,Bear Call Spread (High Vol),2008-07-21,2008-08-21,14000.000000000002,SPX_PM,True,B_tight,True,,1838.1,2.0705346985210458
Iron_Condor,Iron Condor,2008-09-02,2008-10-06,15000.0,SPX_PM,False,B_tight,True,,-11125.95,9.71558589306029
Iron_Condor_High_Vol,Iron Condor (High Vol),2009-04-17,2009-05-18,14000.000000000002,SPX_PM,True,B_tight,True,,3101.44,18.156996587030715
Bull_Put_Spread_High_Vol,Bull Put Spread (High Vol),2009-05-04,2009-05-22,14000.000000000002,SPX_PM,True,B_tight,True,,663.44,48.998862343572235
Bull_Put_Spread_High_Vol,Bull Put Spread (High Vol),2009-05-22,2009-06-01,14000.000000000002,SPX_PM,True,B_tight,True,,3278.76,48.998862343572235
Bull_Put_Spread_High_Vol,Bull Put Spread (High Vol),2009-10-21,2009-11-10,14000.000000000002,SPX_PM,True,B_tight,True,,1954.7,47.62229806598407
Bull_Put_Spread_High_Vol,Bull Put Spread (High Vol),2009-11-10,2009-11-25,14000.000000000002,SPX_PM,True,B_tight,True,,2594.23,51.82025028441411
Bull_Put_Spread_High_Vol,Bull Put Spread (High Vol),2009-11-27,2009-12-14,14000.000000000002,SPX_PM,True,B_tight,True,,3004.64,47.62229806598407
Bull_Put_Spread_High_Vol,Bull Put Spread (High Vol),2009-12-17,2010-01-04,14000.000000000002,SPX_PM,True,B_tight,True,,3235.31,47.62229806598407
Iron_Condor_High_Vol,Iron Condor (High Vol),2010-01-21,2010-02-19,14000.000000000002,SPX_PM,True,B_tight,True,,3467.53,27.758816837315123
Bear_Call_Spread_High_Vol,Bear Call Spread (High Vol),2010-02-16,2010-03-22,14000.000000000002,SPX_PM,True,B_tight,True,,-1157.11,-0.9670079635949942
Iron_Condor_High_Vol,Iron Condor (High Vol),2010-05-10,2010-06-14,14000.000000000002,SPX_PM,True,B_tight,True,,1012.57,11.695108077360633
Iron_Condor_High_Vol,Iron Condor (High Vol),2010-05-11,2010-06-15,14000.000000000002,SPX_PM,True,B_tight,True,,1565.05,11.695108077360633
Bear_Call_Spread_High_Vol,Bear Call Spread (High Vol),2010-06-17,2010-07-01,14000.000000000002,SPX_PM,True,B_tight,True,,1869.22,2.0705346985210458
Iron_Condor_High_Vol,Iron Condor (High Vol),2010-06-14,2010-07-08,14000.000000000002,SPX_PM,True,B_tight,True,,1458.15,11.695108077360633
Iron_Condor_High_Vol,Iron Condor (High Vol),2010-06-15,2010-07-13,14000.000000000002,SPX_PM,True,B_tight,False,R5_stress_episode_cap,1445.82,11.54721274175199
Bull_Put_Spread_High_Vol,Bull Put Spread (High Vol),2010-08-09,2010-08-27,14000.000000000002,SPX_PM,True,B_tight,True,,-5392.19,47.62229806598407
Iron_Condor_High_Vol,Iron Condor (High Vol),2010-08-11,2010-09-03,14000.000000000002,SPX_PM,True,B_tight,True,,3578.76,27.758816837315123
Iron_Condor_High_Vol,Iron Condor (High Vol),2010-08-10,2010-09-13,14000.000000000002,SPX_PM,True,B_tight,True,,3669.41,27.758816837315123
Bear_Call_Spread_High_Vol,Bear Call Spread (High Vol),2010-08-27,2010-10-01,14000.000000000002,SPX_PM,True,B_tight,False,R5_stress_episode_cap,-2680.01,-0.9670079635949942
Iron_Condor_High_Vol,Iron Condor (High Vol),2010-09-07,2010-10-11,14000.000000000002,SPX_PM,True,B_tight,False,R5_stress_episode_cap,2309.47,27.758816837315123
Iron_Condor_High_Vol,Iron Condor (High Vol),2010-09-21,2010-10-21,14000.000000000002,SPX_PM,True,B_tight,True,,3496.8,27.758816837315123
Bull_Put_Spread,Bull Put Spread,2010-11-29,2010-12-10,15000.0,SPX_PM,False,B_tight,True,,6222.57,44.91467576791808
Bull_Put_Spread,Bull Put Spread,2011-03-07,2011-03-18,15000.0,SPX_PM,False,B_tight,True,,-3573.55,44.91467576791808
Iron_Condor_High_Vol,Iron Condor (High Vol),2011-03-17,2011-03-31,14000.000000000002,SPX_PM,True,B_tight,True,,1521.21,11.695108077360633
Iron_Condor_High_Vol,Iron Condor (High Vol),2011-03-18,2011-04-04,14000.000000000002,SPX_PM,True,B_tight,True,,1319.96,11.54721274175199
Bull_Call_Diagonal,Bull Call Diagonal,2011-04-21,2011-05-24,15000.0,SPX_PM,False,B_tight,True,,-1875.37,9.283276450511943
Iron_Condor,Iron Condor,2011-06-06,2011-07-11,15000.0,SPX_PM,False,B_tight,True,,3203.08,9.71558589306029
Iron_Condor,Iron Condor,2011-07-11,2011-08-10,15000.0,SPX_PM,False,B_tight,True,,-12043.69,11.023890784982935
Iron_Condor_High_Vol,Iron Condor (High Vol),2011-08-15,2011-09-15,14000.000000000002,SPX_PM,True,B_tight,True,,1386.73,18.156996587030715
Iron_Condor_High_Vol,Iron Condor (High Vol),2011-08-16,2011-09-15,14000.000000000002,SPX_PM,True,B_tight,True,,1396.22,18.156996587030715
Iron_Condor_High_Vol,Iron Condor (High Vol),2011-09-15,2011-10-12,14000.000000000002,SPX_PM,True,B_tight,True,,1297.01,18.156996587030715
Iron_Condor_High_Vol,Iron Condor (High Vol),2011-09-16,2011-10-13,14000.000000000002,SPX_PM,True,B_tight,False,R5_stress_episode_cap,1295.59,18.156996587030715
Bull_Put_Spread_High_Vol,Bull Put Spread (High Vol),2011-10-11,2011-10-21,14000.000000000002,SPX_PM,True,B_tight,True,,2615.25,55.13083048919226
Bull_Put_Spread_High_Vol,Bull Put Spread (High Vol),2011-10-24,2011-11-11,14000.000000000002,SPX_PM,True,B_tight,True,,1754.17,48.998862343572235
Bull_Put_Spread_High_Vol,Bull Put Spread (High Vol),2011-11-11,2011-12-02,14000.000000000002,SPX_PM,True,B_tight,True,,1102.87,55.13083048919226
Iron_Condor_High_Vol,Iron Condor (High Vol),2011-11-17,2011-12-09,14000.000000000002,SPX_PM,True,B_tight,True,,3577.45,6.131968145620018
Iron_Condor_High_Vol,Iron Condor (High Vol),2011-11-18,2011-12-09,14000.000000000002,SPX_PM,True,B_tight,True,,1322.66,18.156996587030715
Bull_Put_Spread_High_Vol,Bull Put Spread (High Vol),2011-12-08,2011-12-22,14000.000000000002,SPX_PM,True,B_tight,True,,3576.73,55.13083048919226
Bull_Put_Spread,Bull Put Spread,2011-12-22,2012-01-06,15000.0,SPX_PM,False,B_tight,True,,3467.1,44.91467576791808
Iron_Condor_High_Vol,Iron Condor (High Vol),2011-12-28,2012-02-02,14000.000000000002,SPX_PM,True,B_tight,True,,2966.05,27.758816837315123
Iron_Condor_High_Vol,Iron Condor (High Vol),2011-12-29,2012-02-02,14000.000000000002,SPX_PM,True,B_tight,True,,3405.4,27.758816837315123
Bull_Put_Spread,Bull Put Spread,2012-02-10,2012-02-24,15000.0,SPX_PM,False,B_tight,True,,4369.72,44.91467576791808
Bull_Put_Spread,Bull Put Spread,2012-03-06,2012-03-19,15000.0,SPX_PM,False,B_tight,True,,6772.27,44.91467576791808
Bull_Call_Diagonal,Bull Call Diagonal,2012-03-23,2012-04-10,15000.0,SPX_PM,False,B_tight,True,,-2591.22,9.283276450511943
Iron_Condor,Iron Condor,2012-05-04,2012-06-08,15000.0,SPX_PM,False,B_tight,True,,1230.22,9.71558589306029
Iron_Condor,Iron Condor,2012-06-08,2012-06-29,15000.0,SPX_PM,False,B_tight,True,,3530.28,11.023890784982935
Iron_Condor,Iron Condor,2012-07-24,2012-08-27,15000.0,SPX_PM,False,B_tight,True,,2947.2,9.71558589306029
Bull_Call_Diagonal,Bull Call Diagonal,2012-09-07,2012-10-11,15000.0,SPX_PM,False,B_tight,True,,-243.57,9.283276450511943
Iron_Condor,Iron Condor,2012-11-02,2012-11-28,15000.0,SPX_PM,False,B_tight,True,,3681.99,9.71558589306029
Bull_Put_Spread,Bull Put Spread,2012-12-19,2013-01-03,15000.0,SPX_PM,False,B_tight,True,,4454.15,44.91467576791808
Iron_Condor,Iron Condor,2012-12-04,2013-01-08,15000.0,SPX_PM,False,B_tight,True,,3732.91,9.71558589306029
Bull_Call_Diagonal,Bull Call Diagonal,2013-01-08,2013-02-12,15000.0,SPX_PM,False,B_tight,True,,9404.09,33.629124004550626
Bull_Call_Diagonal,Bull Call Diagonal,2013-02-12,2013-03-19,15000.0,SPX_PM,False,B_tight,True,,5372.13,33.629124004550626
Bull_Call_Diagonal,Bull Call Diagonal,2013-03-19,2013-04-23,15000.0,SPX_PM,False,B_tight,True,,4521.71,9.283276450511943
Bull_Call_Diagonal,Bull Call Diagonal,2013-04-23,2013-05-28,15000.0,SPX_PM,False,B_tight,True,,10559.17,33.629124004550626
Bull_Call_Diagonal,Bull Call Diagonal,2013-05-28,2013-06-20,15000.0,SPX_PM,False,B_tight,True,,-5345.68,-8.839590443686008
Iron_Condor,Iron Condor,2013-06-12,2013-07-05,15000.0,SPX_PM,False,B_tight,True,,4266.97,30.91012514220705
Iron_Condor,Iron Condor,2013-07-05,2013-08-08,15000.0,SPX_PM,False,B_tight,True,,2475.72,11.023890784982935
Bull_Call_Diagonal,Bull Call Diagonal,2013-08-08,2013-08-19,15000.0,SPX_PM,False,B_tight,True,,-5419.26,33.629124004550626
Iron_Condor,Iron Condor,2013-08-28,2013-10-02,15000.0,SPX_PM,False,B_tight,True,,2350.54,30.91012514220705
Bull_Call_Diagonal,Bull Call Diagonal,2013-10-16,2013-11-19,15000.0,SPX_PM,False,B_tight,True,,8275.67,3.788395904436859
Bull_Call_Diagonal,Bull Call Diagonal,2013-11-19,2013-12-24,15000.0,SPX_PM,False,B_tight,True,,6114.06,-4.004550625711036
Bull_Call_Diagonal,Bull Call Diagonal,2013-12-24,2014-01-24,15000.0,SPX_PM,False,B_tight,True,,-2202.28,33.629124004550626
Iron_Condor,Iron Condor,2014-02-10,2014-03-17,15000.0,SPX_PM,False,B_tight,True,,2209.51,30.91012514220705
