split,total_pnl,max_dd,worst_20d,implied_ann_pnl
full,755123.0,-173152.0,-117471.0,39082.0
post2020,353066.0,-173152.0,-117471.0,55712.0
recent2y,295699.0,-59014.0,-42961.0,126085.0
