split,feature,dd_n,dd_median,dd_p25,dd_p75,af_n,af_median,af_p25,af_p75,ks_stat,ks_p,distributions_differ_p005
full,vix,40,22.605,19.1725,27.2225,90,29.44,26.3625,33.1725,0.6167,0.0,True
full,vix_10d_slope,40,5.04,3.555,7.7525,90,2.135,-2.425,6.7525,0.4056,0.00014,True
full,ddath_max,40,-0.0461,-0.0609,-0.0358,90,-0.0737,-0.1223,-0.0377,0.3472,0.00181,True
full,ivp_252,40,90.4762,81.6468,96.4286,90,85.3175,70.7341,94.246,0.225,0.10368,False
full,spx_20d_ret,40,-0.0285,-0.0402,-0.0151,90,-0.0181,-0.049,0.027,0.3111,0.00723,True
post2020,vix,18,24.255,19.94,29.0,39,28.87,26.6,32.22,0.4231,0.01684,True
post2020,vix_10d_slope,18,5.025,3.08,7.2325,39,3.38,-2.305,7.94,0.2778,0.2452,False
post2020,ddath_max,18,-0.044,-0.0659,-0.032,39,-0.0754,-0.1263,-0.0323,0.3632,0.05787,False
post2020,ivp_252,18,90.4762,76.7857,93.6508,39,86.5079,76.3889,92.4603,0.2222,0.50428,False
post2020,spx_20d_ret,18,-0.0197,-0.0395,-0.0099,39,-0.0197,-0.049,0.0192,0.2991,0.1775,False
recent2y,vix,8,19.54,19.0075,24.37,6,26.605,25.3125,32.1425,0.75,0.02264,True
recent2y,vix_10d_slope,8,4.495,4.16,5.9875,6,8.74,3.2825,14.715,0.375,0.63736,False
recent2y,ddath_max,8,-0.044,-0.0479,-0.0399,6,-0.0699,-0.1028,-0.0461,0.5417,0.19247,False
recent2y,ivp_252,8,91.0714,87.8968,93.6508,6,95.2381,89.7817,98.3135,0.375,0.63736,False
recent2y,spx_20d_ret,8,-0.0286,-0.0408,-0.018,6,-0.0338,-0.0472,-0.0214,0.375,0.63736,False
