date,vix,is_aftermath,spx_close,dd_20d,dd_60d,ddath_max,main_active,main_bp,dd_overlay_active,dd_overlay_bp,hv_ladder_active,hv_ladder_bp,hv_ladder_contracts,aftermath_active,combined_bp_dollar,combined_bp_pct,stress_broad,stress_tight,episode_id_broad,episode_id_tight,episode_id
2007-01-03,12.0400,False,1416.6000,0.0000,0.0000,0.0000,True,15.0000,False,0.0000,True,3.5415,1.0000,False,18541.4999,9.2707,True,False,0,-1,-1
2007-01-04,11.5100,False,1418.3400,0.0000,0.0000,0.0000,True,15.0000,False,0.0000,True,3.5415,1.0000,False,18541.4999,9.2707,True,False,0,-1,-1
2007-01-05,12.1400,False,1409.7100,-0.0061,-0.0061,-0.0061,True,15.0000,False,0.0000,True,3.5415,1.0000,False,18541.4999,9.2707,True,False,0,-1,-1
2007-01-08,12.0000,False,1412.8400,-0.0039,-0.0039,-0.0039,True,15.0000,False,0.0000,True,3.5415,1.0000,False,18541.4999,9.2707,True,False,0,-1,-1
2007-01-09,11.9100,False,1412.1100,-0.0044,-0.0044,-0.0044,True,15.0000,False,0.0000,True,3.5415,1.0000,False,18541.4999,9.2707,True,False,0,-1,-1
2007-01-10,11.4700,False,1414.8500,-0.0025,-0.0025,-0.0025,True,15.0000,False,0.0000,True,7.0786,2.0000,False,22078.6249,11.0393,True,False,0,-1,-1
2007-01-11,10.8700,False,1423.8199,0.0000,0.0000,0.0000,True,15.0000,False,0.0000,True,7.0786,2.0000,False,22078.6249,11.0393,True,False,0,-1,-1
2007-01-12,10.1500,False,1430.7300,0.0000,0.0000,0.0000,True,15.0000,False,0.0000,True,7.0786,2.0000,False,22078.6249,11.0393,True,False,0,-1,-1
2007-01-16,10.7400,False,1431.9000,0.0000,0.0000,0.0000,True,15.0000,False,0.0000,True,7.0786,2.0000,False,22078.6249,11.0393,True,False,0,-1,-1
2007-01-17,10.5900,False,1430.6200,-0.0009,-0.0009,-0.0009,True,15.0000,False,0.0000,True,7.0786,2.0000,False,22078.6249,11.0393,True,False,0,-1,-1
2007-01-18,10.8500,False,1426.3700,-0.0039,-0.0039,-0.0039,True,15.0000,False,0.0000,True,10.6445,3.0000,False,25644.5499,12.8223,True,False,0,-1,-1
2007-01-19,10.4000,False,1430.5000,-0.0010,-0.0010,-0.0010,True,15.0000,False,0.0000,True,10.6445,3.0000,False,25644.5499,12.8223,True,False,0,-1,-1
2007-01-22,10.7700,False,1422.9500,-0.0063,-0.0063,-0.0063,True,15.0000,False,0.0000,True,10.6445,3.0000,False,25644.5499,12.8223,True,False,0,-1,-1
2007-01-23,10.3400,False,1427.9900,-0.0027,-0.0027,-0.0027,True,15.0000,False,0.0000,True,10.6445,3.0000,False,25644.5499,12.8223,True,False,0,-1,-1
2007-01-24,9.8900,False,1440.1300,0.0000,0.0000,0.0000,True,15.0000,False,0.0000,True,10.6445,3.0000,False,25644.5499,12.8223,True,False,0,-1,-1
2007-01-25,11.2200,False,1423.9000,-0.0113,-0.0113,-0.0113,True,15.0000,False,0.0000,True,14.2043,4.0000,False,29204.2999,14.6021,True,False,0,-1,-1
2007-01-26,11.1300,False,1422.1801,-0.0125,-0.0125,-0.0125,True,15.0000,False,0.0000,True,14.2043,4.0000,False,29204.2999,14.6021,True,False,0,-1,-1
2007-01-29,11.4500,False,1420.6200,-0.0135,-0.0135,-0.0135,True,15.0000,False,0.0000,True,14.2043,4.0000,False,29204.2999,14.6021,True,False,0,-1,-1
2007-01-30,10.9600,False,1428.8199,-0.0079,-0.0079,-0.0079,True,15.0000,False,0.0000,True,14.2043,4.0000,False,29204.2999,14.6021,True,False,0,-1,-1
2007-01-31,10.4200,False,1438.2400,-0.0013,-0.0013,-0.0013,True,15.0000,False,0.0000,True,14.2043,4.0000,False,29204.2999,14.6021,True,False,0,-1,-1
2007-02-01,10.3100,False,1445.9399,0.0000,0.0000,0.0000,True,15.0000,False,0.0000,True,14.2043,4.0000,False,29204.2999,14.6021,True,False,0,-1,-1
2007-02-02,10.0800,False,1448.3900,0.0000,0.0000,0.0000,True,15.0000,False,0.0000,True,17.8253,5.0000,False,32825.2750,16.4126,True,False,0,-1,-1
2007-02-05,10.5500,False,1446.9900,-0.0010,-0.0010,-0.0010,True,15.0000,False,0.0000,True,14.2838,4.0000,False,29283.7750,14.6419,True,False,0,-1,-1
2007-02-06,10.6500,False,1448.0000,-0.0003,-0.0003,-0.0003,True,15.0000,False,0.0000,True,14.2838,4.0000,False,29283.7750,14.6419,True,False,0,-1,-1
2007-02-07,10.3200,False,1450.0200,0.0000,0.0000,0.0000,True,30.0000,False,0.0000,True,14.2838,4.0000,False,44283.7750,22.1419,True,False,0,-1,-1
2007-02-08,10.4400,False,1448.3101,-0.0012,-0.0012,-0.0012,True,15.0000,False,0.0000,True,10.7467,3.0000,False,25746.6501,12.8733,True,False,0,-1,-1
2007-02-09,11.1000,False,1438.0601,-0.0082,-0.0082,-0.0082,True,15.0000,False,0.0000,True,14.3418,4.0000,False,29341.8002,14.6709,True,False,0,-1,-1
2007-02-12,11.6100,False,1433.3700,-0.0115,-0.0115,-0.0115,True,15.0000,False,0.0000,True,14.3418,4.0000,False,29341.8002,14.6709,True,False,0,-1,-1
2007-02-13,10.3400,False,1444.2600,-0.0040,-0.0040,-0.0040,True,15.0000,False,0.0000,True,14.3418,4.0000,False,29341.8002,14.6709,True,False,0,-1,-1
2007-02-14,10.2300,False,1455.3000,0.0000,0.0000,0.0000,True,15.0000,False,0.0000,True,14.3418,4.0000,False,29341.8002,14.6709,True,False,0,-1,-1
2007-02-15,10.2200,False,1456.8101,0.0000,0.0000,0.0000,True,15.0000,False,0.0000,True,14.3418,4.0000,False,29341.8002,14.6709,True,False,0,-1,-1
2007-02-16,10.0200,False,1455.5400,-0.0009,-0.0009,-0.0009,True,15.0000,False,0.0000,True,14.3418,4.0000,False,29341.8002,14.6709,True,False,0,-1,-1
2007-02-20,10.2400,False,1459.6801,0.0000,0.0000,0.0000,True,15.0000,False,0.0000,True,14.3418,4.0000,False,29341.8002,14.6709,True,False,0,-1,-1
2007-02-21,10.2000,False,1457.6300,-0.0014,-0.0014,-0.0014,True,15.0000,False,0.0000,True,14.3418,4.0000,False,29341.8002,14.6709,True,False,0,-1,-1
2007-02-22,10.1800,False,1456.3800,-0.0023,-0.0023,-0.0023,True,15.0000,False,0.0000,True,17.9828,5.0000,False,32982.7502,16.4914,True,False,0,-1,-1
2007-02-23,10.5800,False,1451.1899,-0.0058,-0.0058,-0.0058,True,15.0000,False,0.0000,True,14.4168,4.0000,False,29416.8253,14.7084,True,False,0,-1,-1
2007-02-26,11.1500,False,1449.3700,-0.0071,-0.0071,-0.0071,True,15.0000,False,0.0000,True,14.4168,4.0000,False,29416.8253,14.7084,True,False,0,-1,-1
2007-02-27,18.3100,False,1399.0400,-0.0415,-0.0415,-0.0415,True,15.0000,False,0.0000,True,14.4168,4.0000,False,29416.8253,14.7084,True,True,0,0,0
2007-02-28,15.4200,False,1406.8199,-0.0362,-0.0362,-0.0362,False,0.0000,True,3.2200,True,14.4168,4.0000,False,17636.8253,8.8184,True,True,0,0,0
2007-03-01,15.8200,False,1403.1700,-0.0387,-0.0387,-0.0387,False,0.0000,True,3.2200,True,14.4168,4.0000,False,17636.8253,8.8184,True,True,0,0,0
2007-03-02,18.6100,False,1387.1700,-0.0497,-0.0497,-0.0497,False,0.0000,True,3.2200,True,14.4168,4.0000,False,17636.8253,8.8184,True,True,0,0,0
2007-03-05,19.6300,False,1374.1200,-0.0586,-0.0586,-0.0586,False,0.0000,True,3.2200,True,14.4168,4.0000,False,17636.8253,8.8184,True,True,0,0,0
2007-03-06,15.9600,False,1395.4100,-0.0440,-0.0440,-0.0440,False,0.0000,True,3.2200,True,14.4168,4.0000,False,17636.8253,8.8184,True,True,0,0,0
2007-03-07,15.2400,False,1391.9700,-0.0464,-0.0464,-0.0464,False,0.0000,True,3.2200,True,14.4168,4.0000,False,17636.8253,8.8184,True,True,0,0,0
2007-03-08,14.2900,False,1401.8900,-0.0396,-0.0396,-0.0396,False,0.0000,True,3.2200,True,10.8571,3.0000,False,14077.0752,7.0385,True,True,0,0,0
2007-03-09,14.0900,False,1402.8400,-0.0389,-0.0389,-0.0389,False,0.0000,True,3.2200,True,10.8571,3.0000,False,14077.0752,7.0385,True,True,0,0,0
2007-03-12,13.9900,False,1406.6000,-0.0364,-0.0364,-0.0364,False,0.0000,True,3.2200,True,10.8571,3.0000,False,14077.0752,7.0385,True,True,0,0,0
2007-03-13,18.1300,False,1377.9500,-0.0560,-0.0560,-0.0560,True,15.0000,True,3.2200,True,10.8571,3.0000,False,29077.0752,14.5385,True,True,0,0,0
2007-03-14,17.2700,False,1387.1700,-0.0497,-0.0497,-0.0497,True,15.0000,True,3.2200,True,10.8571,3.0000,False,29077.0752,14.5385,True,True,0,0,0
2007-03-15,16.4300,False,1392.2800,-0.0462,-0.0462,-0.0462,True,15.0000,True,3.2200,True,10.8571,3.0000,False,29077.0752,14.5385,True,True,0,0,0
2007-03-16,16.7900,False,1386.9500,-0.0498,-0.0498,-0.0498,True,15.0000,True,3.2200,True,7.2361,2.0000,False,25456.1002,12.7281,True,True,0,0,0
2007-03-19,14.5900,False,1402.0601,-0.0395,-0.0395,-0.0395,True,15.0000,True,3.2200,True,7.2361,2.0000,False,25456.1002,12.7281,True,True,0,0,0
2007-03-20,13.2700,False,1410.9399,-0.0320,-0.0334,-0.0334,True,15.0000,True,3.2200,True,7.2361,2.0000,False,25456.1002,12.7281,True,True,0,0,0
2007-03-21,12.1900,False,1435.0400,-0.0147,-0.0169,-0.0169,True,15.0000,True,3.2200,True,7.2361,2.0000,False,25456.1002,12.7281,True,True,0,0,0
2007-03-22,12.9300,False,1434.5400,-0.0115,-0.0172,-0.0172,True,15.0000,True,3.2200,True,7.2361,2.0000,False,25456.1002,12.7281,True,True,0,0,0
2007-03-23,12.9500,False,1436.1100,-0.0091,-0.0161,-0.0161,True,15.0000,True,3.2200,True,7.2312,2.0000,False,25451.2250,12.7256,True,True,0,0,0
2007-03-26,13.1600,False,1437.5000,0.0000,-0.0152,-0.0152,True,15.0000,True,3.2200,True,7.2312,2.0000,False,25451.2250,12.7256,True,True,0,0,0
2007-03-27,13.4800,False,1428.6100,-0.0062,-0.0213,-0.0213,True,15.0000,True,3.2200,True,7.2312,2.0000,False,25451.2250,12.7256,True,True,0,0,0
2007-03-28,14.9800,False,1417.2300,-0.0141,-0.0291,-0.0291,True,15.0000,True,3.2200,True,7.2312,2.0000,False,25451.2250,12.7256,True,True,0,0,0
2007-03-29,15.1400,False,1422.5300,-0.0104,-0.0255,-0.0255,True,15.0000,True,3.2200,True,7.2312,2.0000,False,25451.2250,12.7256,True,True,0,0,0
2007-03-30,14.6400,False,1420.8600,-0.0116,-0.0266,-0.0266,True,15.0000,True,3.2200,True,7.2312,2.0000,False,25451.2250,12.7256,True,True,0,0,0
2007-04-02,14.5300,False,1424.5500,-0.0090,-0.0241,-0.0241,True,15.0000,False,0.0000,True,7.2312,2.0000,False,22231.2250,11.1156,True,False,0,0,0
2007-04-03,13.4600,False,1437.7700,0.0000,-0.0150,-0.0150,True,15.0000,False,0.0000,True,10.8257,3.0000,False,25825.6500,12.9128,True,False,0,0,0
2007-04-04,13.2400,False,1439.3700,0.0000,-0.0139,-0.0139,True,15.0000,False,0.0000,True,7.1847,2.0000,False,22184.7000,11.0924,True,False,0,-1,-1
2007-04-05,13.2300,False,1443.7600,0.0000,-0.0109,-0.0109,True,15.0000,False,0.0000,True,7.1847,2.0000,False,22184.7000,11.0924,True,False,0,-1,-1
2007-04-09,13.1400,False,1444.6100,0.0000,-0.0103,-0.0103,True,15.0000,False,0.0000,True,7.1847,2.0000,False,22184.7000,11.0924,True,False,0,-1,-1
2007-04-10,12.6800,False,1448.3900,0.0000,-0.0077,-0.0077,True,15.0000,False,0.0000,True,7.1847,2.0000,False,22184.7000,11.0924,True,False,0,-1,-1
2007-04-11,13.4900,False,1438.8700,-0.0066,-0.0143,-0.0143,True,15.0000,False,0.0000,True,10.7819,3.0000,False,25781.8750,12.8909,True,False,0,-1,-1
2007-04-12,12.7100,False,1447.8000,-0.0004,-0.0081,-0.0081,True,15.0000,False,0.0000,True,10.7819,3.0000,False,25781.8750,12.8909,True,False,0,-1,-1
2007-04-13,12.2000,False,1452.8500,0.0000,-0.0047,-0.0047,True,15.0000,False,0.0000,True,10.7819,3.0000,False,25781.8750,12.8909,True,False,0,-1,-1
2007-04-16,11.9800,False,1468.3300,0.0000,0.0000,0.0000,True,15.0000,False,0.0000,True,10.7819,3.0000,False,25781.8750,12.8909,True,False,0,-1,-1
2007-04-17,12.1400,False,1471.4800,0.0000,0.0000,0.0000,True,30.0000,False,0.0000,True,10.7819,3.0000,False,40781.8750,20.3909,True,False,0,-1,-1
2007-04-18,12.4200,False,1472.5000,0.0000,0.0000,0.0000,True,15.0000,False,0.0000,True,14.4631,4.0000,False,29463.1250,14.7316,True,False,0,-1,-1
