sleeve,entry_date,exit_date,bucket_key,bp_dollar,days_held,exit_pnl,dollar_per_bp_day,pool,shrunk_dpbp,shrunk_tail,return_pct,tail_pct,priority,tier
Bull_Call_Diagonal,2007-01-03,2007-02-07,"('LOW_VOL', 'ivp_sweet')",15000.0,35,6087.07,0.011594419047619047,SPX_PM,0.008170334733893558,0.44575173333333334,69.39704209328784,7.736063708759955,38.54379977246872,3
Bull_Call_Diagonal,2007-02-07,2007-02-27,"('LOW_VOL', 'ivp_low')",15000.0,20,-2975.57,-0.009918566666666667,SPX_PM,0.008264838095238095,0.6148260666666667,71.21729237770194,22.753128555176335,33.629124004550626,3
Iron_Condor,2007-03-13,2007-04-17,"('NEUTRAL', 'ivp_extreme')",15000.0,35,1041.89,0.0019845523809523813,SPX_PM,0.007193019707207206,0.49379639999999997,59.89761092150171,12.571103526734925,30.91012514220705,3
Bull_Call_Diagonal,2007-04-17,2007-05-21,"('LOW_VOL', 'ivp_sweet')",15000.0,34,8912.44,0.01747537254901961,SPX_PM,0.008170334733893558,0.44575173333333334,69.39704209328784,7.736063708759955,38.54379977246872,3
Bull_Call_Diagonal,2007-05-21,2007-06-25,"('LOW_VOL', 'ivp_high')",15000.0,35,-2548.76,-0.004854780952380953,SPX_PM,-5.4265266106442826e-05,0.5262788666666667,0.9101251422070534,16.496018202502842,-6.052332195676905,3
Iron_Condor,2007-06-22,2007-07-27,"('NEUTRAL', 'ivp_extreme')",15000.0,35,-2010.08,-0.0038287238095238096,SPX_PM,0.007193019707207206,0.49379639999999997,59.89761092150171,12.571103526734925,30.91012514220705,3
Iron_Condor,2007-08-08,2007-09-12,"('NEUTRAL', 'ivp_extreme')",15000.0,35,1942.02,0.0036990857142857143,SPX_PM,0.007193019707207206,0.49379639999999997,59.89761092150171,12.571103526734925,30.91012514220705,3
Iron_Condor_High_Vol,2007-08-20,2007-09-18,"('in_aftermath', 'vix_26to30')",14000.000000000002,29,1444.21,0.0035571674876847285,SPX_PM,0.005023970864661654,0.45451721428571423,25.483503981797494,8.987485779294653,11.695108077360633,2
Iron_Condor_High_Vol,2007-08-21,2007-09-20,"('in_aftermath', 'vix_22to26')",14000.000000000002,30,1380.84,0.003287714285714285,SPX_PM,0.004794947969453414,0.4202902142857142,23.60637087599545,6.541524459613197,11.54721274175199,2
Iron_Condor_High_Vol,2007-11-02,2007-12-06,"('not_aftermath', 'vix_22to26')",14000.000000000002,34,3854.7,0.008098109243697478,SPX_PM,0.00737205357142857,0.8304628571428571,65.07394766780432,28.213879408418656,27.758816837315123,2
Iron_Condor_High_Vol,2007-11-13,2007-12-06,"('in_aftermath', 'vix_22to26')",14000.000000000002,23,1480.86,0.004598944099378881,SPX_PM,0.004794947969453414,0.4202902142857142,23.60637087599545,6.541524459613197,11.54721274175199,2
Iron_Condor_High_Vol,2007-12-11,2007-12-26,"('not_aftermath', 'vix_22to26')",14000.000000000002,15,3213.86,0.015304095238095236,SPX_PM,0.00737205357142857,0.8304628571428571,65.07394766780432,28.213879408418656,27.758816837315123,2
Iron_Condor,2007-12-06,2008-01-11,"('NEUTRAL', 'ivp_extreme')",15000.0,36,-2704.21,-0.005007796296296297,SPX_PM,0.007193019707207206,0.49379639999999997,59.89761092150171,12.571103526734925,30.91012514220705,3
Iron_Condor_High_Vol,2007-12-12,2008-01-17,"('not_aftermath', 'vix_22to26')",14000.000000000002,36,-6052.25,-0.012008432539682538,SPX_PM,0.00737205357142857,0.8304628571428571,65.07394766780432,28.213879408418656,27.758816837315123,2
Iron_Condor_High_Vol,2007-12-31,2008-02-05,"('not_aftermath', 'vix_22to26')",14000.000000000002,36,-4503.26,-0.008935039682539682,SPX_PM,0.00737205357142857,0.8304628571428571,65.07394766780432,28.213879408418656,27.758816837315123,2
Iron_Condor_High_Vol,2008-01-24,2008-02-14,"('in_aftermath', 'vix_26to30')",14000.000000000002,21,1310.38,0.004457074829931972,SPX_PM,0.005023970864661654,0.45451721428571423,25.483503981797494,8.987485779294653,11.695108077360633,2
Bear_Call_Spread_High_Vol,2008-02-27,2008-03-17,"('not_aftermath', 'vix_22to26')",14000.000000000002,19,1866.64,0.007017443609022555,SPX_PM,0.0013104800383536151,0.3475055357142857,1.5358361774744027,4.721274175199089,-0.9670079635949942,2
Iron_Condor_High_Vol,2008-03-11,2008-04-08,"('in_aftermath', 'vix_26to30')",14000.000000000002,28,1476.51,0.0037666071428571423,SPX_PM,0.005023970864661654,0.45451721428571423,25.483503981797494,8.987485779294653,11.695108077360633,2
Iron_Condor_High_Vol,2008-03-18,2008-04-09,"('in_aftermath', 'vix_22to26')",14000.000000000002,22,1346.53,0.004371850649350649,SPX_PM,0.004794947969453414,0.4202902142857142,23.60637087599545,6.541524459613197,11.54721274175199,2
Bull_Put_Spread,2008-04-10,2008-04-23,"('NEUTRAL', 'ivp_sweet')",15000.0,13,3330.61,0.017080051282051284,SPX_PM,0.016247641025641024,0.9613349333333333,97.83845278725825,34.470989761092156,44.914675767918084,3
Iron_Condor_High_Vol,2008-04-11,2008-05-13,"('not_aftermath', 'vix_22to26')",14000.000000000002,32,3302.68,0.00737205357142857,SPX_PM,0.00737205357142857,0.8304628571428571,65.07394766780432,28.213879408418656,27.758816837315123,2
Bear_Call_Spread_High_Vol,2008-04-14,2008-05-16,"('not_aftermath', 'vix_22to26')",14000.000000000002,32,-1104.45,-0.0024652901785714282,SPX_PM,0.0013104800383536151,0.3475055357142857,1.5358361774744027,4.721274175199089,-0.9670079635949942,2
Bear_Call_Spread_High_Vol,2008-06-18,2008-07-02,"('not_aftermath', 'vix_22to26')",14000.000000000002,14,2003.21,0.010220459183673468,SPX_PM,0.0013104800383536151,0.3475055357142857,1.5358361774744027,4.721274175199089,-0.9670079635949942,2
Iron_Condor,2008-06-04,2008-07-09,"('NEUTRAL', 'ivp_mid_low')",15000.0,35,-6518.94,-0.012417028571428571,SPX_PM,0.005924692857142857,1.3771592833333335,41.75199089874857,38.33902161547213,9.71558589306029,3
Iron_Condor_High_Vol,2008-07-16,2008-08-06,"('in_aftermath', 'vix_22to26')",14000.000000000002,21,1352.69,0.004600986394557823,SPX_PM,0.004794947969453414,0.4202902142857142,23.60637087599545,6.541524459613197,11.54721274175199,2
Bear_Call_Spread_High_Vol,2008-07-21,2008-08-21,"('in_aftermath', 'vix_22to26')",14000.000000000002,31,1838.1,0.0042352534562211976,SPX_PM,0.0042352534562211976,0.33934714285714285,6.257110352673492,4.2093287827076225,2.0705346985210458,2
Iron_Condor,2008-09-02,2008-10-06,"('NEUTRAL', 'ivp_mid_low')",15000.0,34,-11125.95,-0.021815588235294118,SPX_PM,0.005924692857142857,1.3771592833333335,41.75199089874857,38.33902161547213,9.71558589306029,3
Iron_Condor_High_Vol,2009-04-17,2009-05-18,"('in_aftermath', 'vix_30to40')",14000.000000000002,31,3101.44,0.0071461751152073726,SPX_PM,0.005775131578947368,0.5027033928571428,40.50056882821388,15.358361774744028,18.156996587030715,2
