sleeve,strategy,entry_date,bp_dollar,pool,is_short_vol,spx_pm_bp_before,es_span_bp_before,combined_bp_before,short_vol_bp_before,stress_episode,second_leg,passed,blocker
Bull_Call_Diagonal,Bull Call Diagonal,2007-02-07,15000.0,SPX_PM,False,15.0,14.3,14.6,7.1,False,False,True,
Iron_Condor,Iron Condor,2007-03-13,15000.0,SPX_PM,False,3.2,10.9,7.0,5.4,True,False,True,
Bull_Call_Diagonal,Bull Call Diagonal,2007-04-17,15000.0,SPX_PM,False,15.0,10.8,12.9,5.4,False,False,True,
Bull_Call_Diagonal,Bull Call Diagonal,2007-05-21,15000.0,SPX_PM,False,15.0,14.9,15.0,7.5,False,False,True,
Iron_Condor,Iron Condor,2007-06-22,15000.0,SPX_PM,False,15.0,15.2,15.1,7.6,False,False,True,
Iron_Condor,Iron Condor,2007-08-08,15000.0,SPX_PM,False,-10.0,7.7,-1.2,3.8,True,False,True,
Iron_Condor_High_Vol,Iron Condor (High Vol),2007-08-20,14000.0,SPX_PM,True,5.0,3.9,4.4,1.9,True,False,True,
Iron_Condor_High_Vol,Iron Condor (High Vol),2007-08-21,14000.0,SPX_PM,True,19.0,3.9,11.4,8.9,True,False,True,
Iron_Condor_High_Vol,Iron Condor (High Vol),2007-11-02,14000.0,SPX_PM,True,-10.0,15.4,2.7,7.7,True,False,True,
Iron_Condor_High_Vol,Iron Condor (High Vol),2007-11-13,14000.0,SPX_PM,True,4.0,7.7,5.9,10.9,True,False,True,
Iron_Condor_High_Vol,Iron Condor (High Vol),2007-12-11,14000.0,SPX_PM,True,15.0,0.0,7.5,0.0,True,False,True,
Iron_Condor,Iron Condor,2007-12-06,15000.0,SPX_PM,False,28.0,0.0,14.0,14.0,True,False,True,
Iron_Condor_High_Vol,Iron Condor (High Vol),2007-12-12,14000.0,SPX_PM,True,29.0,0.0,14.5,7.0,True,False,True,
Iron_Condor_High_Vol,Iron Condor (High Vol),2007-12-31,14000.0,SPX_PM,True,29.0,3.7,16.4,8.9,True,False,True,
Iron_Condor_High_Vol,Iron Condor (High Vol),2008-01-24,14000.0,SPX_PM,True,14.0,3.7,8.9,8.9,True,False,True,
Bear_Call_Spread_High_Vol,Bear Call Spread (High Vol),2008-02-27,14000.0,SPX_PM,True,2.4,0.0,1.2,0.0,True,False,True,
Iron_Condor_High_Vol,Iron Condor (High Vol),2008-03-11,14000.0,SPX_PM,True,16.4,0.0,8.2,7.0,True,False,True,
Iron_Condor_High_Vol,Iron Condor (High Vol),2008-03-18,14000.0,SPX_PM,True,30.4,0.0,15.2,14.0,True,True,False,R6_second_leg_short_vol_block
Bull_Put_Spread,Bull Put Spread,2008-04-10,15000.0,SPX_PM,False,16.4,6.8,11.6,10.4,True,False,True,
Iron_Condor_High_Vol,Iron Condor (High Vol),2008-04-11,14000.0,SPX_PM,True,17.4,6.8,12.1,3.4,True,False,True,
Bear_Call_Spread_High_Vol,Bear Call Spread (High Vol),2008-04-14,14000.0,SPX_PM,True,31.4,6.8,19.1,10.4,True,False,True,
Bear_Call_Spread_High_Vol,Bear Call Spread (High Vol),2008-06-18,14000.0,SPX_PM,True,15.0,10.5,12.7,5.2,True,False,True,
Iron_Condor,Iron Condor,2008-06-04,15000.0,SPX_PM,False,0.0,14.0,7.0,7.0,False,False,True,
Iron_Condor_High_Vol,Iron Condor (High Vol),2008-07-16,14000.0,SPX_PM,True,0.0,0.0,0.0,0.0,True,False,True,
Bear_Call_Spread_High_Vol,Bear Call Spread (High Vol),2008-07-21,14000.0,SPX_PM,True,14.0,0.0,7.0,7.0,True,False,True,
