sleeve_a,sleeve_b,corr,split,condition
dd_overlay,aftermath,0.26,post2020,hv_heavy_40
dd_overlay,dd_overlay,1.0,post2020,hv_heavy_40
dd_overlay,hv_ladder,0.141,post2020,hv_heavy_40
hv_ladder,main,0.315,post2020,hv_heavy_40
hv_ladder,aftermath,0.232,post2020,hv_heavy_40
hv_ladder,dd_overlay,0.141,post2020,hv_heavy_40
hv_ladder,hv_ladder,1.0,post2020,hv_heavy_40
main,main,1.0,recent2y,all
main,aftermath,-0.056,recent2y,all
main,dd_overlay,-0.007,recent2y,all
main,hv_ladder,0.394,recent2y,all
aftermath,main,-0.056,recent2y,all
aftermath,aftermath,1.0,recent2y,all
aftermath,dd_overlay,0.352,recent2y,all
aftermath,hv_ladder,0.032,recent2y,all
dd_overlay,main,-0.007,recent2y,all
dd_overlay,aftermath,0.352,recent2y,all
dd_overlay,dd_overlay,1.0,recent2y,all
dd_overlay,hv_ladder,0.065,recent2y,all
hv_ladder,main,0.394,recent2y,all
hv_ladder,aftermath,0.032,recent2y,all
hv_ladder,dd_overlay,0.065,recent2y,all
hv_ladder,hv_ladder,1.0,recent2y,all
main,main,1.0,recent2y,stress_only
main,aftermath,0.088,recent2y,stress_only
main,dd_overlay,0.363,recent2y,stress_only
main,hv_ladder,0.403,recent2y,stress_only
aftermath,main,0.088,recent2y,stress_only
aftermath,aftermath,1.0,recent2y,stress_only
aftermath,dd_overlay,0.171,recent2y,stress_only
aftermath,hv_ladder,0.123,recent2y,stress_only
dd_overlay,main,0.363,recent2y,stress_only
dd_overlay,aftermath,0.171,recent2y,stress_only
dd_overlay,dd_overlay,1.0,recent2y,stress_only
dd_overlay,hv_ladder,0.247,recent2y,stress_only
hv_ladder,main,0.403,recent2y,stress_only
hv_ladder,aftermath,0.123,recent2y,stress_only
hv_ladder,dd_overlay,0.247,recent2y,stress_only
hv_ladder,hv_ladder,1.0,recent2y,stress_only
main,main,1.0,recent2y,worst5pct
main,aftermath,,recent2y,worst5pct
main,dd_overlay,0.332,recent2y,worst5pct
main,hv_ladder,0.298,recent2y,worst5pct
aftermath,main,,recent2y,worst5pct
aftermath,aftermath,,recent2y,worst5pct
aftermath,dd_overlay,,recent2y,worst5pct
aftermath,hv_ladder,,recent2y,worst5pct
dd_overlay,main,0.332,recent2y,worst5pct
dd_overlay,aftermath,,recent2y,worst5pct
dd_overlay,dd_overlay,1.0,recent2y,worst5pct
dd_overlay,hv_ladder,-0.388,recent2y,worst5pct
hv_ladder,main,0.298,recent2y,worst5pct
hv_ladder,aftermath,,recent2y,worst5pct
hv_ladder,dd_overlay,-0.388,recent2y,worst5pct
hv_ladder,hv_ladder,1.0,recent2y,worst5pct
main,main,1.0,recent2y,hv_heavy_40
main,aftermath,0.062,recent2y,hv_heavy_40
main,dd_overlay,0.034,recent2y,hv_heavy_40
main,hv_ladder,0.419,recent2y,hv_heavy_40
aftermath,main,0.062,recent2y,hv_heavy_40
aftermath,aftermath,1.0,recent2y,hv_heavy_40
aftermath,dd_overlay,0.296,recent2y,hv_heavy_40
aftermath,hv_ladder,0.042,recent2y,hv_heavy_40
dd_overlay,main,0.034,recent2y,hv_heavy_40
dd_overlay,aftermath,0.296,recent2y,hv_heavy_40
dd_overlay,dd_overlay,1.0,recent2y,hv_heavy_40
dd_overlay,hv_ladder,0.061,recent2y,hv_heavy_40
hv_ladder,main,0.419,recent2y,hv_heavy_40
hv_ladder,aftermath,0.042,recent2y,hv_heavy_40
hv_ladder,dd_overlay,0.061,recent2y,hv_heavy_40
hv_ladder,hv_ladder,1.0,recent2y,hv_heavy_40
