sleeve,parent_median_dpbp,parent_tail_per_bp,parent_n
Bear_Call_Spread_High_Vol,0.0042352534562211976,0.33934714285714285,9
Bull_Call_Diagonal,0.0047462504201680675,0.6413254666666667,72
Bull_Put_Spread,0.016663846153846154,0.9515775333333333,38
Bull_Put_Spread_High_Vol,0.012354059523809522,0.5659896785714285,28
DD_Overlay_A,0.007367539871545067,0.0,35
DD_Overlay_B,0.008559497057249867,0.715085242165242,5
HV_Ladder,0.006667716445938935,7.789351644590216,557
Iron_Condor,0.006070562184873949,1.3629987666666668,58
Iron_Condor_High_Vol,0.0051152631578947364,0.7532975714285713,77
