sleeve,strategy,entry_date,exit_date,bp_dollar,pool,is_short_vol,cap_config,passed,blocker,realized_pnl,priority_score
Iron_Condor_High_Vol,Iron Condor (High Vol),2008-03-18,2008-04-09,14000.000000000002,SPX_PM,True,default,False,R6_second_leg_short_vol_block,1346.53,11.54721274175199
Bull_Put_Spread_High_Vol,Bull Put Spread (High Vol),2021-03-10,2021-03-26,14000.000000000002,SPX_PM,True,default,False,R5_stress_episode_cap,3129.69,51.82025028441411
Bear_Call_Spread_High_Vol,Bear Call Spread (High Vol),2022-09-14,2022-09-28,14000.000000000002,SPX_PM,True,default,False,R6_second_leg_short_vol_block,1807.28,2.0705346985210458
Iron_Condor_High_Vol,Iron Condor (High Vol),2025-04-24,2025-05-29,14000.000000000002,SPX_PM,True,default,False,R5_stress_episode_cap,1206.54,11.695108077360633
HV_Ladder,HV Ladder (V2f),2025-09-04,2025-10-14,16255.2001953125,ES_SPAN,True,default,False,R2_es_span_cap,2815.8466461027388,15.028441410693963
HV_Ladder,HV Ladder (V2f),2025-09-17,2025-10-27,16500.87524414063,ES_SPAN,True,default,False,R2_es_span_cap,5052.133771071283,15.028441410693963
HV_Ladder,HV Ladder (V2f),2025-09-25,2025-10-27,16511.80053710938,ES_SPAN,True,default,False,R2_es_span_cap,5222.498667194202,28.304891922639356
HV_Ladder,HV Ladder (V2f),2025-10-02,2025-11-11,16788.37524414063,ES_SPAN,True,default,False,R2_es_span_cap,4678.94905133233,15.028441410693963
HV_Ladder,HV Ladder (V2f),2025-10-14,2025-11-11,16610.77514648438,ES_SPAN,True,default,False,R2_es_span_cap,6380.4686272916515,17.428896473265073
HV_Ladder,HV Ladder (V2f),2025-10-27,2025-12-05,17187.900390625,ES_SPAN,True,default,False,R2_es_span_cap,3612.3962368136745,-7.701934015927186
HV_Ladder,HV Ladder (V2f),2025-11-11,2025-12-22,17116.52465820313,ES_SPAN,True,default,False,R2_es_span_cap,5234.008751793653,15.028441410693963
HV_Ladder,HV Ladder (V2f),2025-12-05,2026-01-16,17175.999755859375,ES_SPAN,True,default,False,R2_es_span_cap,4025.926027040543,-7.701934015927186
HV_Ladder,HV Ladder (V2f),2025-12-12,2026-01-26,17068.525390625,ES_SPAN,True,default,False,R2_es_span_cap,4483.568128210459,15.028441410693963
HV_Ladder,HV Ladder (V2f),2025-12-22,2026-02-03,17196.2255859375,ES_SPAN,True,default,False,R2_es_span_cap,1899.456812696576,-13.014789533560863
HV_Ladder,HV Ladder (V2f),2026-01-06,2026-02-17,17362.049560546875,ES_SPAN,True,default,False,R2_es_span_cap,-1866.802077532816,-13.09442548350398
HV_Ladder,HV Ladder (V2f),2026-01-16,2026-02-27,17350.0244140625,ES_SPAN,True,default,False,R2_es_span_cap,473.05410357289475,28.304891922639356
HV_Ladder,HV Ladder (V2f),2026-01-26,2026-03-06,17375.574951171875,ES_SPAN,True,default,False,R2_es_span_cap,-10435.604382366091,28.304891922639356
HV_Ladder,HV Ladder (V2f),2026-02-03,2026-03-16,17294.525146484375,ES_SPAN,True,default,False,R2_es_span_cap,-4124.204623916262,16.302616609783847
Iron_Condor_High_Vol,Iron Condor (High Vol),2008-03-18,2008-04-09,14000.000000000002,SPX_PM,True,B_tight,False,R6_second_leg_short_vol_block,1346.53,11.54721274175199
Iron_Condor_High_Vol,Iron Condor (High Vol),2010-06-15,2010-07-13,14000.000000000002,SPX_PM,True,B_tight,False,R5_stress_episode_cap,1445.82,11.54721274175199
Bear_Call_Spread_High_Vol,Bear Call Spread (High Vol),2010-08-27,2010-10-01,14000.000000000002,SPX_PM,True,B_tight,False,R5_stress_episode_cap,-2680.01,-0.9670079635949942
Iron_Condor_High_Vol,Iron Condor (High Vol),2010-09-07,2010-10-11,14000.000000000002,SPX_PM,True,B_tight,False,R5_stress_episode_cap,2309.47,27.758816837315123
Iron_Condor_High_Vol,Iron Condor (High Vol),2011-09-16,2011-10-13,14000.000000000002,SPX_PM,True,B_tight,False,R5_stress_episode_cap,1295.59,18.156996587030715
Iron_Condor,Iron Condor,2018-02-22,2018-03-16,15000.0,SPX_PM,False,B_tight,False,R5_stress_episode_cap,3609.64,30.91012514220705
Iron_Condor,Iron Condor,2019-01-10,2019-02-14,15000.0,SPX_PM,False,B_tight,False,R5_stress_episode_cap,1859.33,30.91012514220705
Bull_Put_Spread,Bull Put Spread,2019-02-13,2019-02-27,15000.0,SPX_PM,False,B_tight,False,R5_stress_episode_cap,3619.37,44.91467576791808
Bull_Put_Spread_High_Vol,Bull Put Spread (High Vol),2020-07-07,2020-07-20,14000.000000000002,SPX_PM,True,B_tight,False,R4_short_vol_cap,3332.91,48.998862343572235
Iron_Condor_High_Vol,Iron Condor (High Vol),2020-06-26,2020-07-24,14000.000000000002,SPX_PM,True,B_tight,False,R4_short_vol_cap,3312.18,6.131968145620018
Iron_Condor_High_Vol,Iron Condor (High Vol),2020-07-02,2020-08-06,14000.000000000002,SPX_PM,True,B_tight,False,R4_short_vol_cap,2634.65,11.695108077360633
Iron_Condor_High_Vol,Iron Condor (High Vol),2020-11-09,2020-11-27,14000.000000000002,SPX_PM,True,B_tight,False,R4_short_vol_cap,3237.13,11.54721274175199
Bull_Put_Spread_High_Vol,Bull Put Spread (High Vol),2020-11-23,2020-12-08,14000.000000000002,SPX_PM,True,B_tight,False,R4_short_vol_cap,3176.24,47.62229806598407
Iron_Condor_High_Vol,Iron Condor (High Vol),2021-01-29,2021-02-12,14000.000000000002,SPX_PM,True,B_tight,False,R4_short_vol_cap,1613.72,18.156996587030715
Iron_Condor_High_Vol,Iron Condor (High Vol),2021-03-08,2021-03-22,14000.000000000002,SPX_PM,True,B_tight,False,R4_short_vol_cap,3346.48,11.54721274175199
Bull_Put_Spread_High_Vol,Bull Put Spread (High Vol),2021-03-10,2021-03-26,14000.000000000002,SPX_PM,True,B_tight,False,R1_spx_pm_pool_cap,3129.69,51.82025028441411
Iron_Condor,Iron Condor,2021-12-17,2022-01-11,15000.0,SPX_PM,False,B_tight,False,R3_combined_economic_cap,3572.64,30.91012514220705
Iron_Condor_High_Vol,Iron Condor (High Vol),2021-12-20,2022-01-12,14000.000000000002,SPX_PM,True,B_tight,False,R3_combined_economic_cap,3482.77,27.758816837315123
Iron_Condor_High_Vol,Iron Condor (High Vol),2022-04-22,2022-05-26,14000.000000000002,SPX_PM,True,B_tight,False,R4_short_vol_cap,1795.28,6.131968145620018
Iron_Condor_High_Vol,Iron Condor (High Vol),2022-08-02,2022-09-06,14000.000000000002,SPX_PM,True,B_tight,False,R5_stress_episode_cap,762.23,27.758816837315123
Bear_Call_Spread_High_Vol,Bear Call Spread (High Vol),2022-09-14,2022-09-28,14000.000000000002,SPX_PM,True,B_tight,False,R4_short_vol_cap,1807.28,2.0705346985210458
Bear_Call_Spread_High_Vol,Bear Call Spread (High Vol),2022-12-19,2023-01-25,14000.000000000002,SPX_PM,True,B_tight,False,R4_short_vol_cap,-413.2,-0.9670079635949942
Iron_Condor_High_Vol,Iron Condor (High Vol),2024-08-07,2024-08-27,14000.000000000002,SPX_PM,True,B_tight,False,R3_combined_economic_cap,1381.15,11.695108077360633
Bull_Put_Spread,Bull Put Spread,2025-02-06,2025-02-20,15000.0,SPX_PM,False,B_tight,False,R3_combined_economic_cap,1836.16,44.91467576791808
