baseline_pct,avg,P95,peak,days_>=60,%days_>=60,days_>=65,%days_>=65,days_>=70,%days_>=70,days_>=75,%days_>=75,days_>=80,%days_>=80
0.0,16.5,41.7,67.9,2,0.04,2,0.04,0,0.0,0,0.0,0,0.0
5.0,21.5,46.7,72.9,5,0.1,2,0.04,2,0.04,0,0.0,0,0.0
10.0,26.5,51.7,77.9,63,1.29,5,0.1,2,0.04,2,0.04,0,0.0
14.4,30.9,56.1,82.3,63,1.29,63,1.29,5,0.1,2,0.04,1,0.02
20.0,36.5,61.7,87.9,274,5.63,72,1.48,63,1.29,5,0.1,2,0.04
25.0,41.5,66.7,92.9,358,7.35,274,5.63,72,1.48,63,1.29,5,0.1
30.0,46.5,71.7,97.9,598,12.28,358,7.35,274,5.63,72,1.48,63,1.29
35.0,51.5,76.7,102.9,1300,26.7,598,12.28,358,7.35,274,5.63,72,1.48
