sleeve,entry_date,hv_bp_at_entry,hv_bucket,spx_ret_1d,vix_delta_1d,spx_ret_3d,vix_delta_3d,spx_ret_5d,vix_delta_5d,spx_ret_10d,vix_delta_10d,spx_ret_20d,vix_delta_20d,mae_ret_pct,mfe_ret_pct,max_vix_30d,entry_vix
Aftermath,2011-08-26,6.65,low<20,2.828,-3.31,3.577,-3.97,-0.24,-1.67,-1.235,3.0,-1.177,3.43,-6.592,3.577,45.45,35.59
Aftermath,2011-09-07,0.0,low<20,-1.061,0.94,-3.033,5.21,-0.829,1.22,-2.658,3.94,-4.554,4.43,-8.292,2.233,45.45,33.38
Aftermath,2011-09-14,0.0,low<20,1.719,-2.63,1.296,-1.87,-1.844,2.72,-3.165,6.48,1.562,-3.34,-7.525,5.511,45.45,34.6
Aftermath,2011-10-05,0.0,low<20,1.83,-1.54,4.446,-4.79,5.526,-6.55,5.756,-3.37,8.205,-5.07,0.0,12.33,37.81,37.81
Aftermath,2011-10-24,6.05,low<20,-2.004,2.96,2.424,-3.8,-0.071,0.7,0.553,0.59,-4.88,3.65,-7.616,2.464,36.16,29.26
Aftermath,2011-10-26,9.12,low<20,3.429,-4.4,0.91,0.1,-0.33,2.88,-1.039,6.3,-6.458,4.12,-6.709,3.469,36.16,29.86
Aftermath,2011-11-03,9.18,low<20,-0.628,-0.34,1.171,-3.02,-1.701,2.31,-3.57,4.01,-1.338,-2.98,-8.126,1.171,36.16,30.5
Aftermath,2011-11-11,12.37,low<20,-0.955,1.09,-2.132,3.47,-3.814,1.96,-5.641,2.09,-2.166,-4.37,-8.322,0.125,34.51,30.04
Aftermath,2011-11-18,12.37,low<20,-1.865,0.91,-4.431,1.98,-1.9,0.13,3.408,-4.16,-0.847,-7.08,-4.687,5.071,34.47,32.0
Aftermath,2011-11-22,12.37,low<20,-2.21,2.01,0.38,0.16,4.959,-4.17,6.142,-3.3,4.687,-10.54,-2.472,7.83,34.47,31.97
Aftermath,2011-11-29,9.31,low<20,4.332,-2.84,4.107,-3.12,5.295,-2.51,2.555,-5.23,4.556,-7.12,0.0,8.393,30.64,30.64
Aftermath,2015-08-25,5.31,low<20,3.903,-5.7,6.493,-9.97,2.476,-4.62,3.985,-9.79,3.81,-13.89,0.0,6.865,36.02,36.02
Aftermath,2016-02-16,0.0,low<20,1.648,-1.8,1.171,-3.58,1.355,-3.13,4.366,-6.41,6.349,-7.27,0.0,8.882,24.11,24.11
Aftermath,2018-02-06,28.02,mid20-40,-0.5,-2.25,-2.805,-0.92,-1.195,-5.01,0.23,-9.96,1.175,-12.22,-4.235,3.392,33.46,29.98
Aftermath,2018-12-26,0.0,low<20,0.856,-0.45,1.587,-4.99,-0.803,-4.96,5.225,-10.91,7.986,-12.99,-0.803,10.941,30.41,30.41
Aftermath,2020-03-02,16.86,low<20,-2.811,3.4,-2.145,6.2,-11.121,21.04,-22.785,49.27,-15.001,23.66,-27.598,1.291,82.69,33.42
Aftermath,2020-03-04,16.86,low<20,-3.392,7.63,-12.254,22.47,-12.419,21.91,-23.386,44.46,-21.073,25.07,-28.52,0.0,82.69,31.99
Aftermath,2020-04-14,0.0,low<20,-2.203,3.08,1.001,0.39,-3.847,7.65,0.609,-4.19,0.845,-4.72,-3.847,6.678,45.41,37.76
Aftermath,2020-04-17,0.0,low<20,-1.788,5.68,-2.618,3.83,-1.316,-2.22,-1.525,-0.96,-0.378,-6.26,-4.801,6.303,45.41,38.15
Aftermath,2020-04-24,0.0,low<20,1.471,-2.64,3.623,-4.7,-0.213,1.26,3.281,-7.95,4.185,-7.77,-0.59,13.947,37.19,35.93
Aftermath,2020-05-14,21.63,mid20-40,0.393,-0.72,2.469,-2.08,3.366,-3.08,6.724,-5.1,6.619,3.48,0.0,13.318,40.79,32.61
Aftermath,2020-06-02,22.3,mid20-40,1.365,-1.18,3.671,-2.32,4.101,0.73,1.426,6.83,0.632,3.59,-2.555,4.92,40.79,26.84
Aftermath,2020-06-12,23.37,mid20-40,0.831,-1.69,2.373,-2.62,1.855,-0.97,-1.061,-1.36,3.745,-3.9,-1.061,7.717,36.09,36.09
Aftermath,2020-06-30,31.16,mid20-40,0.502,-1.81,2.562,-2.49,2.247,-2.35,4.073,-2.67,5.101,-6.33,0.0,9.033,32.19,30.43
Aftermath,2020-07-15,31.54,mid20-40,-0.341,0.24,0.783,-3.3,1.533,-3.44,0.988,-3.66,4.766,-5.48,-0.341,7.815,28.0,27.76
Aftermath,2020-07-29,31.97,mid20-40,-0.375,0.66,1.11,0.18,2.128,-1.11,3.741,-1.82,6.761,-0.83,-0.375,9.894,33.6,24.1
Aftermath,2020-09-09,42.18,heavy>40,-1.758,0.9,-0.454,-2.96,-0.396,-2.77,-4.767,-0.23,0.603,-0.75,-4.767,3.979,29.71,28.81
Aftermath,2020-10-08,17.02,low<20,0.879,-1.36,1.889,-0.29,1.059,0.61,0.193,1.75,1.846,1.22,-5.131,5.225,40.28,26.36
Aftermath,2020-11-03,25.96,mid20-40,2.205,-5.98,4.164,-10.69,5.235,-10.75,7.134,-12.84,8.9,-14.38,0.0,9.886,35.55,35.55
Aftermath,2021-01-28,37.56,mid20-40,-1.931,2.88,1.028,-4.65,2.227,-8.44,3.406,-8.96,0.628,-2.26,-1.931,4.118,33.09,30.21
Aftermath,2021-03-01,29.32,mid20-40,-0.808,0.75,-3.418,5.22,-2.062,2.12,1.72,-3.32,1.775,-2.61,-3.418,6.145,28.57,23.35
Aftermath,2021-03-05,39.0,mid20-40,-0.536,0.81,1.48,-2.1,2.639,-3.97,1.852,-3.71,6.142,-6.75,-0.536,8.942,25.47,24.66
Aftermath,2021-11-29,46.46,heavy>40,-1.896,4.23,-1.679,4.99,-1.366,4.22,0.294,-2.65,2.816,-5.42,-3.055,3.035,31.12,22.96
Aftermath,2021-12-02,46.46,heavy>40,-0.845,2.72,2.396,-6.06,1.974,-6.37,2.001,-7.38,4.131,-10.73,-0.845,4.795,30.67,27.95
Aftermath,2021-12-06,46.52,heavy>40,2.071,-5.29,1.65,-5.6,1.683,-6.87,-0.515,-4.31,4.396,-10.27,-1.283,4.462,27.18,27.18
Aftermath,2022-01-28,35.47,mid20-40,1.889,-2.83,3.554,-5.57,1.55,-4.44,-0.298,-0.3,-1.307,2.49,-5.893,3.554,36.45,27.66
Aftermath,2022-02-16,11.78,low<20,-2.117,3.82,-3.804,4.52,-4.163,6.03,-2.492,6.19,-1.415,1.38,-6.8,3.499,36.45,24.29
Aftermath,2022-02-25,0.0,low<20,-0.244,2.56,0.043,3.15,-1.272,4.39,-4.113,3.16,3.613,-6.78,-4.88,5.632,36.45,27.59
Aftermath,2022-03-09,0.0,low<20,-0.429,-2.22,-2.449,-0.68,1.87,-5.78,4.169,-8.88,4.752,-10.35,-2.449,8.269,32.45,32.45
Aftermath,2022-04-28,45.33,heavy>40,-3.628,3.41,-2.613,-0.74,-3.28,1.21,-8.336,1.78,-5.356,-2.49,-9.019,0.296,34.75,29.99
Aftermath,2022-05-03,34.05,mid20-40,2.986,-3.83,-1.249,0.94,-4.177,3.74,-2.075,-3.15,-1.778,-3.56,-10.538,2.986,34.75,29.25
Aftermath,2022-05-13,22.47,mid20-40,-0.395,-1.4,-2.49,2.09,-3.045,0.56,3.339,-3.15,-6.816,5.15,-8.875,3.801,34.02,28.87
Aftermath,2022-05-25,11.16,low<20,1.988,-0.87,3.856,-2.18,4.979,-3.65,0.982,-2.28,-1.684,-1.14,-7.841,4.979,34.02,28.37
Aftermath,2022-06-15,0.0,low<20,-3.251,3.33,-0.665,0.57,0.151,-0.57,-0.122,-0.91,1.931,-5.39,-3.251,8.979,32.95,29.62
Aftermath,2022-06-21,0.0,low<20,-0.13,-1.24,3.903,-2.96,1.508,-1.83,2.133,-3.46,5.182,-6.31,-0.13,10.369,30.19,30.19
Aftermath,2022-07-07,0.0,low<20,-0.083,-1.44,-2.148,1.21,-2.876,0.32,2.468,-2.97,6.389,-4.64,-2.876,10.316,27.29,26.08
Aftermath,2022-10-04,20.63,mid20-40,-0.202,-0.52,-3.99,2.29,-5.331,4.56,-1.872,1.43,1.719,-3.26,-5.642,5.329,33.63,29.07
Aftermath,2022-10-20,10.28,low<20,2.372,-0.29,5.274,-1.52,3.861,-2.59,1.476,-4.68,7.659,-6.05,0.0,11.303,29.98,29.98
Aftermath,2024-08-06,55.36,heavy>40,-0.773,0.14,1.987,-7.34,3.71,-9.59,6.815,-11.83,5.344,-6.39,-0.773,7.793,27.85,27.71
Aftermath,2025-04-09,0.0,low<20,-3.461,7.1,-0.933,-2.73,-3.321,-0.98,0.511,-7.15,3.794,-11.14,-5.474,9.285,40.72,33.62
Aftermath,2025-04-11,0.0,low<20,0.794,-6.67,-1.634,-4.92,-3.825,-3.74,3.084,-12.41,8.965,-19.17,-3.825,11.191,37.56,37.56
Aftermath,2026-03-09,34.66,mid20-40,-0.214,-0.57,-1.815,1.79,-1.422,-1.99,-3.163,0.65,-2.636,0.28,-6.655,4.857,31.05,25.5
Aftermath,2026-03-16,34.66,mid20-40,0.249,-1.14,-1.387,0.55,-1.767,2.64,-5.309,7.1,4.0,-5.15,-5.309,7.083,31.05,23.51
Aftermath,2026-03-31,17.37,low<20,0.717,-0.71,1.276,-1.08,3.895,-4.21,7.573,-7.08,9.304,-6.44,0.0,13.332,25.78,25.25
