entry,exit_days,exit_reason,entry_spx,entry_vix,exit_spx,exit_vix,short_strike,long_strike,width,credit_per_share,max_loss_per_share,pnl_per_share,pnl_usd,roe_on_max_loss,win,state_ivp,state_ivr,state_iv_signal,range_252d,year
2001-05-21,9,dte_roll,1312.83,20.76,1248.08,22.76,1280,1240,40,9.59,30.41,-12.88,-1287.67,-0.4235,False,25.5,23.3,LOW,18.19,2001
2001-05-22,9,dte_roll,1309.38,21.35,1255.82,22.64,1275,1235,40,9.58,30.42,-9.97,-997.38,-0.3279,False,29.1,26.5,LOW,18.19,2001
2001-05-24,11,dte_roll,1293.17,20.57,1267.11,21.38,1260,1220,40,9.32,30.68,-3.68,-368.24,-0.12,False,23.1,22.2,LOW,18.19,2001
2001-05-25,10,dte_roll,1277.89,20.6,1267.11,21.38,1245,1205,40,9.28,30.72,-0.63,-62.75,-0.0204,False,23.9,22.4,LOW,18.19,2001
2001-06-01,10,dte_roll,1260.67,21.59,1254.39,20.7,1225,1190,35,8.34,26.66,0.87,87.41,0.0328,True,33.9,27.8,LOW,18.19,2001
2001-06-04,9,dte_roll,1267.11,21.38,1241.6,21.45,1235,1195,40,9.68,30.32,-3.62,-362.12,-0.1194,False,30.7,26.7,LOW,18.19,2001
2001-06-05,9,dte_roll,1283.57,19.58,1219.87,23.12,1250,1215,35,7.98,27.02,-11.86,-1185.79,-0.4389,False,14.7,16.8,LOW,18.19,2001
2001-06-06,9,dte_roll,1270.03,20.39,1214.36,22.81,1235,1200,35,8.02,26.98,-9.91,-991.16,-0.3674,False,22.7,21.2,LOW,18.19,2001
2001-06-07,11,dte_roll,1276.96,19.67,1208.43,23.17,1245,1210,35,8.23,26.77,-13.11,-1310.53,-0.4895,False,15.9,17.3,LOW,18.19,2001
2001-06-08,10,dte_roll,1264.96,19.92,1208.43,23.17,1235,1200,35,8.57,26.43,-10.63,-1062.62,-0.402,False,18.3,18.6,LOW,18.19,2001
2001-06-11,9,dte_roll,1254.39,20.7,1223.14,21.71,1220,1185,35,8.15,26.85,-4.69,-468.74,-0.1745,False,27.1,22.9,LOW,18.19,2001
2001-06-12,9,dte_roll,1255.85,20.7,1237.04,19.38,1225,1185,40,9.52,30.48,-1.74,-174.24,-0.0572,False,27.1,22.9,LOW,18.19,2001
2001-12-27,11,dte_roll,1157.13,21.59,1164.89,21.94,1125,1090,35,8.23,26.77,2.74,274.48,0.1025,True,16.3,11.3,LOW,24.98,2001
2001-12-28,10,dte_roll,1161.02,21.4,1164.89,21.94,1130,1095,35,8.35,26.65,1.9,189.52,0.0711,True,13.9,10.6,LOW,24.98,2001
2002-01-03,11,dte_roll,1165.27,21.34,1138.41,23.58,1135,1100,35,8.47,26.53,-4.21,-421.34,-0.1588,False,12.7,10.3,LOW,24.98,2002
2002-01-04,10,dte_roll,1172.51,20.45,1138.41,23.58,1140,1110,30,7.02,22.98,-5.31,-530.66,-0.2309,False,6.4,6.8,LOW,24.98,2002
2002-01-07,9,dte_roll,1164.89,21.94,1127.57,23.45,1135,1095,40,9.59,30.41,-7.09,-709.27,-0.2332,False,21.9,12.7,LOW,24.98,2002
2002-01-08,9,dte_roll,1160.71,21.83,1138.88,22.25,1130,1095,35,8.56,26.44,-2.87,-287.3,-0.1087,False,20.7,12.3,LOW,24.98,2002
2002-03-04,9,dte_roll,1153.84,20.5,1154.09,19.46,1125,1090,35,8.3,26.7,1.78,177.84,0.0666,True,7.2,7.0,LOW,24.98,2002
2002-03-05,9,dte_roll,1146.14,20.3,1153.04,19.2,1115,1085,30,7.02,22.98,2.49,249.29,0.1085,True,5.6,6.2,LOW,24.98,2002
2002-03-06,9,dte_roll,1162.77,19.94,1166.16,18.42,1135,1100,35,8.31,26.69,2.53,253.17,0.0949,True,3.6,4.7,LOW,24.98,2002
2002-03-07,11,dte_roll,1157.54,20.04,1165.55,18.93,1130,1095,35,8.36,26.64,3.46,346.0,0.1299,True,5.2,5.1,LOW,24.98,2002
2002-03-08,10,dte_roll,1164.31,19.27,1165.55,18.93,1135,1105,30,7.01,22.99,1.59,158.75,0.0691,True,1.2,2.0,LOW,24.98,2002
2002-03-11,9,dte_roll,1168.26,19.84,1151.85,18.46,1140,1105,35,8.23,26.77,-1.38,-137.51,-0.0514,False,3.2,4.3,LOW,24.98,2002
2002-03-12,9,dte_roll,1165.58,19.59,1153.59,18.15,1135,1105,30,6.95,23.05,-0.33,-32.64,-0.0142,False,2.4,3.3,LOW,24.98,2002
2002-03-13,9,dte_roll,1154.09,19.46,1148.7,17.77,1125,1095,30,7.06,22.94,0.89,89.08,0.0388,True,2.0,2.8,LOW,24.98,2002
2002-03-14,11,dte_roll,1153.04,19.2,1131.87,18.48,1125,1095,30,7.12,22.88,-2.33,-232.99,-0.1018,False,1.2,1.8,LOW,24.98,2002
2002-03-15,10,dte_roll,1166.16,18.42,1131.87,18.48,1140,1110,30,7.19,22.81,-5.82,-582.43,-0.2553,False,0.0,0.0,LOW,24.98,2002
2002-03-18,9,dte_roll,1165.55,18.93,1144.58,17.7,1140,1105,35,8.29,26.71,-2.75,-275.07,-0.103,False,1.2,2.0,LOW,25.32,2002
2002-03-19,9,dte_roll,1170.29,18.16,1147.39,17.4,1145,1115,30,7.25,22.75,-3.17,-317.11,-0.1394,False,0.0,0.0,LOW,25.32,2002
2002-03-20,12,dte_roll,1151.85,18.46,1146.54,18.73,1125,1095,30,7.02,22.98,0.58,57.71,0.0251,True,0.8,1.2,LOW,25.58,2002
2002-03-21,11,dte_roll,1153.59,18.15,1146.54,18.73,1125,1100,25,5.84,19.16,-0.03,-3.22,-0.0017,False,0.0,0.0,LOW,25.58,2002
2002-03-22,10,dte_roll,1148.7,17.77,1146.54,18.73,1125,1095,30,7.24,22.76,0.47,47.19,0.0207,True,0.0,0.0,LOW,25.59,2002
2002-03-26,9,dte_roll,1138.49,18.13,1126.34,19.78,1115,1085,30,7.35,22.65,-1.74,-173.64,-0.0767,False,0.4,1.4,LOW,25.97,2002
2002-03-27,9,dte_roll,1144.58,17.7,1122.73,19.13,1120,1090,30,7.04,22.96,-3.65,-364.53,-0.1588,False,0.0,0.0,LOW,25.97,2002
2002-03-28,11,dte_roll,1147.39,17.4,1125.29,19.61,1120,1095,25,5.72,19.28,-3.12,-311.63,-0.1616,False,0.0,0.0,LOW,26.04,2002
2002-04-01,9,dte_roll,1146.54,18.73,1130.47,18.19,1120,1090,30,7.14,22.86,-1.66,-166.41,-0.0728,False,3.6,5.0,LOW,26.34,2002
2002-04-02,9,dte_roll,1136.76,19.16,1103.69,20.3,1110,1080,30,7.21,22.79,-5.62,-561.54,-0.2463,False,5.6,6.7,LOW,26.34,2002
2003-04-17,11,profit_target,893.58,21.5,914.84,20.84,870,840,30,6.99,23.01,4.62,461.56,0.2006,True,9.2,13.9,LOW,27.38,2003
2003-04-21,9,dte_roll,892.01,21.95,916.92,21.21,865,840,25,5.79,19.21,3.88,388.19,0.2021,True,10.4,15.5,LOW,27.38,2003
2003-04-22,9,dte_roll,911.37,20.7,916.3,21.59,890,860,30,7.24,22.76,1.66,165.73,0.0728,True,7.2,11.0,LOW,27.38,2003
2003-04-23,9,dte_roll,919.02,20.8,930.08,20.63,895,870,25,6.06,18.94,2.49,248.96,0.1315,True,8.0,11.3,LOW,27.38,2003
2003-04-24,11,dte_roll,911.43,20.33,926.55,21.13,890,860,30,7.1,22.9,3.54,354.07,0.1546,True,5.6,9.6,LOW,27.38,2003
2003-04-25,10,profit_target,898.81,20.8,926.55,21.13,875,850,25,5.98,19.02,4.12,412.33,0.2167,True,8.0,11.3,LOW,27.38,2003
2003-04-28,9,dte_roll,914.84,20.84,929.62,21.0,890,865,25,5.93,19.07,2.8,280.05,0.1468,True,8.8,11.5,LOW,27.38,2003
2003-04-29,9,dte_roll,917.84,20.76,920.27,21.24,895,865,30,7.05,22.95,1.37,137.32,0.0598,True,8.0,11.2,LOW,27.38,2003
