vix_bucket,n_days,gate_pass,gate_pass_pct,actual_bps_open,actual_pct
"[15, 16)",287,35,12.2,24,8.4
"[16, 17)",306,25,8.2,19,6.2
"[17, 18)",272,30,11.0,24,8.8
"[18, 19)",197,7,3.6,4,2.0
"[19, 20)",173,6,3.5,3,1.7
"[20, 21)",148,13,8.8,10,6.8
"[21, 22)",132,19,14.4,12,9.1
