year,a_double,b_ivr,c_ivp,d_open,total,bc_share
2000,58,0,0,0,58,0.0
2001,21,0,0,0,21,0.0
2002,24,0,0,0,24,0.0
2003,152,0,0,0,152,0.0
2004,54,0,3,1,58,5.2
2006,0,0,4,0,4,100.0
2007,0,0,41,0,41,100.0
2008,31,0,2,1,34,5.9
2009,25,0,0,0,25,0.0
2010,116,0,1,3,120,0.8
2011,70,0,7,11,88,8.0
2012,110,0,2,15,127,1.6
2013,3,0,25,2,30,83.3
2014,0,0,17,0,17,100.0
2015,0,0,37,5,42,88.1
2016,0,0,15,9,24,62.5
2018,0,0,5,0,5,100.0
2019,4,0,27,20,51,52.9
2020,14,0,12,2,28,42.9
2021,166,0,5,10,181,2.8
2022,20,0,15,6,41,36.6
2023,79,0,0,0,79,0.0
2024,0,0,65,3,68,95.6
2025,62,0,49,33,144,34.0
2026,14,0,25,14,53,47.2
