entry,exit_days,exit_reason,entry_spx,entry_vix,exit_spx,exit_vix,short_strike,long_strike,width,credit_per_share,max_loss_per_share,pnl_per_share,pnl_usd,roe_on_max_loss,win,design
2003-07-17,11,profit_target,981.73,20.22,996.52,18.36,955,930,25,5.86,19.14,3.59,358.94,0.1875,True,IVP63
2003-08-26,9,dte_roll,996.73,19.49,1027.97,18.71,970,945,25,5.73,19.27,4.32,432.02,0.2241,True,IVP63
2003-09-03,9,dte_roll,1026.27,19.44,1018.63,18.68,1000,975,25,5.93,19.07,-0.03,-3.09,-0.0016,False,IVP63
2003-09-11,11,dte_roll,1016.42,19.25,1022.82,19.65,990,965,25,5.8,19.2,1.95,195.46,0.1018,True,IVP63
2003-09-15,9,dte_roll,1014.81,19.28,1009.38,21.22,990,965,25,6.03,18.97,-0.47,-47.32,-0.0249,False,IVP63
2003-10-08,9,dte_roll,1033.78,19.18,1039.32,17.62,1010,980,30,7.09,22.91,2.62,262.38,0.1145,True,IVP63
2004-01-12,9,dte_roll,1127.23,16.82,1147.62,14.34,1105,1075,30,6.99,23.01,5.0,500.18,0.2173,True,IVP63
2004-06-28,9,dte_roll,1133.35,16.07,1118.33,15.81,1110,1085,25,5.77,19.23,-1.7,-170.21,-0.0885,False,IVP63
2004-10-12,9,dte_roll,1121.84,15.05,1106.49,14.54,1100,1075,25,5.56,19.44,-1.86,-186.09,-0.0957,False,IVP63
2007-10-30,9,dte_roll,1531.02,21.07,1474.77,26.16,1490,1445,45,10.64,34.36,-10.34,-1034.44,-0.3011,False,IVP63
2010-11-17,9,dte_roll,1178.59,21.76,1189.4,22.22,1145,1110,35,8.21,26.79,2.69,269.13,0.1004,True,IVP63
2010-11-29,9,dte_roll,1187.76,21.53,1228.28,17.74,1155,1120,35,8.3,26.7,7.04,703.6,0.2635,True,IVP63
2010-12-01,9,dte_roll,1206.07,21.36,1240.4,17.61,1175,1135,40,9.43,30.57,7.55,754.95,0.247,True,IVP63
2011-01-20,11,dte_roll,1280.26,17.99,1286.12,19.53,1250,1220,30,7.0,23.0,1.65,165.28,0.0719,True,IVP63
2011-07-21,11,dte_roll,1343.8,17.56,1286.94,23.66,1315,1280,35,8.18,26.82,-11.23,-1122.84,-0.4186,False,IVP63
2011-07-22,10,dte_roll,1345.02,17.52,1286.94,23.66,1315,1280,35,7.97,27.03,-11.38,-1137.96,-0.421,False,IVP63
2012-04-09,9,dte_roll,1382.2,18.81,1385.14,18.64,1350,1315,35,8.41,26.59,1.8,179.86,0.0676,True,IVP63
2012-04-17,9,dte_roll,1390.78,18.46,1399.98,16.24,1360,1320,40,9.33,30.67,4.2,419.92,0.1369,True,IVP63
2012-08-01,9,dte_roll,1375.32,18.96,1405.87,14.74,1345,1305,40,9.56,30.44,7.67,766.72,0.2519,True,IVP63
2012-08-30,11,profit_target,1399.48,17.83,1429.08,16.28,1370,1335,35,8.49,26.51,6.1,609.63,0.2299,True,IVP63
2012-08-31,10,profit_target,1406.58,17.47,1429.08,16.28,1375,1340,35,8.03,26.97,4.99,498.7,0.1849,True,IVP63
2012-10-01,9,dte_roll,1444.49,16.32,1432.56,16.29,1415,1380,35,8.0,27.0,-0.9,-90.03,-0.0333,False,IVP63
2012-12-12,9,dte_roll,1428.48,15.95,1430.15,17.84,1400,1370,30,7.1,22.9,0.51,50.66,0.0221,True,IVP63
2015-02-11,9,dte_roll,2068.53,16.96,2110.3,14.3,2025,1975,50,11.68,38.32,8.82,881.68,0.2301,True,IVP63
2018-05-29,9,dte_roll,2689.86,17.02,2770.37,12.13,2635,2570,65,15.51,49.49,14.48,1447.57,0.2925,True,IVP63
2019-06-18,9,dte_roll,2917.75,15.15,2924.92,15.82,2865,2800,65,15.2,49.8,2.76,275.6,0.0553,True,IVP63
2019-06-24,9,dte_roll,2945.35,15.26,2995.82,12.57,2890,2825,65,15.02,49.98,11.38,1137.55,0.2276,True,IVP63
2019-06-28,10,dte_roll,2941.76,15.08,2975.95,13.96,2885,2825,60,13.82,46.18,7.97,796.88,0.1726,True,IVP63
2025-09-22,9,dte_roll,6693.75,16.1,6711.2,16.29,6560,6405,155,35.92,119.08,7.83,783.39,0.0658,True,IVP63
2025-09-24,9,dte_roll,6637.97,16.18,6715.79,16.65,6505,6350,155,35.95,119.05,15.51,1550.83,0.1303,True,IVP63
2003-12-31,9,dte_roll,1111.92,18.31,1121.86,16.75,1085,1060,25,5.92,19.08,2.73,273.43,0.1433,True,IVP126
2004-01-02,10,profit_target,1108.48,18.22,1127.23,16.82,1085,1055,30,7.22,22.78,4.47,446.8,0.1962,True,IVP126
2004-01-13,9,dte_roll,1121.22,18.04,1143.94,14.71,1095,1065,30,6.78,23.22,5.25,524.64,0.226,True,IVP126
2004-02-05,12,profit_target,1128.59,17.71,1156.99,15.4,1105,1075,30,7.12,22.88,5.88,588.3,0.2571,True,IVP126
2004-06-01,9,dte_roll,1121.2,16.3,1136.47,15.04,1100,1070,30,6.92,23.08,3.99,399.48,0.1731,True,IVP126
