entry,exit_days,exit_reason,entry_spx,entry_vix,exit_spx,exit_vix,short_strike,long_strike,width,credit_per_share,max_loss_per_share,pnl_per_share,pnl_usd,roe_on_max_loss,win,design
2004-10-13,9,dte_roll,1113.65,15.42,1095.74,15.28,1090,1070,20,4.6,15.4,-2.05,-205.0,-0.1331,False,IVP126
2004-10-28,11,profit_target,1127.44,15.39,1164.89,13.8,1105,1080,25,5.62,19.38,5.11,510.84,0.2636,True,IVP126
2007-10-31,9,dte_roll,1549.38,18.53,1453.7,28.5,1515,1475,40,9.68,30.32,-16.6,-1660.18,-0.5476,False,IVP126
2010-04-28,9,dte_roll,1191.36,21.08,1110.88,40.95,1160,1125,35,8.37,26.63,-13.35,-1335.02,-0.5013,False,IVP126
2010-05-03,9,dte_roll,1202.26,20.19,1171.67,25.52,1170,1135,35,7.94,27.06,-5.77,-577.37,-0.2134,False,IVP126
2011-01-28,10,profit_target,1276.34,20.04,1319.05,16.28,1245,1210,35,8.47,26.53,7.42,741.89,0.2796,True,IVP126
2011-01-31,9,dte_roll,1286.12,19.53,1320.88,15.87,1255,1220,35,8.35,26.65,6.83,683.39,0.2564,True,IVP126
2011-02-25,10,dte_roll,1319.88,19.22,1310.13,20.66,1290,1250,40,9.42,30.58,-0.86,-86.15,-0.0282,False,IVP126
2011-03-03,11,dte_roll,1330.97,18.6,1296.39,21.13,1300,1265,35,8.23,26.77,-5.96,-595.68,-0.2225,False,IVP126
2011-03-04,10,dte_roll,1321.15,19.06,1296.39,21.13,1290,1255,35,8.35,26.65,-3.84,-383.6,-0.1439,False,IVP126
2011-03-07,9,dte_roll,1310.13,20.66,1256.88,29.4,1275,1240,35,8.35,26.65,-9.26,-926.3,-0.3475,False,IVP126
2011-03-08,9,dte_roll,1321.82,19.82,1273.72,26.37,1290,1250,40,9.39,30.61,-9.79,-978.59,-0.3197,False,IVP126
2011-03-09,9,dte_roll,1320.02,20.22,1279.21,24.44,1285,1250,35,8.24,26.76,-6.95,-694.82,-0.2597,False,IVP126
2012-07-30,9,dte_roll,1385.3,18.03,1402.22,15.32,1355,1320,35,8.38,26.62,4.99,499.17,0.1875,True,IVP126
2012-08-30,11,profit_target,1399.48,17.83,1429.08,16.28,1370,1335,35,8.49,26.51,6.1,609.63,0.2299,True,IVP126
2012-08-31,10,profit_target,1406.58,17.47,1429.08,16.28,1375,1340,35,8.03,26.97,4.99,498.7,0.1849,True,IVP126
2012-09-04,9,dte_roll,1404.94,17.98,1459.99,14.05,1375,1335,40,9.32,30.68,8.75,875.31,0.2853,True,IVP126
2012-09-05,9,dte_roll,1403.44,17.74,1465.77,14.51,1370,1335,35,7.86,27.14,7.49,748.96,0.276,True,IVP126
2012-12-17,9,dte_roll,1430.36,16.34,1419.83,19.48,1400,1370,30,7.01,22.99,-1.7,-170.47,-0.0742,False,IVP126
2013-02-28,11,profit_target,1514.68,15.51,1556.22,11.56,1485,1450,35,7.91,27.09,7.44,743.69,0.2745,True,IVP126
2016-03-08,9,dte_roll,1979.26,18.67,2040.59,14.44,1935,1880,55,13.05,41.95,11.6,1160.39,0.2766,True,IVP126
2019-01-24,11,profit_target,2642.33,18.89,2724.87,15.73,2580,2510,70,16.54,53.46,14.51,1451.02,0.2714,True,IVP126
2019-01-28,9,dte_roll,2643.85,18.87,2731.61,15.38,2580,2510,70,16.3,53.7,14.36,1436.22,0.2675,True,IVP126
2022-03-24,11,profit_target,4520.16,21.67,4582.64,18.57,4395,4260,135,32.02,102.98,20.04,2004.15,0.1946,True,IVP126
2022-04-07,11,dte_roll,4500.21,21.55,4391.69,22.17,4380,4240,140,33.31,106.69,-15.93,-1592.66,-0.1493,False,IVP126
2023-05-24,9,dte_roll,4115.24,20.03,4282.37,14.6,4010,3895,115,27.01,87.99,25.68,2567.68,0.2918,True,IVP126
2023-08-04,10,dte_roll,4478.03,17.1,4489.72,14.82,4380,4275,105,24.39,80.61,9.74,974.25,0.1209,True,IVP126
2026-04-29,9,dte_roll,7135.95,18.81,7398.93,17.19,6965,6775,190,44.24,145.76,37.39,3739.34,0.2565,True,IVP126
2004-11-02,9,dte_roll,1130.56,16.18,1173.48,13.04,1110,1080,30,7.03,22.97,6.61,661.21,0.2879,True,IVP252_current
2008-04-10,11,profit_target,1360.55,21.98,1388.17,20.5,1325,1280,45,10.83,34.17,6.86,686.34,0.2009,True,IVP252_current
2011-07-19,9,dte_roll,1326.73,19.21,1300.67,23.74,1295,1260,35,8.35,26.65,-4.69,-469.05,-0.176,False,IVP252_current
2011-07-20,9,dte_roll,1325.84,19.09,1292.28,25.25,1295,1260,35,8.43,26.57,-6.34,-633.73,-0.2385,False,IVP252_current
2012-12-20,11,dte_roll,1443.69,17.67,1426.19,18.02,1410,1375,35,8.0,27.0,-1.58,-158.31,-0.0586,False,IVP252_current
2012-12-21,10,dte_roll,1430.15,17.84,1426.19,18.02,1400,1360,40,9.36,30.64,0.82,82.18,0.0268,True,IVP252_current
2012-12-24,9,dte_roll,1426.66,17.84,1462.42,14.68,1395,1360,35,8.3,26.7,6.76,676.06,0.2532,True,IVP252_current
2013-06-10,9,dte_roll,1642.81,15.44,1628.93,16.64,1610,1575,35,7.98,27.02,-1.67,-166.9,-0.0618,False,IVP252_current
2022-08-03,9,dte_roll,4155.17,21.95,4280.15,19.53,4040,3910,130,30.76,99.24,23.22,2322.32,0.234,True,IVP252_current
2022-08-09,9,dte_roll,4122.47,21.77,4283.74,19.56,4010,3885,125,29.91,95.09,24.72,2472.42,0.26,True,IVP252_current
2022-08-25,12,dte_roll,4199.12,21.78,3908.19,26.91,4085,3955,130,30.99,99.01,-57.07,-5706.8,-0.5764,False,IVP252_current
