entry_date,exit_date,pnl,hit_target,strategy_key,regime,trend,ivp252,ivp63,regime_decay,local_spike
2004-01-21,2004-02-11,-356.8115923164694,False,bull_call_diagonal,LOW_VOL,BULLISH,0.0,0.0,False,False
2004-02-25,2004-03-17,-1123.6253748010668,False,bull_call_diagonal,LOW_VOL,BULLISH,1.6,6.5,False,False
2004-04-05,2004-04-26,-3207.6698068491132,False,bull_call_diagonal,LOW_VOL,BULLISH,4.8,19.4,False,False
2004-06-16,2004-07-07,-2600.8942864131764,False,bull_call_diagonal,LOW_VOL,BULLISH,4.4,4.8,False,False
2004-09-02,2004-09-23,1860.3249284424312,False,bull_call_diagonal,LOW_VOL,BULLISH,1.6,4.8,False,False
2004-10-07,2004-10-28,-3159.432851190285,False,bull_call_diagonal,LOW_VOL,BULLISH,12.7,38.7,False,False
2004-11-03,2004-11-24,5216.576608856093,False,bull_call_diagonal,LOW_VOL,BULLISH,6.8,22.6,False,False
2004-12-08,2004-12-29,488.96810188279443,False,bull_call_diagonal,LOW_VOL,BULLISH,4.8,19.4,False,False
2005-01-18,2005-02-08,-2817.6155254965365,False,bull_call_diagonal,LOW_VOL,BULLISH,4.4,17.7,False,False
2005-02-24,2005-03-17,-1706.0351605581523,False,bull_call_diagonal,LOW_VOL,BULLISH,4.0,16.1,False,False
2005-05-20,2005-06-10,-14.765702669492594,False,bull_call_diagonal,LOW_VOL,BULLISH,25.1,29.0,False,False
2005-06-24,2005-07-15,5876.081491914274,False,bull_call_diagonal,LOW_VOL,BULLISH,17.1,25.8,False,False
2005-07-29,2005-08-19,-2510.15461180099,False,bull_call_diagonal,LOW_VOL,BULLISH,13.5,35.5,False,False
2005-09-09,2005-09-30,-3352.909745991704,False,bull_call_diagonal,LOW_VOL,BULLISH,21.5,48.4,False,False
2005-11-03,2005-11-24,4775.028728031704,False,bull_call_diagonal,LOW_VOL,BULLISH,53.8,37.1,True,False
2005-12-09,2005-12-30,3466.8079804607514,False,bull_call_diagonal,LOW_VOL,BULLISH,21.9,19.4,False,False
2006-02-16,2006-03-09,1679.2845885545287,False,bull_call_diagonal,LOW_VOL,BULLISH,20.7,45.2,False,False
