bearish_streak,book_core_shock,date,hv_spell_age,iv_signal,ivp,ivp252,ivp63,ivr,local_spike,overlay_level,overlay_reason,regime,regime_decay,spx,strategy,strategy_key,trend,trend_gap,vix,vix_5d_avg
1,0.0,2023-01-03,0,LOW,32.3,32.3,45.2,31.7,False,0,overlay disabled,HIGH_VOL,False,3824.14,Bear Call Spread (High Vol),bear_call_spread_hv,BEARISH,-1.98,22.9,21.96
2,0.0,2023-01-04,1,LOW,22.7,22.7,25.8,26.1,False,0,overlay disabled,HIGH_VOL,False,3852.97,Bear Call Spread (High Vol),bear_call_spread_hv,BEARISH,-1.29,22.01,22.03
3,0.0,2023-01-05,2,LOW,26.7,26.7,37.1,25.7,False,0,overlay disabled,HIGH_VOL,False,3808.1,Bear Call Spread (High Vol),bear_call_spread_hv,BEARISH,-2.45,22.46,22.1
0,0.0,2023-01-06,0,LOW,13.1,13.1,12.9,18.6,False,0,overlay disabled,NORMAL,False,3895.08,Reduce / Wait,,NEUTRAL,-0.24,21.13,22.03
0,0.0,2023-01-09,0,LOW,21.5,21.5,25.8,23.1,False,0,overlay disabled,NORMAL,False,3892.09,Reduce / Wait,,NEUTRAL,-0.35,21.97,22.09
0,0.0,2023-01-10,0,LOW,10.0,10.0,8.1,15.7,False,0,overlay disabled,NORMAL,False,3919.25,Reduce / Wait,,NEUTRAL,0.29,20.58,21.63
0,0.0,2023-01-11,0,LOW,12.4,12.4,14.5,18.4,False,0,overlay disabled,NORMAL,False,3969.61,Reduce / Wait,,BULLISH,1.55,21.09,21.45
0,0.0,2023-01-12,0,LOW,0.8,0.8,0.0,6.4,False,0,overlay disabled,NORMAL,False,3983.17,Reduce / Wait,,BULLISH,1.83,18.83,20.72
0,0.0,2023-01-13,0,LOW,0.0,0.0,0.0,0.0,False,0,overlay disabled,NORMAL,False,3999.09,Reduce / Wait,,BULLISH,2.17,18.35,20.16
0,0.0,2023-01-17,0,LOW,2.8,2.8,4.8,5.6,False,0,overlay disabled,NORMAL,False,3990.97,Reduce / Wait,,BULLISH,1.84,19.36,19.64
0,0.0,2023-01-18,0,LOW,8.0,8.0,9.7,11.0,False,0,overlay disabled,NORMAL,False,3928.86,Reduce / Wait,,NEUTRAL,0.15,20.34,19.59
0,0.0,2023-01-19,0,LOW,9.2,9.2,14.5,12.0,False,0,overlay disabled,NORMAL,False,3898.85,Reduce / Wait,,NEUTRAL,-0.68,20.52,19.48
0,0.0,2023-01-20,0,LOW,5.6,5.6,8.1,8.3,False,0,overlay disabled,NORMAL,False,3972.61,Reduce / Wait,,BULLISH,1.11,19.85,19.68
0,0.0,2023-01-23,0,LOW,5.2,5.2,6.5,8.1,False,0,overlay disabled,NORMAL,False,4019.81,Reduce / Wait,,BULLISH,2.21,19.81,19.98
0,0.0,2023-01-24,0,LOW,2.0,2.0,4.8,4.7,False,0,overlay disabled,NORMAL,False,4016.95,Reduce / Wait,,BULLISH,2.0,19.2,19.94
0,0.0,2023-01-25,0,LOW,2.0,2.0,4.8,4.0,False,0,overlay disabled,NORMAL,False,4016.22,Reduce / Wait,,BULLISH,1.95,19.08,19.69
0,0.0,2023-01-26,0,LOW,0.8,0.8,1.6,2.1,False,0,overlay disabled,NORMAL,False,4060.43,Reduce / Wait,,BULLISH,3.04,18.73,19.33
0,0.0,2023-01-27,0,LOW,0.4,0.4,1.6,0.9,False,0,overlay disabled,NORMAL,False,4070.56,Reduce / Wait,,BULLISH,3.24,18.51,19.07
0,0.0,2023-01-30,0,LOW,8.4,8.4,17.7,8.8,False,0,overlay disabled,NORMAL,False,4017.77,Reduce / Wait,,BULLISH,1.88,19.94,19.09
0,0.0,2023-01-31,0,LOW,4.4,4.4,12.9,5.8,False,0,overlay disabled,NORMAL,False,4076.6,Reduce / Wait,,BULLISH,3.31,19.4,19.13
0,0.0,2023-02-01,0,LOW,0.0,0.0,0.0,0.0,False,0,overlay disabled,NORMAL,False,4119.21,Reduce / Wait,,BULLISH,4.3,17.87,18.89
0,-0.0,2023-02-02,0,LOW,1.6,1.6,4.8,4.6,False,0,overlay disabled,NORMAL,False,4179.76,Reduce / Wait,,BULLISH,5.72,18.73,18.89
0,0.0,2023-02-03,0,LOW,0.4,0.4,1.6,2.5,False,0,overlay disabled,NORMAL,False,4136.48,Reduce / Wait,,BULLISH,4.53,18.33,18.85
0,0.0,2023-02-06,0,LOW,6.0,6.0,19.4,8.4,False,0,overlay disabled,NORMAL,False,4111.08,Reduce / Wait,,BULLISH,3.83,19.43,18.75
0,0.0,2023-02-07,0,LOW,2.0,2.0,6.5,4.3,False,0,overlay disabled,NORMAL,False,4164.0,Reduce / Wait,,BULLISH,5.09,18.66,18.6
0,0.0,2023-02-08,0,LOW,7.6,7.6,22.6,9.5,False,0,overlay disabled,NORMAL,False,4117.86,Reduce / Wait,,BULLISH,3.88,19.63,18.96
0,0.0,2023-02-09,0,LOW,16.7,16.7,41.9,15.3,False,0,overlay disabled,NORMAL,False,4081.5,Reduce / Wait,,BULLISH,2.9,20.71,19.35
0,0.0,2023-02-10,0,LOW,14.7,14.7,38.7,14.3,False,0,overlay disabled,NORMAL,False,4090.46,Reduce / Wait,,BULLISH,3.06,20.53,19.79
0,0.0,2023-02-13,0,LOW,13.1,13.1,32.3,13.3,False,0,overlay disabled,NORMAL,False,4137.29,Reduce / Wait,,BULLISH,4.21,20.34,19.97
0,0.0,2023-02-14,0,LOW,4.0,4.0,12.9,5.6,False,0,overlay disabled,NORMAL,False,4136.13,Reduce / Wait,,BULLISH,4.15,18.91,20.02
0,0.0,2023-02-15,0,LOW,0.4,0.4,1.6,1.9,False,0,overlay disabled,NORMAL,False,4147.6,Reduce / Wait,,BULLISH,4.4,18.23,19.74
0,0.0,2023-02-16,0,LOW,13.1,13.1,35.5,12.4,False,0,overlay disabled,NORMAL,False,4090.41,Reduce / Wait,,BULLISH,2.91,20.17,19.64
0,0.0,2023-02-17,0,LOW,12.7,12.7,33.9,11.6,False,0,overlay disabled,NORMAL,False,4079.09,Reduce / Wait,,BULLISH,2.55,20.02,19.53
0,0.0,2023-02-21,0,LOW,38.6,38.6,95.2,26.9,True,0,overlay disabled,HIGH_VOL,False,3997.34,Iron Condor (High Vol),iron_condor_hv,NEUTRAL,0.47,22.87,20.04
0,0.0,2023-02-22,1,LOW,32.3,32.3,80.6,23.8,True,0,overlay disabled,HIGH_VOL,False,3991.05,Iron Condor (High Vol),iron_condor_hv,NEUTRAL,0.29,22.29,20.72
0,0.0,2023-02-23,0,LOW,21.5,21.5,59.7,17.6,True,0,overlay disabled,NORMAL,False,4012.32,Reduce / Wait,,NEUTRAL,0.79,21.14,21.3
0,0.0,2023-02-24,0,LOW,26.7,26.7,67.7,20.5,True,0,overlay disabled,NORMAL,False,3970.04,Reduce / Wait,,NEUTRAL,-0.26,21.67,21.6
0,0.0,2023-02-27,0,LOW,20.3,20.3,54.8,16.6,True,0,overlay disabled,NORMAL,False,3982.24,Reduce / Wait,,NEUTRAL,0.06,20.95,21.78
0,0.0,2023-02-28,0,LOW,18.7,18.7,48.4,15.2,False,0,overlay disabled,NORMAL,False,3970.15,Reduce / Wait,,NEUTRAL,-0.23,20.7,21.35
1,0.0,2023-03-01,0,LOW,17.5,17.5,45.2,14.6,False,0,overlay disabled,NORMAL,False,3951.39,Reduce / Wait,,BEARISH,-0.73,20.58,21.01
0,0.0,2023-03-02,0,LOW,8.4,8.4,25.8,9.3,False,0,overlay disabled,NORMAL,False,3981.35,Reduce / Wait,,NEUTRAL,-0.04,19.59,20.7
0,0.0,2023-03-03,0,LOW,1.6,1.6,6.5,3.3,False,0,overlay disabled,NORMAL,False,4045.64,Reduce / Wait,,BULLISH,1.46,18.49,20.06
0,0.0,2023-03-06,0,LOW,2.8,2.8,9.7,4.0,False,0,overlay disabled,NORMAL,False,4048.42,Reduce / Wait,,BULLISH,1.41,18.61,19.59
0,0.0,2023-03-07,0,LOW,9.2,9.2,27.4,9.3,False,0,overlay disabled,NORMAL,False,3986.37,Reduce / Wait,,NEUTRAL,-0.2,19.59,19.37
0,0.0,2023-03-08,0,LOW,6.4,6.4,21.0,7.2,False,0,overlay disabled,NORMAL,False,3992.01,Reduce / Wait,,NEUTRAL,-0.14,19.11,19.08
1,0.0,2023-03-09,0,LOW,39.4,39.4,88.7,28.1,True,0,overlay disabled,HIGH_VOL,False,3918.32,Reduce / Wait,,BEARISH,-2.02,22.61,19.68
2,0.0,2023-03-10,1,NEUTRAL,57.4,57.4,98.4,41.1,False,0,overlay disabled,HIGH_VOL,False,3861.59,Reduce / Wait,,BEARISH,-3.45,24.8,20.94
3,0.0,2023-03-13,4,NEUTRAL,69.7,69.7,100.0,51.2,False,0,overlay disabled,HIGH_VOL,False,3855.76,Reduce / Wait,,BEARISH,-3.63,26.52,22.53
4,0.0,2023-03-14,5,NEUTRAL,48.2,48.2,95.2,34.7,True,0,overlay disabled,HIGH_VOL,False,3919.29,Reduce / Wait,,BEARISH,-2.08,23.73,23.35
