date,day,close,drift,label
2026-01-27,15,6978.6,0.19,oscillation
2026-01-28,16,6978.0,0.18,oscillation
2026-01-29,17,6969.0,0.13,oscillation
2026-01-30,18,6939.0,-0.03,oscillation
2026-02-02,19,6976.4,0.17,oscillation
2026-02-03,20,6917.8,-0.15,oscillation
2026-02-04,21,6882.7,-0.34,oscillation
2026-02-05,22,6798.4,-0.81,melt_down
2026-02-06,23,6932.3,-0.07,oscillation
2026-02-09,24,6964.8,0.11,oscillation
2026-02-10,25,6941.8,-0.02,oscillation
2026-02-11,26,6941.5,-0.02,oscillation
2026-02-12,27,6832.8,-0.62,melt_down
2026-02-13,28,6836.2,-0.6,melt_down
2026-02-17,29,6843.2,-0.56,melt_down
2026-02-18,30,6881.3,-0.35,oscillation
2026-02-19,31,6861.9,-0.46,oscillation
2026-02-20,32,6909.5,-0.19,oscillation
2026-02-23,33,6837.8,-0.59,melt_down
2026-02-24,34,6890.1,-0.3,oscillation
2026-02-25,35,6946.1,0.01,oscillation
2026-02-26,36,6908.9,-0.2,oscillation
2026-02-27,37,6878.9,-0.36,oscillation
2026-03-02,38,6881.6,-0.35,oscillation
2026-03-03,39,6816.6,-0.71,melt_down
2026-03-04,40,6869.5,-0.41,oscillation
2026-03-05,41,6830.7,-0.63,melt_down
2026-03-06,42,6740.0,-0.86,melt_down
2026-03-09,43,6796.0,-0.62,melt_down
2026-03-10,44,6781.5,-0.68,melt_down
2026-03-11,45,6775.8,-0.71,melt_down
2026-03-12,46,6672.6,-0.89,melt_down
