strategy_key,regime,iv_signal,trend,entry_date,exit_date,entry_year,entry_vix,exit_reason,entry_credit,contracts,pnl,hold_days
bull_call_diagonal,HIGH_VOL,NEUTRAL,BULLISH,2000-01-03,2000-01-24,2000,24.209999084472656,trend_flip,108.0820694427303,1.943,-4686.4538447427,21
bull_call_diagonal,HIGH_VOL,NEUTRAL,BEARISH,2000-01-24,2000-01-27,2000,24.06999969482422,trend_flip,104.3696615327089,2.0121,-297.8066914773477,3
bull_call_diagonal,HIGH_VOL,NEUTRAL,BEARISH,2000-01-27,2000-02-01,2000,23.540000915527344,trend_flip,102.04958055549787,2.0578,931.9872163836502,5
bull_call_diagonal,HIGH_VOL,NEUTRAL,BEARISH,2000-02-01,2000-02-11,2000,23.450000762939453,trend_flip,102.1371895333723,2.0561,-1599.8133494976114,10
bull_call_diagonal,HIGH_VOL,NEUTRAL,BEARISH,2000-02-11,2000-02-16,2000,24.420000076293945,trend_flip,104.77963032548666,2.0042,-64.78655828614852,5
bull_call_diagonal,HIGH_VOL,NEUTRAL,BEARISH,2000-02-16,2000-02-22,2000,23.510000228881836,trend_flip,100.8881202142698,2.0815,-2387.911419518278,6
bull_call_diagonal,HIGH_VOL,HIGH,BEARISH,2000-02-22,2000-02-25,2000,25.860000610351562,trend_flip,107.38926130781726,1.9555,-1634.8800616642848,3
bull_call_diagonal,HIGH_VOL,HIGH,BEARISH,2000-02-25,2000-03-01,2000,25.200000762939453,trend_flip,103.4685061626891,2.0296,3571.4492792739447,5
bull_call_diagonal,NORMAL,LOW,BEARISH,2000-03-01,2000-03-06,2000,21.639999389648438,trend_flip,92.95477507133472,2.3667,1179.0042788775236,5
bull_call_diagonal,NORMAL,LOW,BEARISH,2000-03-06,2000-03-13,2000,21.5,trend_flip,93.15602154312347,2.3616,-353.3796405513133,7
bull_call_diagonal,HIGH_VOL,NEUTRAL,BEARISH,2000-03-13,2000-04-14,2000,22.850000381469727,roll_21dte,98.13824530333636,2.1398,1009.7260349584575,32
bull_call_diagonal,HIGH_VOL,HIGH,BEARISH,2000-04-14,2000-05-04,2000,33.4900016784668,trend_flip,134.38961119517109,1.5626,3708.96378725952,20
bull_call_diagonal,HIGH_VOL,HIGH,BEARISH,2000-05-04,2000-05-09,2000,30.770000457763672,trend_flip,129.57231721875831,1.6207,-27.428441535948984,5
bull_call_diagonal,HIGH_VOL,HIGH,BEARISH,2000-05-09,2000-05-12,2000,28.93000030517578,trend_flip,122.7392077661238,1.7109,279.01820649035244,3
bull_call_diagonal,HIGH_VOL,HIGH,BEARISH,2000-05-12,2000-05-19,2000,26.049999237060547,trend_flip,112.91650883863917,1.8598,-1131.79229249672,7
bull_call_diagonal,HIGH_VOL,HIGH,BEARISH,2000-05-19,2000-05-24,2000,25.440000534057617,trend_flip,109.3238230840758,1.9209,-791.525127321973,5
bull_call_diagonal,HIGH_VOL,NEUTRAL,BEARISH,2000-05-24,2000-05-30,2000,24.31999969482422,trend_flip,104.97656785182778,2.0004,1848.5831367565186,6
bull_call_diagonal,HIGH_VOL,NEUTRAL,BEARISH,2000-05-30,2000-07-03,2000,23.6200008392334,roll_21dte,103.58193490330171,2.0274,4677.866873765714,34
bull_call_diagonal,NORMAL,LOW,BULLISH,2000-07-03,2000-07-28,2000,19.829999923706055,trend_flip,91.11738159222858,2.4145,-5085.744671108536,25
bull_call_diagonal,NORMAL,LOW,BEARISH,2000-07-28,2000-08-02,2000,20.84000015258789,trend_flip,92.57441357579057,2.3765,1714.101768016291,5
bull_call_diagonal,NORMAL,LOW,BEARISH,2000-08-02,2000-09-06,2000,20.0,roll_21dte,90.6393606320944,2.4272,6555.404670911904,35
bull_call_diagonal,NORMAL,LOW,BULLISH,2000-09-06,2000-09-15,2000,20.790000915527344,trend_flip,96.96159927963726,2.2689,-3295.439434867952,9
bull_call_diagonal,NORMAL,LOW,BEARISH,2000-09-15,2000-09-20,2000,18.520000457763672,trend_flip,86.29159760429366,2.5495,-1080.2707728698676,5
bull_call_diagonal,NORMAL,LOW,BEARISH,2000-09-20,2000-09-25,2000,19.93000030517578,trend_flip,91.1022711549324,2.4149,-790.3414862434663,5
bull_call_diagonal,NORMAL,LOW,BEARISH,2000-09-25,2000-09-28,2000,21.40999984741211,trend_flip,96.19509198027208,2.287,1553.496895910328,3
bull_call_diagonal,NORMAL,LOW,BEARISH,2000-09-28,2000-10-03,2000,19.469999313354492,trend_flip,89.91415738952861,2.4468,-2404.7055503213105,5
bull_call_diagonal,NORMAL,NEUTRAL,BEARISH,2000-10-03,2000-10-06,2000,21.850000381469727,trend_flip,97.35347115930318,2.2598,-1373.01249780532,3
bull_call_diagonal,HIGH_VOL,NEUTRAL,BEARISH,2000-10-06,2000-10-11,2000,22.709999084472656,trend_flip,99.0461684586756,2.1202,-2693.590453289543,5
bull_call_diagonal,HIGH_VOL,HIGH,BEARISH,2000-10-11,2000-10-16,2000,26.56999969482422,trend_flip,110.14830006290151,1.9065,863.6349280655152,5
