strategy_key,regime,iv_signal,trend,entry_date,exit_date,entry_year,entry_vix,exit_reason,entry_credit,contracts,pnl,hold_days
bull_call_diagonal,HIGH_VOL,NEUTRAL,BULLISH,2000-01-03,2000-01-24,2000,24.209999084472656,trend_flip,117.19538613946611,1.7919,-5161.267516653116,21
bull_call_diagonal,HIGH_VOL,NEUTRAL,BEARISH,2000-01-24,2000-01-27,2000,24.06999969482422,trend_flip,112.62798954143932,1.8645,-304.18687234896476,3
bull_call_diagonal,HIGH_VOL,NEUTRAL,BEARISH,2000-01-27,2000-02-01,2000,23.540000915527344,trend_flip,110.2594541278271,1.9046,694.4395369879211,5
bull_call_diagonal,HIGH_VOL,NEUTRAL,BEARISH,2000-02-01,2000-02-11,2000,23.450000762939453,trend_flip,110.44174653985164,1.9015,-1775.3126650483655,10
bull_call_diagonal,HIGH_VOL,NEUTRAL,BEARISH,2000-02-11,2000-02-16,2000,24.420000076293945,trend_flip,112.28545321845752,1.8702,-108.0318272029294,5
bull_call_diagonal,HIGH_VOL,NEUTRAL,BEARISH,2000-02-16,2000-02-22,2000,23.510000228881836,trend_flip,108.97723163301055,1.927,-2505.6199354288187,6
bull_call_diagonal,HIGH_VOL,HIGH,BEARISH,2000-02-22,2000-02-25,2000,25.860000610351562,trend_flip,115.01028170934399,1.8259,-1583.039373869141,3
bull_call_diagonal,HIGH_VOL,HIGH,BEARISH,2000-02-25,2000-03-01,2000,25.200000762939453,trend_flip,111.16432106106134,1.8891,2721.5966367542205,5
bull_call_diagonal,NORMAL,LOW,BEARISH,2000-03-01,2000-03-06,2000,21.639999389648438,trend_flip,101.17080788992797,2.1745,862.9568314043834,5
bull_call_diagonal,NORMAL,LOW,BEARISH,2000-03-06,2000-03-13,2000,21.5,trend_flip,101.77904368282736,2.1615,-494.89972985172255,7
bull_call_diagonal,HIGH_VOL,NEUTRAL,BEARISH,2000-03-13,2000-04-14,2000,22.850000381469727,roll_21dte,106.13709572626232,1.9786,-104.12628528983998,32
bull_call_diagonal,HIGH_VOL,HIGH,BEARISH,2000-04-14,2000-05-04,2000,33.4900016784668,trend_flip,142.1375884161808,1.4774,2984.8957084327294,20
bull_call_diagonal,HIGH_VOL,HIGH,BEARISH,2000-05-04,2000-05-09,2000,30.770000457763672,trend_flip,137.6788629691946,1.5253,-59.80789334572106,5
bull_call_diagonal,HIGH_VOL,HIGH,BEARISH,2000-05-09,2000-05-12,2000,28.93000030517578,trend_flip,131.6941545391927,1.5946,211.49281055290268,3
bull_call_diagonal,HIGH_VOL,HIGH,BEARISH,2000-05-12,2000-05-19,2000,26.049999237060547,trend_flip,121.4460994421317,1.7292,-1147.9400739256241,7
bull_call_diagonal,HIGH_VOL,HIGH,BEARISH,2000-05-19,2000-05-24,2000,25.440000534057617,trend_flip,118.33978539586786,1.7746,-732.6189200105073,5
bull_call_diagonal,HIGH_VOL,NEUTRAL,BEARISH,2000-05-24,2000-05-30,2000,24.31999969482422,trend_flip,113.20960190217727,1.855,1417.5491756057313,6
bull_call_diagonal,HIGH_VOL,NEUTRAL,BEARISH,2000-05-30,2000-07-03,2000,23.6200008392334,roll_21dte,112.62449379530779,1.8646,3278.333095506375,34
