date,dteL,dteS,real_mid,real_nat,flat,calib,err_flat_%,err_calib_%,err_flat_mid%,err_calib_mid%
2026-06-01,91,46,368.5,371.40000000000003,332.0313471302579,358.298499132537,-10.600068085552527,-3.5275985103562224,-9.896513668858098,-2.7683855814010783
2026-06-02,90,45,374.5,377.70000000000005,331.7615369989003,357.4802588018715,-12.162685464945655,-5.353386602628685,-11.412139653164143,-4.544657195761948
2026-06-03,89,44,366.55,369.8,326.5912601336622,352.2848282389559,-11.684353668560787,-4.736390416723657,-10.90130674296489,-3.8917396701798057
2026-06-04,88,43,368.8,381.6,324.2043730994733,349.72351935630104,-15.040782730745994,-8.35337543073873,-12.092089723570155,-5.172581519441155
2026-06-12,98,42,390.25,392.2,356.52219705832067,378.439260599253,-9.09683909782747,-3.508602600904387,-8.642614462954345,-3.0264546830869987
2026-06-15,95,46,378.75,380.3,341.9908454826814,367.0197658056409,-10.073403764743261,-3.4920415972545693,-9.705387331305248,-3.097091536464458
2026-06-16,94,45,378.20000000000005,379.59999999999997,339.705614415981,364.1256523271827,-10.509585243419117,-4.0764877957895855,-10.178314538344535,-3.721403403706325
2026-06-18,92,43,381.35,382.9,340.0657598426337,363.3113500595632,-11.186795549064055,-5.115865745739557,-10.825813598365364,-4.730208454290496
2026-06-22,88,46,374.2,375.6,336.00054089544983,361.02495154972394,-10.542986982042112,-3.880470833406835,-10.208300134834358,-3.520857415894185
2026-06-30,92,45,362.25,366.09999999999997,335.4987409766404,360.60808133552564,-8.358715930991412,-1.5001143579552956,-7.38475059305993,-0.453255669972219
2026-07-01,91,44,361.8,365.5,332.2197486324926,357.16826910684495,-9.105403930918577,-2.2795433360205397,-8.175857204949533,-1.280190959965466
2026-07-02,90,43,351.1,354.7,322.51636226931123,348.05467223935375,-9.073481175835562,-1.8735065578365462,-8.141167112130098,-0.8673676333370239
