strategy_key,regime,iv_signal,trend,entry_date,exit_date,entry_year,entry_vix,exit_reason,entry_credit,contracts,pnl,hold_days
bull_call_diagonal,HIGH_VOL,NEUTRAL,BULLISH,2000-01-03,2000-01-24,2000,24.209999084472656,trend_flip,111.32479377724269,1.8864,-5308.705376824122,21
bull_call_diagonal,HIGH_VOL,NEUTRAL,BEARISH,2000-01-24,2000-01-27,2000,24.06999969482422,trend_flip,106.28012205312723,1.9759,-308.93853633088503,3
bull_call_diagonal,HIGH_VOL,NEUTRAL,BEARISH,2000-01-27,2000-02-01,2000,23.540000915527344,trend_flip,104.597708139178,2.0077,768.3527039528211,5
bull_call_diagonal,HIGH_VOL,NEUTRAL,BEARISH,2000-02-01,2000-02-11,2000,23.450000762939453,trend_flip,104.40353899701859,2.0114,-1820.3957553398595,10
bull_call_diagonal,HIGH_VOL,NEUTRAL,BEARISH,2000-02-11,2000-02-16,2000,24.420000076293945,trend_flip,106.6346356559119,1.9693,-81.20618573662242,5
bull_call_diagonal,HIGH_VOL,NEUTRAL,BEARISH,2000-02-16,2000-02-22,2000,23.510000228881836,trend_flip,103.34180302349,2.0321,-2638.7928984735145,6
bull_call_diagonal,HIGH_VOL,HIGH,BEARISH,2000-02-22,2000-02-25,2000,25.860000610351562,trend_flip,108.83062930076113,1.9296,-1677.4538211944925,3
bull_call_diagonal,HIGH_VOL,HIGH,BEARISH,2000-02-25,2000-03-01,2000,25.200000762939453,trend_flip,105.7303080185718,1.9862,2967.7060526265827,5
bull_call_diagonal,NORMAL,LOW,BEARISH,2000-03-01,2000-03-06,2000,21.639999389648438,trend_flip,95.92857606776477,2.2934,950.5749958762925,5
bull_call_diagonal,NORMAL,LOW,BEARISH,2000-03-06,2000-03-13,2000,21.5,trend_flip,95.48492649044397,2.304,-515.3095120550126,7
bull_call_diagonal,HIGH_VOL,NEUTRAL,BEARISH,2000-03-13,2000-04-14,2000,22.850000381469727,roll_21dte,101.21128490136181,2.0749,57.44416613132929,32
bull_call_diagonal,HIGH_VOL,HIGH,BEARISH,2000-04-14,2000-05-04,2000,33.4900016784668,trend_flip,137.23549854395515,1.5302,3211.8856954105413,20
bull_call_diagonal,HIGH_VOL,HIGH,BEARISH,2000-05-04,2000-05-09,2000,30.770000457763672,trend_flip,132.23111295155786,1.5881,-40.43137968139132,5
bull_call_diagonal,HIGH_VOL,HIGH,BEARISH,2000-05-09,2000-05-12,2000,28.93000030517578,trend_flip,125.96631281998941,1.6671,246.91207621812836,3
bull_call_diagonal,HIGH_VOL,HIGH,BEARISH,2000-05-12,2000-05-19,2000,26.049999237060547,trend_flip,116.35792299230644,1.8048,-1189.779372614889,7
bull_call_diagonal,HIGH_VOL,HIGH,BEARISH,2000-05-19,2000-05-24,2000,25.440000534057617,trend_flip,111.66437263625443,1.8806,-769.3495437172578,5
bull_call_diagonal,HIGH_VOL,NEUTRAL,BEARISH,2000-05-24,2000-05-30,2000,24.31999969482422,trend_flip,107.5481322383497,1.9526,1541.6765015952328,6
bull_call_diagonal,HIGH_VOL,NEUTRAL,BEARISH,2000-05-30,2000-07-03,2000,23.6200008392334,roll_21dte,106.2187531547865,1.9771,3745.851218541456,34
bull_call_diagonal,NORMAL,LOW,BULLISH,2000-07-03,2000-07-28,2000,19.829999923706055,trend_flip,94.46523536117235,2.3289,-6136.206129234176,25
bull_call_diagonal,NORMAL,LOW,BEARISH,2000-07-28,2000-08-02,2000,20.84000015258789,trend_flip,95.34160193052026,2.3075,1391.5549687107282,5
bull_call_diagonal,NORMAL,LOW,BEARISH,2000-08-02,2000-09-06,2000,20.0,roll_21dte,92.87881134187575,2.3687,4839.834068829892,35
bull_call_diagonal,NORMAL,LOW,BULLISH,2000-09-06,2000-09-15,2000,20.790000915527344,trend_flip,99.85029462078165,2.2033,-3513.2640834782833,9
bull_call_diagonal,NORMAL,LOW,BEARISH,2000-09-15,2000-09-20,2000,18.520000457763672,trend_flip,88.60204325503616,2.483,-1246.9907905524244,5
