id,entry_date,expiry_dte,strike,entry_spx,entry_vix,entry_premium,contracts,bp_per,bp_used,stop_premium,profit_premium,prev_val,ivp252_entry,vix5_avg_prior,n_active_at_entry,exit_date,exit_spx,exit_premium,exit_reason,pnl,ivp_bucket,vix_bucket,vix_trend_bucket,slots_bucket,hold_days,pnl_pct_premium,pnl_pct_nlv,dollar_per_bp_day,is_stop,is_win
1,2000-01-03,21,1349,1455.219970703125,24.209999084472656,18.142428755580113,1.0,15304.242875558011,15304.242875558011,272.1364313337017,1.8142428755580113,11.760379006765277,51.79282868525896,23.705999755859374,0,2000-02-11,1387.1199951171875,20.60673770371551,ladder_exit,-246.43089481353968,3_43-55,3_20-25,2_flat,0,39,-0.13583125949316147,-0.0004928617896270794,-0.00041287510555300665,0,0
2,2000-01-10,21,1363,1457.5999755859375,21.709999084472656,16.35728313929559,1.0,15265.728313929561,15265.728313929561,245.35924708943384,1.635728313929559,24.157494007605067,16.334661354581673,25.015999603271485,1,2000-02-18,1346.0899658203125,46.65079841987517,ladder_exit,-3029.3515280579586,1_<30,3_20-25,1_falling,1,39,-1.85198941796175,-0.006058703056115917,-0.005088239395413409,0,0
3,2000-01-18,21,1361,1455.1400146484375,21.5,16.020469533123674,1.0,15212.046953312367,15212.046953312367,240.3070429968551,1.6020469533123674,52.067082541722016,14.741035856573706,21.683999633789064,2,2000-02-28,1348.050048828125,42.47420142792532,ladder_exit,-2645.373189480165,1_<30,3_20-25,2_flat,2,41,-1.6512457291034026,-0.00529074637896033,-0.004241460567563197,0,0
4,2000-02-08,21,1350,1441.719970703125,21.25,15.777447279473336,1.0,15077.744727947334,15077.744727947334,236.66170919210003,1.5777447279473336,4.3045048126012375,12.749003984063744,22.582000732421875,3,2000-03-20,1456.6300048828125,5.164955604669615,ladder_exit,1061.249167480372,1_<30,3_20-25,1_falling,3,41,0.6726368015572907,0.002122498334960744,0.001716710721871365,0,1
5,2000-03-16,21,1368,1458.469970703125,20.770000457763672,15.617408592823153,1.0,15241.740859282318,15241.740859282318,234.2611288923473,1.5617408592823154,7.480545192752743,9.163346613545817,22.60999984741211,1,2000-04-26,1460.989990234375,11.173326883886773,ladder_exit,444.40817089363804,1_<30,3_20-25,1_falling,1,41,0.2845594826134356,0.0008888163417872761,0.0007111539147925795,0,1
6,2000-03-23,21,1426,1527.3499755859375,22.260000228881836,17.67464335172332,1.0,16027.464335172332,16027.464335172332,265.1196502758498,1.767464335172332,36.2994013925761,32.669322709163346,21.858000183105467,1,2000-05-03,1415.0999755859375,54.459541076604864,ladder_exit,-3678.489772488155,2_30-43,3_20-25,2_flat,1,41,-2.0812243275785782,-0.007356979544976309,-0.005597845103091215,0,0
7,2000-03-30,21,1375,1487.9200439453125,25.469999313354492,19.872776282673044,1.0,15737.277628267304,15737.277628267304,298.09164424009566,1.9872776282673046,29.150837360415323,82.86852589641434,23.812000274658203,2,2000-05-10,1383.050048828125,41.02865732523071,ladder_exit,-2115.5881042557667,5_>70,4_25-30,3_rising,2,41,-1.0645659540284442,-0.004231176208511533,-0.0032788205863009835,0,0
8,2000-04-06,21,1380,1501.3399658203125,27.149999618530273,21.450385584919275,1.0,15945.038558491928,15945.038558491928,321.7557837737891,2.1450385584919274,10.331761961173697,94.02390438247012,25.828000259399413,3,2000-05-17,1447.800048828125,12.872105852759432,ladder_exit,857.8279732159842,5_>70,4_25-30,3_rising,3,41,0.3999126122092096,0.0017156559464319686,0.0013121720224332674,0,1
9,2000-04-25,21,1366,1477.43994140625,25.239999771118164,19.470742927668823,1.0,15607.074292766882,15607.074292766882,292.06114391503235,1.9470742927668825,4.13316072863924,75.2988047808765,27.06200065612793,4,2000-06-05,1467.6300048828125,5.730626874409239,ladder_exit,1374.0116053259585,5_>70,4_25-30,1_falling,4,41,0.7056801121714902,0.002748023210651917,0.002147262039638865,0,1
10,2000-06-02,21,1382,1477.260009765625,21.479999542236328,16.297529296966957,1.0,15449.752929696697,15449.752929696697,244.46293945450435,1.6297529296966957,3.315086815262106,16.733067729083665,23.736000061035156,1,2000-07-13,1495.8399658203125,2.8221965068693606,ladder_exit,1347.5332790097596,1_<30,3_20-25,1_falling,1,41,0.8268328618746779,0.002695066558019519,0.002127326274488629,0,1
11,2000-06-13,21,1374,1469.43994140625,21.670000076293945,16.401397664611864,1.0,15380.139766461187,15380.139766461187,246.02096496917795,1.6401397664611865,2.9168063784276654,20.717131474103585,22.551999664306642,1,2000-07-24,1464.2900390625,4.83476185102711,ladder_exit,1156.6635813584753,1_<30,3_20-25,1_falling,1,41,0.7052225700582375,0.0023133271627169506,0.0018342685626252257,0,1
12,2000-06-20,21,1384,1475.949951171875,20.8799991607666,15.916172111327455,1.0,15431.617211132745,15431.617211132745,238.74258166991183,1.5916172111327456,17.5850588482798,11.155378486055776,20.99199981689453,2,2000-07-31,1430.8299560546875,13.760486157203559,ladder_exit,215.56859541238964,1_<30,3_20-25,2_flat,2,41,0.1354399750797936,0.00043113719082477927,0.0003407141680537084,0,1
13,2000-06-28,21,1367,1454.8199462890625,20.290000915527344,15.259922978277018,1.0,15195.992297827703,15195.992297827703,228.89884467415527,1.5259922978277018,2.478889501429208,6.772908366533864,21.84000015258789,3,2000-08-08,1482.800048828125,1.9296085562933598,ladder_exit,1333.0314421983658,1_<30,3_20-25,1_falling,3,41,0.873550570403257,0.0026660628843967315,0.0021395747883793006,0,1
14,2000-07-13,21,1407,1495.8399658203125,20.030000686645508,15.536137371727989,1.0,15623.6137371728,15623.6137371728,233.04206057591983,1.553613737172799,3.2522940312032915,4.780876494023905,20.126000213623048,3,2000-08-22,1498.1300048828125,3.1959280338886344,ladder_exit,1234.0209337839356,1_<30,3_20-25,2_flat,3,40,0.7942906941783066,0.002468041867567871,0.0019746086829576857,0,1
15,2000-07-25,25,1390,1474.469970703125,19.389999389648438,14.841148241333315,1.0,15384.114824133332,15384.114824133332,222.61722361999972,1.4841148241333315,1.7699408338742302,2.788844621513944,19.440000152587892,3,2000-08-28,1514.0899658203125,1.2902172291419944,profit_target,1355.093101219132,1_<30,2_15-20,2_flat,3,34,0.9130648647825862,0.002710186202438264,0.0025907034563405116,0,1
16,2000-08-07,21,1396,1479.3199462890625,19.030000686645508,14.549645631848875,1.0,15414.964563184887,15414.964563184887,218.24468447773313,1.4549645631848875,4.647345279814942,1.1952191235059761,19.979999923706053,3,2000-09-15,1465.81005859375,6.568451428545444,ladder_exit,798.1194203303431,1_<30,2_15-20,1_falling,3,39,0.5485490440971814,0.0015962388406606863,0.0013275801210834999,0,1
17,2000-08-14,21,1412,1491.56005859375,17.8799991607666,13.538295125456273,1.0,15771.224532076878,15771.224532076878,203.0744268818441,1.3538295125456274,16.825454063753625,0.0,18.948000335693358,3,2000-09-22,1448.719970703125,17.12854179176452,ladder_exit,-359.02466663082464,1_<30,2_15-20,1_falling,3,39,-0.26519193392064916,-0.0007180493332616493,-0.000583706145589278,0,0
18,2000-08-22,21,1421,1498.1300048828125,17.469999313354492,13.45293508118641,1.0,16104.243093079578,16104.243093079578,201.79402621779616,1.3452935081186412,25.046591867359552,0.796812749003984,17.57599983215332,3,2000-10-02,1436.22998046875,25.542968761400175,ladder_exit,-1209.0033680213764,1_<30,2_15-20,2_flat,3,41,-0.8986911486045429,-0.0024180067360427527,-0.0018310632082785283,0,0
19,2000-08-29,21,1435,1509.8399658203125,16.889999389648438,13.113087583147205,1.0,16474.91166358816,16474.91166358816,196.69631374720808,1.3113087583147207,49.04179553913639,0.796812749003984,16.99200019836426,3,2000-10-09,1402.030029296875,54.49365786690146,ladder_exit,-4138.057028375425,1_<30,2_15-20,2_flat,3,41,-3.1556694806901238,-0.00827611405675085,-0.006126176714339782,0,0
20,2001-01-23,21,1273,1360.4000244140625,21.56999969482422,15.232868985006576,1.0,14253.286898500659,14253.286898500659,228.49303477509864,1.5232868985006576,59.58386308936895,32.669322709163346,24.01400032043457,0,2001-03-05,1241.4100341796875,54.04506253282898,ladder_exit,-3881.2193547822403,2_30-43,3_20-25,1_falling,0,41,-2.5479240703786337,-0.007762438709564481,-0.006641547832168018,0,0
21,2001-01-30,21,1281,1373.72998046875,22.56999969482422,16.065633904605818,1.0,14416.563390460582,14416.563390460582,240.98450856908727,1.6065633904605818,62.8997733912862,41.43426294820717,22.28400001525879,1,2001-03-12,1180.1600341796875,106.94760134328476,ladder_exit,-9088.196743867895,2_30-43,3_20-25,2_flat,1,41,-5.656917615471383,-0.01817639348773579,-0.015375601605786608,0,0
22,2001-02-06,21,1263,1352.260009765625,21.979999542236328,15.287545768311361,1.0,14158.754576831137,14158.754576831137,229.3131865246704,1.5287545768311361,116.18836372346527,36.254980079681275,22.078000259399413,2,2001-03-19,1170.81005859375,99.17969169064133,ladder_exit,-8389.214592232998,2_30-43,3_20-25,2_flat,2,41,-5.487613721243929,-0.016778429184465996,-0.014451482222121979,0,0
24,2001-04-25,33,1128,1228.75,27.399999618530273,17.598462131501492,1.0,13039.846213150151,13039.846213150151,263.9769319725224,1.7598462131501493,1.7806747571508836,76.49402390438247,26.063999557495116,1,2001-05-17,1288.489990234375,1.3732017503492315,profit_target,1622.5260381152261,5_>70,4_25-30,3_rising,1,22,0.9219703551317032,0.003245052076230452,0.005655832311604799,0,1
23,2001-04-18,27,1149,1238.1600341796875,24.1299991607666,15.592734469987988,1.0,13049.273446998799,13049.273446998799,233.89101704981982,1.559273446998799,1.7039470056730934,49.40239043824701,27.19200019836426,0,2001-05-18,1291.9599609375,1.3422953774167041,profit_target,1425.0439092571285,3_43-55,3_20-25,1_falling,0,30,0.9139153315282654,0.002850087818514257,0.003640161564154297,0,1
25,2001-05-02,21,1175,1267.4300537109375,24.229999542236328,15.85131515744493,1.0,13335.131515744493,13335.131515744493,237.76972736167394,1.585131515744493,4.758594392475231,50.99601593625498,25.411999893188476,2,2001-06-12,1255.8499755859375,4.264517292071474,ladder_exit,1158.6797865373455,3_43-55,3_20-25,1_falling,2,41,0.7309676042830714,0.002317359573074691,0.0021192503849778548,0,1
26,2001-05-09,21,1164,1255.5400390625,24.350000381469727,15.893780238721263,1.0,13229.378023872127,13229.378023872127,238.40670358081894,1.5893780238721265,13.5629803279175,54.18326693227091,24.644000244140624,3,2001-06-19,1212.5799560546875,11.068873248599175,ladder_exit,482.4906990122088,3_43-55,3_20-25,2_flat,3,41,0.30357202110844567,0.0009649813980244175,0.0008895403705549004,0,1
27,2001-05-17,21,1205,1288.489990234375,21.469999313354492,14.108736952811682,1.0,13460.873695281169,13460.873695281169,211.63105429217524,1.4108736952811682,22.665837871096414,29.482071713147413,23.479999923706053,3,2001-06-27,1211.0699462890625,24.006698714762933,ladder_exit,-989.7961761951251,1_<30,3_20-25,1_falling,3,41,-0.7015483948035987,-0.0019795923523902503,-0.0017934474906754073,0,0
