ivp_bucket,vix_bucket,entry_count,win_rate,avg_pnl_pct,median_pnl_pct,worst_pnl_pct,worst_pnl_pct_nlv,stop_hit_rate,dollar_per_bp_day,avg_hold_days,total_pnl
1_<30,1_<15,221,0.755656108597285,0.1744753412442079,0.8150032040433983,-14.186137494378375,-0.05603206339960553,0.0,0.00041318629836535153,36.90950226244344,61444.52441311159
1_<30,2_15-20,133,0.7142857142857143,-0.06806226568408906,0.8043458939388898,-17.012243174540288,-0.04387693059697218,0.015037593984962405,0.0001800134404686518,36.68421052631579,49850.458997060065
1_<30,3_20-25,47,0.8085106382978723,0.3641617533419485,0.8426435801740303,-4.562371892799552,-0.01175729471200476,0.0,0.0012236352961750476,37.95744680851064,45605.85023411614
1_<30,4_25-30,11,1.0,0.8091207901788947,0.922378570953706,0.13927819767452126,0.0003900909778987739,0.0,0.004167491162579203,31.181818181818183,11860.999982787058
2_30-43,1_<15,30,0.7333333333333333,-0.2376545679856255,0.8280104733034143,-9.596761594629887,-0.033052495136404916,0.0,0.0001582360601695986,35.2,-9262.550820058292
2_30-43,2_15-20,19,0.7368421052631579,-0.14862262993222886,0.9127871585703797,-7.911979856894064,-0.06873323882002894,0.0,2.0720122007425384e-05,32.89473684210526,-16433.56934649527
2_30-43,3_20-25,19,0.7894736842105263,-0.16702239376569986,0.9022838037749209,-5.656917615471383,-0.01817639348773579,0.0,-2.3953641376280586e-05,36.0,4326.667088348636
2_30-43,4_25-30,3,1.0,0.9066106551265869,0.9181400769220539,0.8498054361422137,0.002333194001025548,0.0,0.004615304782996302,29.666666666666668,3563.5010491763196
2_30-43,5_>30,4,1.0,0.8364816021609687,0.9172763261544398,0.588282180810839,0.0018580763077811297,0.0,0.004539606625000903,32.25,5391.293531193612
3_43-55,1_<15,38,0.7894736842105263,-0.15286695466289085,0.7496905805649908,-21.23003447297533,-0.10593410334355823,0.02631578947368421,-0.0010958156838885593,36.36842105263158,-30689.436777811876
3_43-55,2_15-20,16,0.75,-0.10626042111504842,0.8887487135453238,-6.0072772754330535,-0.03541411438464097,0.0,-0.00011894239522920315,35.625,9301.603116576996
3_43-55,3_20-25,24,0.75,-0.015032357648714745,0.4159547408873859,-3.090337831269771,-0.03154296656426009,0.0,0.00020613247105910281,37.0,-16162.294753495735
3_43-55,4_25-30,4,0.75,0.45717790103058253,0.7843720205195739,-0.6897098318239622,-0.0017229869228893506,0.0,0.00159720688441411,39.25,9011.960292133703
3_43-55,5_>30,2,1.0,0.9098397543930521,0.9098397543930521,0.9038224860992133,0.002980969924780612,0.0,0.00585350770122882,29.0,3078.560762606853
4_55-70,1_<15,28,0.8571428571428571,0.4766121178646907,0.893606063691491,-2.631868982517424,-0.01064612178940308,0.0,0.0009128029248291345,35.642857142857146,16592.41967249319
4_55-70,2_15-20,28,0.6785714285714286,-1.1933170957757615,0.9054352518469349,-18.827501995084223,-0.09766242840578218,0.03571428571428571,-0.0014823811416399258,29.714285714285715,-113069.5352340365
4_55-70,3_20-25,8,0.625,-0.5411681189592448,0.9014873433488468,-5.687492327421855,-0.016573862355093047,0.0,3.714071512985471e-05,29.625,-8111.953488744683
4_55-70,4_25-30,8,1.0,0.8673434261340303,0.9129609531836615,0.7038233883445468,0.0019192543517541879,0.0,0.00417033646381973,31.625,26262.17261308628
4_55-70,5_>30,4,1.0,0.9260758790868918,0.9321771799977595,0.9020303029877396,0.0027150598979380634,0.0,0.007396098756656785,26.25,10431.511496563715
5_>70,1_<15,11,0.45454545454545453,-0.641489914583454,-0.6211055983782565,-2.8411269458467943,-0.008953557869323846,0.0,-0.00044542936700104425,35.09090909090909,-9905.244683641713
5_>70,2_15-20,26,0.8076923076923077,0.19246984452603222,0.9031077985177811,-3.574496008405507,-0.012486147667903718,0.0,0.00156364242789384,31.115384615384617,34396.945235507235
5_>70,3_20-25,10,0.7,-0.056543436655005795,0.9014647160455638,-4.43346721464283,-0.043371096095139,0.0,0.00245469241046822,27.0,3254.9234460184716
5_>70,4_25-30,17,0.8235294117647058,0.1599238214182894,0.8725918477212032,-4.003686425462756,-0.01203433582337899,0.0,0.0015932144133440625,32.588235294117645,28030.374438868555
5_>70,5_>30,14,0.8571428571428571,0.601034526730598,0.9046578004288129,-1.4341024902708295,-0.006027578646405482,0.0,0.0035025461788929933,33.142857142857146,24433.05650863061
