label,n_trades,ann_roe_geo_pct,sharpe_daily_ann,sortino_daily_ann,max_drawdown_pct,worst_single_trade_nlv_pct,worst_cluster_3m_nlv_pct,stop_hit_rate_pct,avg_active_slots,peak_active_slots,slot_occupancy_pct,peak_bp_pct_nlv,avg_es_span_pct_nlv_est,peak_es_span_pct_nlv_est,v1_pass,bootstrap_sig_rate_pct,bootstrap_ci_lo_ann_pct,years,total_pnl_usd
V2f_base,725,1.042,0.148,0.114,-33.3,-10.59,-27.59,0.55,2.57,5,86.3,70.5,7.7,15.0,True,0.0,-0.476,26.31,156872.0
V2f_G6 (recommended),146,1.137,0.343,0.135,-9.68,-4.77,-8.43,0.0,0.48,5,21.4,39.0,1.5,15.0,True,100.0,1.317,26.31,173325.0
