date,n_bcd_open,total_debit,cash_baseline,consumed_pct,cash_remaining,crowdout,max_entry_vix,opp_cost_today,cum_opp_cost
2023-06-02,1,20097.0,37046.0,54.2,16949.0,False,14.6,5.51,5.51
2023-06-05,1,20097.0,37046.0,54.2,16949.0,False,14.6,5.51,11.01
2023-06-06,1,20097.0,37046.0,54.2,16949.0,False,14.6,5.51,16.52
2023-06-07,1,20097.0,37046.0,54.2,16949.0,False,14.6,5.51,22.02
2023-06-08,1,20097.0,37046.0,54.2,16949.0,False,14.6,5.51,27.53
2023-06-09,1,20097.0,37046.0,54.2,16949.0,False,14.6,5.51,33.04
2023-06-12,1,20097.0,37046.0,54.2,16949.0,False,14.6,5.51,38.54
2023-06-13,1,20097.0,37046.0,54.2,16949.0,False,14.6,5.51,44.05
2023-06-14,1,20097.0,37046.0,54.2,16949.0,False,14.6,5.51,49.55
2023-06-15,1,20097.0,37046.0,54.2,16949.0,False,14.6,5.51,55.06
2023-06-16,1,20097.0,37046.0,54.2,16949.0,False,14.6,5.51,60.57
2023-06-19,1,20097.0,37046.0,54.2,16949.0,False,14.6,5.51,66.07
2023-06-20,1,20097.0,37046.0,54.2,16949.0,False,14.6,5.51,71.58
2023-06-21,1,20097.0,37046.0,54.2,16949.0,False,14.6,5.51,77.08
2023-06-22,1,20097.0,37046.0,54.2,16949.0,False,14.6,5.51,82.59
2023-06-23,1,20097.0,37046.0,54.2,16949.0,False,14.6,5.51,88.1
2023-06-26,1,20097.0,37046.0,54.2,16949.0,False,14.6,5.51,93.6
2023-06-27,1,20097.0,37046.0,54.2,16949.0,False,14.6,5.51,99.11
2023-06-28,1,20097.0,37046.0,54.2,16949.0,False,14.6,5.51,104.61
2023-06-29,1,20097.0,37046.0,54.2,16949.0,False,14.6,5.51,110.12
2023-06-30,1,20097.0,37046.0,54.2,16949.0,False,14.6,5.51,115.62
2023-07-03,1,20097.0,37046.0,54.2,16949.0,False,14.6,5.51,121.13
2023-07-04,1,20097.0,37046.0,54.2,16949.0,False,14.6,5.51,126.64
2023-07-05,1,20097.0,37046.0,54.2,16949.0,False,14.6,5.51,132.14
2023-07-06,1,20097.0,37046.0,54.2,16949.0,False,14.6,5.51,137.65
2023-07-07,1,20097.0,37046.0,54.2,16949.0,False,14.6,5.51,143.15
2023-07-11,1,21314.0,37046.0,57.5,15732.0,False,14.84,5.84,148.99
2023-07-12,1,21314.0,37046.0,57.5,15732.0,False,14.84,5.84,154.83
2023-07-13,1,21314.0,37046.0,57.5,15732.0,False,14.84,5.84,160.67
2023-07-14,1,21314.0,37046.0,57.5,15732.0,False,14.84,5.84,166.51
2023-07-17,1,21314.0,37046.0,57.5,15732.0,False,14.84,5.84,172.35
2023-07-18,1,21314.0,37046.0,57.5,15732.0,False,14.84,5.84,178.19
2023-07-19,1,21314.0,37046.0,57.5,15732.0,False,14.84,5.84,184.03
2023-07-20,1,21314.0,37046.0,57.5,15732.0,False,14.84,5.84,189.87
2023-07-21,1,21314.0,37046.0,57.5,15732.0,False,14.84,5.84,195.71
2023-07-24,1,21314.0,37046.0,57.5,15732.0,False,14.84,5.84,201.55
2023-07-25,1,21314.0,37046.0,57.5,15732.0,False,14.84,5.84,207.39
2023-07-26,1,21314.0,37046.0,57.5,15732.0,False,14.84,5.84,213.23
2023-07-27,1,21314.0,37046.0,57.5,15732.0,False,14.84,5.84,219.07
2023-07-28,1,21314.0,37046.0,57.5,15732.0,False,14.84,5.84,224.91
2023-07-31,1,21314.0,37046.0,57.5,15732.0,False,14.84,5.84,230.75
2023-08-01,1,21314.0,37046.0,57.5,15732.0,False,14.84,5.84,236.59
2023-08-02,1,21314.0,37046.0,57.5,15732.0,False,14.84,5.84,242.43
2023-08-03,1,21314.0,37046.0,57.5,15732.0,False,14.84,5.84,248.27
2023-08-04,1,21314.0,37046.0,57.5,15732.0,False,14.84,5.84,254.1
2023-08-07,1,21314.0,37046.0,57.5,15732.0,False,14.84,5.84,259.94
2023-08-08,1,21314.0,37046.0,57.5,15732.0,False,14.84,5.84,265.78
2023-08-09,1,21314.0,37046.0,57.5,15732.0,False,14.84,5.84,271.62
2023-08-10,1,21314.0,37046.0,57.5,15732.0,False,14.84,5.84,277.46
2023-08-11,1,21314.0,37046.0,57.5,15732.0,False,14.84,5.84,283.3
2023-08-14,1,21371.0,37046.0,57.7,15675.0,False,14.82,5.86,289.16
2023-08-15,1,21371.0,37046.0,57.7,15675.0,False,14.82,5.86,295.01
2023-08-16,1,21371.0,37046.0,57.7,15675.0,False,14.82,5.86,300.87
2023-08-29,1,21104.0,37046.0,57.0,15942.0,False,14.45,5.78,306.65
2023-08-30,1,21104.0,37046.0,57.0,15942.0,False,14.45,5.78,312.43
2023-08-31,1,21104.0,37046.0,57.0,15942.0,False,14.45,5.78,318.21
2023-09-01,1,21104.0,37046.0,57.0,15942.0,False,14.45,5.78,324.0
2023-09-04,1,21104.0,37046.0,57.0,15942.0,False,14.45,5.78,329.78
2023-09-05,1,21104.0,37046.0,57.0,15942.0,False,14.45,5.78,335.56
2023-09-06,1,21104.0,37046.0,57.0,15942.0,False,14.45,5.78,341.34
2023-09-07,1,21104.0,37046.0,57.0,15942.0,False,14.45,5.78,347.12
2023-09-08,1,21104.0,37046.0,57.0,15942.0,False,14.45,5.78,352.91
2023-09-11,1,21104.0,37046.0,57.0,15942.0,False,14.45,5.78,358.69
2023-09-12,1,21104.0,37046.0,57.0,15942.0,False,14.45,5.78,364.47
2023-09-13,1,21104.0,37046.0,57.0,15942.0,False,14.45,5.78,370.25
2023-09-14,1,21104.0,37046.0,57.0,15942.0,False,14.45,5.78,376.03
2023-11-08,1,20565.0,37046.0,55.5,16481.0,False,14.45,5.63,381.67
2023-11-09,1,20565.0,37046.0,55.5,16481.0,False,14.45,5.63,387.3
2023-11-10,1,20565.0,37046.0,55.5,16481.0,False,14.45,5.63,392.94
2023-11-13,1,20565.0,37046.0,55.5,16481.0,False,14.45,5.63,398.57
2023-11-14,1,20565.0,37046.0,55.5,16481.0,False,14.45,5.63,404.2
2023-11-15,1,20565.0,37046.0,55.5,16481.0,False,14.45,5.63,409.84
2023-11-16,1,20565.0,37046.0,55.5,16481.0,False,14.45,5.63,415.47
2023-11-17,1,20565.0,37046.0,55.5,16481.0,False,14.45,5.63,421.11
2023-11-20,1,20565.0,37046.0,55.5,16481.0,False,14.45,5.63,426.74
2023-11-21,1,20565.0,37046.0,55.5,16481.0,False,14.45,5.63,432.38
2023-11-22,1,20565.0,37046.0,55.5,16481.0,False,14.45,5.63,438.01
2023-11-23,1,20565.0,37046.0,55.5,16481.0,False,14.45,5.63,443.64
2023-11-24,1,20565.0,37046.0,55.5,16481.0,False,14.45,5.63,449.28
2023-11-27,1,20565.0,37046.0,55.5,16481.0,False,14.45,5.63,454.91
2023-11-28,1,20565.0,37046.0,55.5,16481.0,False,14.45,5.63,460.55
2023-11-29,1,20565.0,37046.0,55.5,16481.0,False,14.45,5.63,466.18
2023-11-30,1,20565.0,37046.0,55.5,16481.0,False,14.45,5.63,471.81
2023-12-01,1,20565.0,37046.0,55.5,16481.0,False,14.45,5.63,477.45
2023-12-04,1,20565.0,37046.0,55.5,16481.0,False,14.45,5.63,483.08
2023-12-05,1,20565.0,37046.0,55.5,16481.0,False,14.45,5.63,488.72
2023-12-06,1,20565.0,37046.0,55.5,16481.0,False,14.45,5.63,494.35
2023-12-07,1,20565.0,37046.0,55.5,16481.0,False,14.45,5.63,499.99
2023-12-08,1,20565.0,37046.0,55.5,16481.0,False,14.45,5.63,505.62
2023-12-11,1,20565.0,37046.0,55.5,16481.0,False,14.45,5.63,511.25
2023-12-12,1,18340.0,37046.0,49.5,18706.0,False,12.07,5.02,516.28
2023-12-13,1,18340.0,37046.0,49.5,18706.0,False,12.07,5.02,521.3
2023-12-14,1,18340.0,37046.0,49.5,18706.0,False,12.07,5.02,526.33
2023-12-15,1,18340.0,37046.0,49.5,18706.0,False,12.07,5.02,531.35
2023-12-18,1,18340.0,37046.0,49.5,18706.0,False,12.07,5.02,536.38
2023-12-19,1,18340.0,37046.0,49.5,18706.0,False,12.07,5.02,541.4
2023-12-20,1,18340.0,37046.0,49.5,18706.0,False,12.07,5.02,546.43
2023-12-21,1,18340.0,37046.0,49.5,18706.0,False,12.07,5.02,551.45
2023-12-22,1,18340.0,37046.0,49.5,18706.0,False,12.07,5.02,556.47
2023-12-25,1,18340.0,37046.0,49.5,18706.0,False,12.07,5.02,561.5
2023-12-26,1,18340.0,37046.0,49.5,18706.0,False,12.07,5.02,566.52
2023-12-27,1,18340.0,37046.0,49.5,18706.0,False,12.07,5.02,571.55
2023-12-28,1,18340.0,37046.0,49.5,18706.0,False,12.07,5.02,576.57
2023-12-29,1,18340.0,37046.0,49.5,18706.0,False,12.07,5.02,581.6
2024-01-01,1,18340.0,37046.0,49.5,18706.0,False,12.07,5.02,586.62
2024-01-02,1,18340.0,37046.0,49.5,18706.0,False,12.07,5.02,591.65
2024-01-03,1,18340.0,37046.0,49.5,18706.0,False,12.07,5.02,596.67
2024-01-04,1,18340.0,37046.0,49.5,18706.0,False,12.07,5.02,601.7
2024-01-05,1,18340.0,37046.0,49.5,18706.0,False,12.07,5.02,606.72
2024-01-08,1,18340.0,37046.0,49.5,18706.0,False,12.07,5.02,611.74
2024-01-09,1,18340.0,37046.0,49.5,18706.0,False,12.07,5.02,616.77
2024-01-10,1,18340.0,37046.0,49.5,18706.0,False,12.07,5.02,621.79
2024-01-11,1,18340.0,37046.0,49.5,18706.0,False,12.07,5.02,626.82
2024-01-12,1,18340.0,37046.0,49.5,18706.0,False,12.07,5.02,631.84
2024-01-15,1,18340.0,37046.0,49.5,18706.0,False,12.07,5.02,636.87
2024-01-16,1,18340.0,37046.0,49.5,18706.0,False,12.07,5.02,641.89
2024-01-17,1,18340.0,37046.0,49.5,18706.0,False,12.07,5.02,646.92
2024-01-18,1,21893.0,37046.0,59.1,15153.0,False,14.13,6.0,652.91
2024-01-19,1,21893.0,37046.0,59.1,15153.0,False,14.13,6.0,658.91
2024-01-22,1,21893.0,37046.0,59.1,15153.0,False,14.13,6.0,664.91
2024-01-23,1,21893.0,37046.0,59.1,15153.0,False,14.13,6.0,670.91
2024-01-24,1,21893.0,37046.0,59.1,15153.0,False,14.13,6.0,676.91
2024-01-25,1,21893.0,37046.0,59.1,15153.0,False,14.13,6.0,682.9
2024-01-26,1,21893.0,37046.0,59.1,15153.0,False,14.13,6.0,688.9
2024-01-29,1,21893.0,37046.0,59.1,15153.0,False,14.13,6.0,694.9
2024-01-30,1,21893.0,37046.0,59.1,15153.0,False,14.13,6.0,700.9
2024-01-31,1,21893.0,37046.0,59.1,15153.0,False,14.13,6.0,706.9
2024-02-01,1,21893.0,37046.0,59.1,15153.0,False,14.13,6.0,712.89
2024-02-02,1,21893.0,37046.0,59.1,15153.0,False,14.13,6.0,718.89
2024-02-05,1,21893.0,37046.0,59.1,15153.0,False,14.13,6.0,724.89
2024-02-06,1,21893.0,37046.0,59.1,15153.0,False,14.13,6.0,730.89
2024-02-07,1,21893.0,37046.0,59.1,15153.0,False,14.13,6.0,736.89
