entry,exit,hold_days,vix,ivp,iv_signal,regime,trend,debit,pnl,cash_roe_period,cash_roe_annualized
2023-06-02,2023-07-10,38,14.6,0.0,LOW,LOW_VOL,BULLISH,20096.71,4513.64,0.2246,2.1573
2023-07-11,2023-08-14,34,14.84,8.8,LOW,LOW_VOL,BULLISH,21314.09,1829.72,0.0858,0.9216
2023-08-14,2023-08-17,3,14.82,14.3,LOW,LOW_VOL,BULLISH,21370.96,-2390.98,-0.1119,-13.612
2023-08-29,2023-09-15,17,14.45,12.7,LOW,LOW_VOL,BULLISH,21104.41,-1746.69,-0.0828,-1.777
2023-11-08,2023-12-12,34,14.45,17.9,LOW,LOW_VOL,BULLISH,20564.73,7644.04,0.3717,3.9904
2023-12-12,2024-01-18,37,12.07,0.0,LOW,LOW_VOL,BULLISH,18339.57,5180.74,0.2825,2.7867
2024-01-18,2024-02-22,35,14.13,31.1,LOW,LOW_VOL,BULLISH,21892.69,7827.71,0.3575,3.7287
2024-02-22,2024-03-27,34,14.54,45.0,NEUTRAL,LOW_VOL,BULLISH,23864.07,4704.77,0.1971,2.1164
2024-03-27,2024-04-15,19,12.78,8.0,LOW,LOW_VOL,BULLISH,21914.11,-2544.79,-0.1161,-2.2308
2024-05-06,2024-06-10,35,13.49,26.3,LOW,LOW_VOL,BULLISH,22661.98,5356.23,0.2364,2.4648
2024-06-10,2024-07-16,36,12.74,12.4,LOW,LOW_VOL,BULLISH,22243.38,7712.54,0.3467,3.5155
2024-07-16,2024-08-02,17,13.19,32.7,LOW,LOW_VOL,BULLISH,24270.84,-3248.08,-0.1338,-2.8733
2024-08-16,2024-09-06,21,14.8,65.3,NEUTRAL,LOW_VOL,BULLISH,26401.3,-879.5,-0.0333,-0.579
2024-11-08,2024-12-13,35,14.94,60.6,NEUTRAL,LOW_VOL,BULLISH,28846.33,1255.23,0.0435,0.4538
2024-12-13,2024-12-18,5,13.81,40.2,NEUTRAL,LOW_VOL,BULLISH,27018.39,661.91,0.0245,1.7884
2024-12-24,2024-12-31,7,14.27,45.0,NEUTRAL,LOW_VOL,BULLISH,27943.25,-2436.51,-0.0872,-4.5466
2025-02-14,2025-02-25,11,14.77,42.2,NEUTRAL,LOW_VOL,BULLISH,29062.9,-1824.29,-0.0628,-2.0828
2025-07-25,2025-08-28,34,14.93,9.6,LOW,LOW_VOL,BULLISH,30704.04,2704.13,0.0881,0.9455
2025-08-28,2025-10-02,35,14.43,6.8,LOW,LOW_VOL,BULLISH,30208.58,5061.19,0.1675,1.7472
2025-12-11,2025-12-17,6,14.85,6.8,LOW,LOW_VOL,BULLISH,33126.42,-2442.31,-0.0737,-4.4851
2025-12-19,2026-01-20,32,14.91,6.0,LOW,LOW_VOL,BULLISH,32860.4,775.61,0.0236,0.2692
