entry_date,exit_date,strategy,exit_reason,exit_pnl,open_at_end,dte_at_entry,dte_at_exit,contracts,total_bp,bp_pct_account,entry_spx,exit_spx,entry_vix,entry_credit,option_premium
2023-06-02,2023-07-10,Bull Call Diagonal,roll_21dte,4513.636347899856,False,45,21,0.7464,15000.0,10.0,4282.3701171875,4409.52978515625,14.600000381469727,200.96713758608644,20096.713758608643
2023-07-11,2023-08-14,Bull Call Diagonal,roll_21dte,1829.7185161806094,False,45,21,0.7038,15000.0,10.0,4439.259765625,4489.72021484375,14.84000015258789,213.14093356751346,21314.093356751346
2023-08-14,2023-08-17,Bull Call Diagonal,trend_flip,-2390.980499580703,False,45,42,0.7019,15000.0,10.0,4489.72021484375,4370.35986328125,14.819999694824219,213.70958653661387,21370.958653661386
2023-08-29,2023-09-15,Bull Call Diagonal,trend_flip,-1746.6946776904347,False,45,33,0.7108,15000.0,10.0,4497.6298828125,4450.31982421875,14.449999809265137,211.04408998039048,21104.40899803905
2023-10-04,2023-11-01,Iron Condor,50pct_profit,2509.5010568212933,False,45,25,1.2513,15000.0,10.0,4263.75,4237.85986328125,18.579999923706055,-32.12057721569278,3212.0577215692774
2023-11-03,2023-12-08,Iron Condor,roll_21dte,-212.09992712057226,False,45,21,1.5511,15000.0,10.0,4358.33984375,4604.3701171875,14.90999984741211,-26.294683928134702,2629.46839281347
2023-11-08,2023-12-13,Bull Call Diagonal,roll_21dte,8506.481824771103,False,45,21,0.7294,15000.0,10.0,4382.77978515625,4707.08984375,14.449999809265137,205.6472522259544,20564.72522259544
2023-12-13,2024-01-19,Bull Call Diagonal,roll_21dte,4896.042914816997,False,45,21,0.7993,15000.0,10.0,4707.08984375,4839.81005859375,12.1899995803833,187.66516126001625,18766.516126001625
2024-01-19,2024-02-23,Bull Call Diagonal,roll_21dte,7104.12455227318,False,45,21,0.7175,15000.0,10.0,4839.81005859375,5088.7998046875,13.300000190734863,209.04645876154814,20904.645876154813
2024-02-13,2024-02-27,Bull Put Spread,roll_21dte,3561.1767275798857,False,30,21,1.4421,15000.0,10.0,4953.169921875,5078.18017578125,15.850000381469727,-31.988552371814876,3198.8552371814876
2024-02-23,2024-03-28,Bull Call Diagonal,roll_21dte,5010.359315489301,False,45,21,0.6615,15000.0,10.0,5088.7998046875,5254.35009765625,13.75,226.7723178386875,22677.231783868752
2024-03-28,2024-04-15,Bull Call Diagonal,trend_flip,-2726.8820067624697,False,45,34,0.6734,15000.0,10.0,5254.35009765625,5061.81982421875,13.010000228881836,222.7451621452808,22274.51621452808
2024-04-12,2024-05-03,Iron Condor,50pct_profit,2922.8972744384114,False,45,30,1.1204,15000.0,10.0,5123.41015625,5127.7900390625,17.309999465942383,-36.12028923004516,3612.028923004516
2024-05-03,2024-06-07,Iron Condor,roll_21dte,690.5765238284702,False,45,21,1.4618,15000.0,10.0,5127.7900390625,5346.990234375,13.489999771118164,-28.389355377926563,2838.9355377926563
